,PHOT,WTOF,WTON,HE Ashta,HE Bele,HE Pashqesh,HE BGE,HE Lura,HE Vlushe,HE Slabinje,HE Llapaj,HE Shkalle,HE Tervol,HE Lublalesh,HE Smokthina,HE Sasaj,HE Hidroinvest,HE Cernaleve,HE Faqekuq,HE Shales Strelce,HE Dardhe,HE Martanesh,HE Verba,HE Lanabregas,HE Kacini,HE Murdhar,HE Treska,HE Rapuni,HE Small
2014-12-31 23:00:00+00:00,0,0,0,1,1,0.083428773,1,0.157118653,0.039735841,1,1,0.067302935,0.539381573,0.018495579,0.155994985,0.650859543,1,0.780363984,0.984959161,0.03826352,0.076111213,0.89910969,0.858980896,1,0.155239331,0.58816299,0.1812145,1,1
2015-01-01 00:00:00+00:00,0,0,0,1,1,0.083428773,1,0.157118653,0.039735841,1,1,0.067302935,0.539381573,0.018495579,0.155994985,0.650859543,1,0.780363984,0.984959161,0.03826352,0.076111213,0.89910969,0.858980896,1,0.155239331,0.58816299,0.1812145,1,1
2015-01-01 01:00:00+00:00,0,0,0,1,1,0.084211355,1,0.156408967,0.040975523,1,1,0.067123495,0.536571666,0.018809917,0.160244334,0.650982834,1,0.775683496,0.980475018,0.038913819,0.078184504,0.899280007,0.853106424,1,0.154532586,0.588274405,0.179975195,1,1
2015-01-01 02:00:00+00:00,0,0,0,1,1,0.084993937,1,0.155699281,0.042215205,1,1,0.066944055,0.533761759,0.019124254,0.164493683,0.651106126,1,0.771003007,0.975990874,0.039564118,0.080257796,0.899450325,0.847231953,1,0.15382584,0.58838582,0.178735889,1,1
2015-01-01 03:00:00+00:00,0,0,0,1,1,0.08577652,1,0.154989595,0.043454886,1,1,0.066764615,0.530951852,0.019438592,0.168743032,0.651229417,1,0.766322519,0.971506731,0.040214418,0.082331088,0.899620642,0.841357481,1,0.153119095,0.588497235,0.177496584,1,1
2015-01-01 04:00:00+00:00,0,0,0,1,1,0.086559102,1,0.154279908,0.044694568,1,1,0.066585175,0.528141945,0.019752929,0.172992381,0.651352709,1,0.76164203,0.967022588,0.040864717,0.08440438,0.89979096,0.835483009,1,0.152412349,0.58860865,0.176257279,1,1
2015-01-01 05:00:00+00:00,0,0,0,1,1,0.087341685,1,0.153570222,0.045934249,1,1,0.066405735,0.525332038,0.020067267,0.177241731,0.651476001,1,0.756961541,0.962538444,0.041515017,0.086477671,0.899961277,0.829608538,1,0.151705604,0.588720065,0.175017974,1,1
2015-01-01 06:00:00+00:00,0,0,0,1,1,0.088124267,1,0.152860536,0.047173931,1,1,0.066226295,0.522522131,0.020381605,0.18149108,0.651599292,1,0.752281053,0.958054301,0.042165316,0.088550963,0.900131594,0.823734066,1,0.150998858,0.58883148,0.173778669,1,1
2015-01-01 07:00:00+00:00,0,0,0,1,1,0.088906849,1,0.15215085,0.048413612,1,1,0.066046855,0.519712223,0.020695942,0.185740429,0.651722584,1,0.747600564,0.953570158,0.042815615,0.090624255,0.900301912,0.817859594,1,0.150292113,0.588942895,0.172539364,1,1
2015-01-01 08:00:00+00:00,0,0,0,1,1,0.089689432,1,0.151441164,0.049653294,1,1,0.065867415,0.516902316,0.02101028,0.189989778,0.651845876,1,0.742920075,0.949086015,0.043465915,0.092697547,0.900472229,0.811985123,1,0.149585367,0.58905431,0.171300059,1,1
