,PHOT,WTOF,WTON,HE Glava Zete,HE Slap Zete,HE Muskovica Rijeka,HE Savnik,HE Lijeva Rijeka,HE Podgor,HE Rijeka Crnojevica,HROR
2014-12-31 23:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 00:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 01:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 02:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 03:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 04:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 05:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 06:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 07:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 08:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 09:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 10:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 11:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 12:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 13:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 14:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 15:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 16:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 17:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 18:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 19:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 20:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 21:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 22:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-01 23:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 00:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 01:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 02:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 03:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 04:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 05:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 06:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 07:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 08:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 09:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 10:00:00+00:00,0,0,0,1,1,1,1,1,1,1,1
2015-01-02 11:00:00+00:00,0,0,0,0.995215956,0.993227189,1,1,1,1,1,0.9960756
2015-01-02 12:00:00+00:00,0,0,0,0.982455504,0.980492236,1,1,1,1,1,0.9863512
2015-01-02 13:00:00+00:00,0,0,0,0.969695051,0.967757283,1,1,1,1,1,0.9766269
2015-01-02 14:00:00+00:00,0,0,0,0.956934598,0.955022329,1,1,1,1,1,0.9669025
2015-01-02 15:00:00+00:00,0,0,0,0.944174145,0.942287376,1,1,1,1,1,0.9571782
2015-01-02 16:00:00+00:00,0,0,0,0.931413693,0.929552423,1,1,1,1,1,0.9474538
2015-01-02 17:00:00+00:00,0,0,0,0.91865324,0.91681747,1,1,1,1,1,0.9377295
2015-01-02 18:00:00+00:00,0,0,0,0.905892787,0.904082517,1,1,1,1,1,0.9280052
2015-01-02 19:00:00+00:00,0,0,0,0.893132335,0.891347564,1,1,1,1,1,0.9182808
2015-01-02 20:00:00+00:00,0,0,0,0.880371882,0.87861261,1,1,1,1,1,0.9085565
2015-01-02 21:00:00+00:00,0,0,0,0.867611429,0.865877657,1,1,1,1,1,0.8988321
2015-01-02 22:00:00+00:00,0,0,0,0.854850976,0.853142704,1,1,1,1,1,0.8891078
2015-01-02 23:00:00+00:00,0,0,0,0.842090524,0.840407751,1,1,1,1,1,0.8793834
2015-01-03 00:00:00+00:00,0,0,0,0.829330071,0.827672798,1,1,1,1,1,0.8696591
2015-01-03 01:00:00+00:00,0,0,0,0.82273753,0.821093431,1,1,1,1,1,0.8646351
2015-01-03 02:00:00+00:00,0,0,0,0.816144989,0.814514064,1,1,1,1,1,0.8596112
2015-01-03 03:00:00+00:00,0,0,0,0.809552449,0.807934698,1,1,1,1,1,0.8545872
2015-01-03 04:00:00+00:00,0,0,0,0.802959908,0.801355331,1,1,1,1,1,0.8495632
2015-01-03 05:00:00+00:00,0,0,0,0.796367367,0.794775964,1,1,1,1,1,0.8445392
2015-01-03 06:00:00+00:00,0,0,0,0.789774827,0.788196598,1,1,1,1,1,0.8395153
2015-01-03 07:00:00+00:00,0,0,0,0.783182286,0.781617231,1,1,1,1,1,0.8344913
2015-01-03 08:00:00+00:00,0,0,0,0.776589745,0.775037864,1,1,1,1,1,0.8294673
2015-01-03 09:00:00+00:00,0,0,0,0.769997204,0.768458498,1,1,1,1,1,0.8244434
2015-01-03 10:00:00+00:00,0,0,0,0.763404664,0.761879131,1,1,1,1,1,0.8194194
2015-01-03 11:00:00+00:00,0,0,0,0.756812123,0.755299764,1,1,1,1,1,0.8143954
2015-01-03 12:00:00+00:00,0,0,0,0.750219582,0.748720398,1,1,1,1,1,0.8093715
2015-01-03 13:00:00+00:00,0,0,0,0.743627041,0.742141031,1,1,1,1,1,0.8043475
2015-01-03 14:00:00+00:00,0,0,0,0.737034501,0.735561664,1,1,1,1,1,0.7993235
2015-01-03 15:00:00+00:00,0,0,0,0.73044196,0.728982297,1,1,1,1,1,0.7942996
2015-01-03 16:00:00+00:00,0,0,0,0.723849419,0.722402931,1,1,1,1,1,0.7892756
2015-01-03 17:00:00+00:00,0,0,0,0.717256878,0.715823564,1,1,1,1,1,0.7842516
2015-01-03 18:00:00+00:00,0,0,0,0.710664338,0.709244197,1,1,1,1,1,0.7792276
2015-01-03 19:00:00+00:00,0,0,0,0.704071797,0.702664831,1,1,1,1,1,0.7742037
2015-01-03 20:00:00+00:00,0,0,0,0.697479256,0.696085464,1,1,1,1,1,0.7691797
2015-01-03 21:00:00+00:00,0,0,0,0.690886715,0.689506097,1,1,1,1,1,0.7641557
2015-01-03 22:00:00+00:00,0,0,0,0.684294175,0.682926731,1,1,1,1,1,0.7591318
2015-01-03 23:00:00+00:00,0,0,0,0.677701634,0.676347364,1,1,1,1,1,0.7541078
2015-01-04 00:00:00+00:00,0,0,0,0.671109093,0.669767997,1,1,1,1,1,0.7490838
2015-01-04 01:00:00+00:00,0,0,0,0.670073954,0.668734927,1,1,1,1,1,0.748295
2015-01-04 02:00:00+00:00,0,0,0,0.669038814,0.667701856,1,1,1,1,1,0.7475061
2015-01-04 03:00:00+00:00,0,0,0,0.668003675,0.666668785,1,1,1,1,1,0.7467173
2015-01-04 04:00:00+00:00,0,0,0,0.666968536,0.665635714,1,1,1,1,1,0.7459284
2015-01-04 05:00:00+00:00,0,0,0,0.665933397,0.664602643,1,1,1,1,1,0.7451396
2015-01-04 06:00:00+00:00,0,0,0,0.664898257,0.663569573,1,1,1,1,1,0.7443507
2015-01-04 07:00:00+00:00,0,0,0,0.663863118,0.662536502,1,1,1,1,1,0.7435619
2015-01-04 08:00:00+00:00,0,0,0,0.662827979,0.661503431,1,1,1,1,1,0.742773
2015-01-04 09:00:00+00:00,0,0,0,0.661792839,0.66047036,1,1,1,1,1,0.7419842
2015-01-04 10:00:00+00:00,0,0,0,0.6607577,0.65943729,1,1,1,1,1,0.7411954
2015-01-04 11:00:00+00:00,0,0,0,0.659722561,0.658404219,1,1,1,1,1,0.7404065
2015-01-04 12:00:00+00:00,0,0,0,0.658687421,0.657371148,1,1,1,1,1,0.7396177
