,PHOT,WTOF,WTON,HE Raven,HE Vrben,HE Matka ,HE Dosnica,HE Kalimanci,HE Pesocani,HE Popova Sapka,HE Pena cascade,HE Sapuncica,HE Strezevo 1,HE Turija,HE Zrnovci,HROR
2009-12-31 23:00:00+00:00,0,0,0,0.922176768,1,0.971585807,1,0.887640596,1,1,1,1,1,0.715196022,0.866977881,0.9480989
2010-01-01 00:00:00+00:00,0,0,0,0.922176768,1,0.971585807,1,0.887640596,1,1,1,1,1,0.715196022,0.866977881,0.9480989
2010-01-01 01:00:00+00:00,0,0,0,0.921809217,1,0.970108033,1,0.884401952,1,1,1,1,1,0.714011679,0.864058936,0.9471814
2010-01-01 02:00:00+00:00,0,0,0,0.921441667,1,0.968630259,1,0.881163308,1,1,1,1,1,0.712827336,0.861139991,0.9462638
2010-01-01 03:00:00+00:00,0,0,0,0.921074116,1,0.967152485,1,0.877924664,1,1,1,1,1,0.711642993,0.858221046,0.9453463
2010-01-01 04:00:00+00:00,0,0,0,0.920706565,1,0.965674711,1,0.87468602,1,1,1,1,1,0.71045865,0.855302101,0.9444287
2010-01-01 05:00:00+00:00,0,0,0,0.920339014,1,0.964196937,1,0.871447376,1,1,1,1,1,0.709274307,0.852383157,0.9435112
2010-01-01 06:00:00+00:00,0,0,0,0.919971464,1,0.962719164,1,0.868208732,1,1,1,1,1,0.708089964,0.849464212,0.9425936
2010-01-01 07:00:00+00:00,0,0,0,0.919603913,1,0.96124139,1,0.864970088,1,1,1,1,1,0.706905621,0.846545267,0.9416761
2010-01-01 08:00:00+00:00,0,0,0,0.919236362,1,0.959763616,1,0.861731444,1,1,1,1,1,0.705721278,0.843626322,0.9407585
2010-01-01 09:00:00+00:00,0,0,0,0.918868812,1,0.958285842,1,0.8584928,1,1,1,1,1,0.704536935,0.840707377,0.939841
2010-01-01 10:00:00+00:00,0,0,0,0.918501261,1,0.956808068,1,0.855254156,1,1,1,1,1,0.703352592,0.837788432,0.9389235
2010-01-01 11:00:00+00:00,0,0,0,0.91813371,1,0.955330294,1,0.852015512,1,1,1,1,1,0.702168249,0.834869488,0.9380059
2010-01-01 12:00:00+00:00,0,0,0,0.917766159,1,0.95385252,1,0.848776868,1,1,1,1,1,0.700983906,0.831950543,0.9370884
2010-01-01 13:00:00+00:00,0,0,0,0.917398609,1,0.952374746,1,0.845538224,1,1,1,1,1,0.699799563,0.829031598,0.9361708
2010-01-01 14:00:00+00:00,0,0,0,0.917031058,1,0.950896972,1,0.84229958,1,1,1,1,1,0.69861522,0.826112653,0.9352533
2010-01-01 15:00:00+00:00,0,0,0,0.916663507,1,0.949419198,1,0.839060936,1,1,1,1,1,0.697430877,0.823193708,0.9343357
2010-01-01 16:00:00+00:00,0,0,0,0.916295957,1,0.947941424,0.999898269,0.835822292,1,1,1,1,1,0.696246534,0.820274763,0.933413
2010-01-01 17:00:00+00:00,0,0,0,0.915928406,1,0.94646365,0.99949056,0.832583648,1,1,1,1,1,0.695062191,0.817355818,0.9324745
2010-01-01 18:00:00+00:00,0,0,0,0.915560855,1,0.944985877,0.999082851,0.829345003,1,1,1,1,1,0.693877848,0.814436874,0.931536
2010-01-01 19:00:00+00:00,0,0,0,0.915193305,1,0.943508103,0.998675141,0.826106359,1,1,1,1,1,0.692693505,0.811517929,0.9305975
2010-01-01 20:00:00+00:00,0,0,0,0.914825754,1,0.942030329,0.998267432,0.822867715,1,1,1,1,1,0.691509162,0.808598984,0.929659
2010-01-01 21:00:00+00:00,0,0,0,0.914458203,1,0.940552555,0.997859723,0.819629071,1,1,1,1,1,0.690324819,0.805680039,0.9287205
2010-01-01 22:00:00+00:00,0,0,0,0.914090652,1,0.939074781,0.997452013,0.816390427,1,1,1,1,1,0.689140476,0.802761094,0.927782
2010-01-01 23:00:00+00:00,0,0,0,0.913723102,1,0.937597007,0.997044304,0.813151783,1,1,1,1,1,0.687956133,0.799842149,0.9268435
