,PHOT,WTOF,WTON,HE Zvornik,HE Medjuvrsje,HE Ovcar Banja,HE Derdap 1,HE Derdap 2,HE Bajina Basta G4,HE Seljasnica,HE Sicevo,HE Sokolovica,HE Vlasontice,HE Ostrovica,HROR
2009-12-31 23:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.766426166,1,0.851974139,0.9992435
2010-01-01 00:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.766426166,1,0.851974139,0.9992435
2010-01-01 01:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.765613141,1,0.848353253,0.9992391
2010-01-01 02:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.764800116,1,0.844732367,0.9992346
2010-01-01 03:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.763987091,1,0.841111481,0.9992302
2010-01-01 04:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.763174066,1,0.837490596,0.9992258
2010-01-01 05:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.762361041,1,0.83386971,0.9992213
2010-01-01 06:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.761548016,1,0.830248824,0.9992169
2010-01-01 07:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.760734991,1,0.826627938,0.9992125
2010-01-01 08:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.759921966,1,0.823007052,0.999208
2010-01-01 09:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.75910894,1,0.819386167,0.9992036
2010-01-01 10:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.758295915,1,0.815765281,0.9991992
2010-01-01 11:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.75748289,1,0.812144395,0.9991947
2010-01-01 12:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.756669865,1,0.808523509,0.9991903
2010-01-01 13:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.75585684,1,0.804902624,0.9991859
2010-01-01 14:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.755043815,1,0.801281738,0.9991814
2010-01-01 15:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.75423079,1,0.797660852,0.999177
2010-01-01 16:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.753417765,1,0.794039966,0.9991726
2010-01-01 17:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.75260474,1,0.790419081,0.9991681
2010-01-01 18:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.751791715,1,0.786798195,0.9991637
2010-01-01 19:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.75097869,1,0.783177309,0.9991593
2010-01-01 20:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.750165664,1,0.779556423,0.9991548
2010-01-01 21:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.749352639,1,0.775935538,0.9991504
2010-01-01 22:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.748539614,1,0.772314652,0.999146
2010-01-01 23:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.747726589,1,0.768693766,0.9991415
2010-01-02 00:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.749631262,1,0.768514125,0.9991469
2010-01-02 01:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.751535935,1,0.768334484,0.9991523
2010-01-02 02:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.753440608,1,0.768154842,0.9991576
2010-01-02 03:00:00+00:00,0,0,0,1,1,1,1,1,1,0.353186882,1,0.755345281,1,0.767975201,0.999163
