,PHOT,WTOF,WTON,HE Zvornik,HE Medjuvrsje,HE Ovcar Banja,HE Derdap 1,HE Derdap 2,HE Bajina Basta G4,HE Seljasnica,HE Sicevo,HE Sokolovica,HE Vlasontice,HE Ostrovica,HE Potpec,HROR
2014-12-31 23:00:00+00:00,0,0,0,0.2489724,1,1,0.878395,0.991638,0.183964,0.281116909,0.391559631,0.48544941,0.472030686,0.321609,0.402138387,0.7135626
2015-01-01 00:00:00+00:00,0,0,0,0.2489724,1,1,0.878395,0.991638,0.183964,0.281116909,0.391559631,0.48544941,0.472030686,0.321609,0.402138387,0.7135626
2015-01-01 01:00:00+00:00,0,0,0,0.249696457,1,1,0.877122,0.990202,0.184613,0.280647397,0.391071938,0.484939074,0.471313207,0.321609,0.401715634,0.7127792
2015-01-01 02:00:00+00:00,0,0,0,0.250420514,1,1,0.875849,0.988765,0.185263,0.280177885,0.390584245,0.484428739,0.470595727,0.321609,0.40129288,0.7119958
2015-01-01 03:00:00+00:00,0,0,0,0.251144572,1,1,0.874577,0.987329,0.185912,0.279708373,0.390096552,0.483918404,0.469878248,0.321609,0.400870127,0.7112124
2015-01-01 04:00:00+00:00,0,0,0,0.251868629,1,1,0.873304,0.985892,0.186562,0.27923886,0.389608858,0.483408068,0.469160768,0.321609,0.400447373,0.710429
2015-01-01 05:00:00+00:00,0,0,0,0.252592686,1,1,0.872032,0.984456,0.187211,0.278769348,0.389121165,0.482897733,0.468443289,0.321609,0.40002462,0.7096455
2015-01-01 06:00:00+00:00,0,0,0,0.253316743,1,1,0.870759,0.983019,0.187861,0.278299836,0.388633472,0.482387398,0.46772581,0.321609,0.399601866,0.7088621
2015-01-01 07:00:00+00:00,0,0,0,0.254040801,1,1,0.869487,0.981582,0.18851,0.277830323,0.388145778,0.481877062,0.46700833,0.321609,0.399179113,0.7080787
2015-01-01 08:00:00+00:00,0,0,0,0.254764858,1,1,0.868214,0.980146,0.18916,0.277360811,0.387658085,0.481366727,0.466290851,0.321609,0.398756359,0.7072953
2015-01-01 09:00:00+00:00,0,0,0,0.255488915,1,1,0.866942,0.978709,0.189809,0.276891299,0.387170392,0.480856392,0.465573371,0.321609,0.398333606,0.7065118
2015-01-01 10:00:00+00:00,0,0,0,0.256212973,1,1,0.865669,0.977273,0.190459,0.276421786,0.386682699,0.480346056,0.464855892,0.321609,0.397910852,0.7057284
2015-01-01 11:00:00+00:00,0,0,0,0.25693703,1,1,0.864397,0.975836,0.191108,0.275952274,0.386195005,0.479835721,0.464138412,0.321609,0.397488099,0.704945
2015-01-01 12:00:00+00:00,0,0,0,0.257661087,1,1,0.863124,0.974399,0.191758,0.275482762,0.385707312,0.479325386,0.463420933,0.321609,0.397065345,0.7041616
2015-01-01 13:00:00+00:00,0,0,0,0.258385144,1,1,0.861852,0.972963,0.192407,0.275013249,0.385219619,0.47881505,0.462703454,0.321609,0.396642592,0.7033782
2015-01-01 14:00:00+00:00,0,0,0,0.259109202,1,1,0.860579,0.971526,0.193057,0.274543737,0.384731925,0.478304715,0.461985974,0.321609,0.396219838,0.7025947
2015-01-01 15:00:00+00:00,0,0,0,0.259833259,1,1,0.859307,0.97009,0.193706,0.274074225,0.384244232,0.47779438,0.461268495,0.321609,0.395797085,0.7018113
2015-01-01 16:00:00+00:00,0,0,0,0.260557316,1,1,0.858034,0.968653,0.194356,0.273604712,0.383756539,0.477284044,0.460551015,0.321609,0.395374332,0.7010279
2015-01-01 17:00:00+00:00,0,0,0,0.261281374,1,1,0.856762,0.967217,0.195005,0.2731352,0.383268845,0.476773709,0.459833536,0.321609,0.394951578,0.7002445
2015-01-01 18:00:00+00:00,0,0,0,0.262005431,1,1,0.855489,0.96578,0.195655,0.272665688,0.382781152,0.476263374,0.459116056,0.321609,0.394528825,0.699461
2015-01-01 19:00:00+00:00,0,0,0,0.262729488,1,1,0.854217,0.964343,0.196304,0.272196175,0.382293459,0.475753038,0.458398577,0.321609,0.394106071,0.6986776
2015-01-01 20:00:00+00:00,0,0,0,0.263453545,1,1,0.852944,0.962907,0.196954,0.271726663,0.381805766,0.475242703,0.457681098,0.321609,0.393683318,0.6978942
2015-01-01 21:00:00+00:00,0,0,0,0.264177603,1,1,0.851671,0.96147,0.197603,0.271257151,0.381318072,0.474732368,0.456963618,0.321609,0.393260564,0.6971108
2015-01-01 22:00:00+00:00,0,0,0,0.26490166,1,1,0.850399,0.960034,0.198253,0.270787638,0.380830379,0.474222033,0.456246139,0.321609,0.392837811,0.6963274
2015-01-01 23:00:00+00:00,0,0,0,0.265625717,1,1,0.849126,0.958597,0.198902,0.270318126,0.380342686,0.473711697,0.455528659,0.321609,0.392415057,0.6955439
2015-01-02 00:00:00+00:00,0,0,0,0.266853934,1,1,0.847659,0.956941,0.199829,0.269881429,0.379805349,0.473244178,0.454372189,0.321609,0.392027772,0.694697
2015-01-02 01:00:00+00:00,0,0,0,0.26808215,1,1,0.846193,0.955285,0.200755,0.269444731,0.379268013,0.47277666,0.45321572,0.321609,0.391640487,0.69385
2015-01-02 02:00:00+00:00,0,0,0,0.269310367,1,1,0.844726,0.953629,0.201682,0.269008034,0.378730676,0.472309141,0.45205925,0.321609,0.391253203,0.6930031
2015-01-02 03:00:00+00:00,0,0,0,0.270538583,1,1,0.843259,0.951973,0.202608,0.268571336,0.37819334,0.471841622,0.45090278,0.321609,0.390865918,0.6921561
2015-01-02 04:00:00+00:00,0,0,0,0.271766799,1,1,0.841792,0.950317,0.203535,0.268134639,0.377656003,0.471374104,0.44974631,0.321609,0.390478633,0.6913091
2015-01-02 05:00:00+00:00,0,0,0,0.272995016,1,1,0.840325,0.948661,0.204461,0.267697941,0.377118667,0.470906585,0.44858984,0.321609,0.390091348,0.6904622
2015-01-02 06:00:00+00:00,0,0,0,0.274223232,1,1,0.838858,0.947005,0.205387,0.267261244,0.376581331,0.470439066,0.44743337,0.321609,0.389704063,0.6896152
2015-01-02 07:00:00+00:00,0,0,0,0.275451449,1,1,0.837391,0.945349,0.206314,0.266824546,0.376043994,0.469971547,0.4462769,0.321609,0.389316778,0.6887683
2015-01-02 08:00:00+00:00,0,0,0,0.276679665,1,1,0.835924,0.943692,0.20724,0.266387849,0.375506658,0.469504029,0.445120431,0.321609,0.388929493,0.6879213
2015-01-02 09:00:00+00:00,0,0,0,0.277907882,1,1,0.834457,0.942036,0.208167,0.265951151,0.374969321,0.46903651,0.443963961,0.321609,0.388542208,0.6870743
2015-01-02 10:00:00+00:00,0,0,0,0.279136098,1,1,0.83299,0.94038,0.209093,0.265514454,0.374431985,0.468568991,0.442807491,0.321609,0.388154923,0.6862274
2015-01-02 11:00:00+00:00,0,0,0,0.280364315,1,1,0.831523,0.938724,0.21002,0.265077756,0.373894648,0.468101473,0.441651021,0.321609,0.387767639,0.6853804
2015-01-02 12:00:00+00:00,0,0,0,0.281592531,1,1,0.830056,0.937068,0.210946,0.264641059,0.373357312,0.467633954,0.440494551,0.321609,0.387380354,0.6845335
2015-01-02 13:00:00+00:00,0,0,0,0.282820747,1,1,0.828589,0.935412,0.211872,0.264204361,0.372819976,0.467166435,0.439338081,0.321609,0.386993069,0.6836865
