,PHOT,WTOF,WTON,HE Moste,HE Doblar,HE Plave,HE Dravograd,HE Vuzenica,HE Vuhred,HE Ozbalt,HE Fala,HE Mariborski otok,HE Zlatolicje,HE Formin,mHE_Dravske,HE Solkan,mHE SENG,HE Mavcice,HE Medvode,HE Vrhovo,mHE Savske,HE Bostanj,HE Arto-Blanca,HE Krsko,HROR
2014-12-31 23:00:00+00:00,0,0,0.012,0.174316999,0.312311344,0.410230927,0.251303728,0.519550251,0.261636376,0.261635701,0.261635,0.261636,0.261936,0.261936,0.059609,0.171425,0.221365,0.128033,0.191166,0.314688,1,0.355374,0.403091,0.413412,0.303270836
2015-01-01 00:00:00+00:00,0,0,0.012,0.174316999,0.312311344,0.410230927,0.251303728,0.519550251,0.261636376,0.261635701,0.261635,0.261636,0.261936,0.261936,0.059609,0.171425,0.221365,0.128033,0.191166,0.314688,1,0.355374,0.403091,0.413412,0.303270836
2015-01-01 01:00:00+00:00,0,0,0.011,0.174091592,0.311907498,0.409700462,0.25097877,0.518283982,0.261239974,0.2612393,0.261238,0.261239,0.261537,0.261537,0.059508,0.171038,0.220867,0.128055,0.19131,0.313826,1,0.354401,0.402015,0.412309,0.30272745
2015-01-01 02:00:00+00:00,0,0,0.012,0.173866184,0.311503652,0.409169998,0.250653812,0.517017713,0.260843571,0.260842899,0.260842,0.260843,0.261139,0.261139,0.059407,0.170652,0.220368,0.128078,0.191454,0.312964,1,0.353428,0.400939,0.411206,0.302184063
2015-01-01 03:00:00+00:00,0,0,0.014,0.173640777,0.311099806,0.408639533,0.250328854,0.515751444,0.260447169,0.260446497,0.260445,0.260447,0.260741,0.260741,0.059306,0.170266,0.21987,0.1281,0.191598,0.312103,1,0.352455,0.399864,0.410102,0.301640676
2015-01-01 04:00:00+00:00,0,0,0.02,0.17341537,0.31069596,0.408109069,0.250003896,0.514485175,0.260050767,0.260050096,0.260049,0.26005,0.260343,0.260343,0.059204,0.16988,0.219371,0.128122,0.191742,0.311241,1,0.351482,0.398788,0.408999,0.301097289
2015-01-01 05:00:00+00:00,0,0,0.025,0.173189963,0.310292114,0.407578604,0.249678939,0.513218906,0.259654364,0.259653695,0.259653,0.259654,0.259945,0.259945,0.059103,0.169494,0.218873,0.128144,0.191886,0.31038,1,0.350509,0.397712,0.407896,0.300553903
2015-01-01 06:00:00+00:00,0.002074902,0,0.024,0.172964556,0.309888268,0.407048139,0.249353981,0.511952637,0.259257962,0.259257293,0.259256,0.259257,0.259547,0.259547,0.059002,0.169108,0.218374,0.128166,0.19203,0.309518,1,0.349536,0.396637,0.406793,0.300010516
2015-01-01 07:00:00+00:00,0.041843861,0,0.019,0.172739149,0.309484422,0.406517675,0.249029023,0.510686368,0.258861559,0.258860892,0.25886,0.258861,0.259148,0.259148,0.058901,0.168722,0.217876,0.128188,0.192174,0.308656,1,0.348563,0.395561,0.405689,0.299467129
2015-01-01 08:00:00+00:00,0.077463016,0,0.008,0.172513741,0.309080576,0.40598721,0.248704065,0.509420099,0.258465157,0.258464491,0.258463,0.258465,0.25875,0.25875,0.0588,0.168336,0.217377,0.12821,0.192318,0.307795,1,0.34759,0.394485,0.404586,0.298923742
