,Wind Farms XK,Solar Farms XK,PHOT,WTOF,WTON,HE Lumbardhi,HE Dikance,HE Radavac,HE Burimi,HROR
2009-12-31 23:00:00+00:00,0.123865,0,0,0,0.123865,1,0.921880371,1,1,0.990396
2010-01-01 00:00:00+00:00,0.123865,0,0,0,0.123865,1,0.921880371,1,1,0.990396302
2010-01-01 01:00:00+00:00,0.123865,0,0,0,0.123865,1,0.925537774,1,1,0.990845928
2010-01-01 02:00:00+00:00,0.09677,0,0,0,0.09677,1,0.929195178,1,1,0.991295554
2010-01-01 03:00:00+00:00,0.081287,0,0,0,0.081287,1,0.932852582,1,1,0.99174518
2010-01-01 04:00:00+00:00,0.077416,0,0,0,0.077416,1,0.936509986,1,1,0.992194806
2010-01-01 05:00:00+00:00,0.072255,0,0,0,0.072255,1,0.940167389,1,1,0.992644431
2010-01-01 06:00:00+00:00,0.065803,0,0,0,0.065803,1,0.943824793,1,1,0.993094057
2010-01-01 07:00:00+00:00,0.056772,0.018231,0.018231,0,0.056772,1,0.947482197,1,1,0.993543683
2010-01-01 08:00:00+00:00,0.063223,0.17046,0.17046,0,0.063223,1,0.9511396,1,1,0.993993309
2010-01-01 09:00:00+00:00,0.070965,0.114855,0.114855,0,0.070965,1,0.954797004,1,1,0.994442934
2010-01-01 10:00:00+00:00,0.077416,0.102094,0.102094,0,0.077416,1,0.958454408,1,1,0.99489256
2010-01-01 11:00:00+00:00,0.077416,0.071101,0.071101,0,0.077416,1,0.962111811,1,1,0.995342186
2010-01-01 12:00:00+00:00,0.078706,0.090243,0.090243,0,0.078706,1,0.965769215,1,1,0.995791812
2010-01-01 13:00:00+00:00,0.079996,0.062897,0.062897,0,0.079996,1,0.969426619,1,1,0.996241438
2010-01-01 14:00:00+00:00,0.082577,0.05287,0.05287,0,0.082577,1,0.973084023,1,1,0.996691063
2010-01-01 15:00:00+00:00,0.100641,0.041931,0.041931,0,0.100641,1,0.976741426,1,1,0.997140689
2010-01-01 16:00:00+00:00,0.117414,0,0,0,0.117414,1,0.98039883,1,1,0.997590315
2010-01-01 17:00:00+00:00,0.114833,0,0,0,0.114833,1,0.984056234,1,1,0.998039941
2010-01-01 18:00:00+00:00,0.105802,0,0,0,0.105802,1,0.987713637,1,1,0.998489566
2010-01-01 19:00:00+00:00,0.100641,0,0,0,0.100641,1,0.991371041,1,1,0.998939192
2010-01-01 20:00:00+00:00,0.094189,0,0,0,0.094189,1,0.995028445,1,1,0.999388818
2010-01-01 21:00:00+00:00,0.087738,0,0,0,0.087738,1,0.998685848,1,1,0.999838444
2010-01-01 22:00:00+00:00,0.081287,0,0,0,0.081287,1,1,1,1,1
2010-01-01 23:00:00+00:00,0.079996,0,0,0,0.079996,1,1,1,1,1
2010-01-02 00:00:00+00:00,0.086448,0,0,0,0.086448,1,1,1,1,1
2010-01-02 01:00:00+00:00,0.090318,0,0,0,0.090318,1,1,1,1,1
2010-01-02 02:00:00+00:00,0.087738,0,0,0,0.087738,1,0.997575205,1,1,0.999701906
2010-01-02 03:00:00+00:00,0.079996,0,0,0,0.079996,1,0.994766721,1,1,0.999356643
2010-01-02 04:00:00+00:00,0.078706,0,0,0,0.078706,1,0.991958238,1,1,0.99901138
2010-01-02 05:00:00+00:00,0.073545,0,0,0,0.073545,1,0.989149754,1,1,0.998666117
2010-01-02 06:00:00+00:00,0.059352,0,0,0,0.059352,1,0.98634127,1,1,0.998320853
2010-01-02 07:00:00+00:00,0.05032,0.009115,0.009115,0,0.05032,1,0.983532787,1,1,0.99797559
2010-01-02 08:00:00+00:00,0.04903,0.079305,0.079305,0,0.04903,1,0.980724303,1,1,0.997630327
2010-01-02 09:00:00+00:00,0.05032,0.144025,0.144025,0,0.05032,1,0.977915819,1,1,0.997285064
2010-01-02 10:00:00+00:00,0.058062,0.168637,0.168637,0,0.058062,1,0.975107336,1,1,0.996939801
2010-01-02 11:00:00+00:00,0.069674,0.134909,0.134909,0,0.069674,1,0.972298852,1,1,0.996594538
2010-01-02 12:00:00+00:00,0.076126,0.178664,0.178664,0,0.076126,1,0.969490369,1,1,0.996249275
2010-01-02 13:00:00+00:00,0.078706,0.211479,0.211479,0,0.078706,1,0.966681885,1,1,0.995904012
2010-01-02 14:00:00+00:00,0.085157,0.308104,0.308104,0,0.085157,1,0.963873401,1,1,0.995558748
2010-01-02 15:00:00+00:00,0.143219,0.219683,0.219683,0,0.143219,1,0.961064918,1,1,0.995213485
2010-01-02 16:00:00+00:00,0.218055,0.013673,0.013673,0,0.218055,1,0.958256434,1,1,0.994868222
2010-01-02 17:00:00+00:00,0.249021,0,0,0,0.249021,1,0.95544795,1,1,0.994522959
2010-01-02 18:00:00+00:00,0.249021,0,0,0,0.249021,1,0.952639467,1,1,0.994177696
2010-01-02 19:00:00+00:00,0.24386,0,0,0,0.24386,1,0.949830983,1,1,0.993832433
2010-01-02 20:00:00+00:00,0.220635,0,0,0,0.220635,1,0.947022499,1,1,0.99348717
2010-01-02 21:00:00+00:00,0.169025,0,0,0,0.169025,1,0.944214016,1,1,0.993141907
2010-01-02 22:00:00+00:00,0.143219,0,0,0,0.143219,1,0.941405532,1,1,0.992796643
2010-01-02 23:00:00+00:00,0.132897,0,0,0,0.132897,1,0.938597049,1,1,0.99245138
2010-01-03 00:00:00+00:00,0.126446,0,0,0,0.126446,1,0.933141386,1,1,0.991780684
2010-01-03 01:00:00+00:00,0.119995,0,0,0,0.119995,1,0.927685724,1,1,0.991109988
2010-01-03 02:00:00+00:00,0.122575,0,0,0,0.122575,1,0.922230062,1,1,0.990439292
2010-01-03 03:00:00+00:00,0.123865,0,0,0,0.123865,1,0.9167744,1,1,0.989768596
2010-01-03 04:00:00+00:00,0.121285,0,0,0,0.121285,1,0.911318737,1,1,0.9890979
2010-01-03 05:00:00+00:00,0.110963,0,0,0,0.110963,1,0.905863075,1,1,0.988427204
2010-01-03 06:00:00+00:00,0.103221,0,0,0,0.103221,1,0.900407413,1,1,0.987756508
2010-01-03 07:00:00+00:00,0.091609,0.002735,0.002735,0,0.091609,1,0.894951751,1,1,0.987085812
2010-01-03 08:00:00+00:00,0.056772,0.065632,0.065632,0,0.056772,1,0.889496088,1,1,0.986415115
2010-01-03 09:00:00+00:00,0.043869,0.110297,0.110297,0,0.043869,1,0.884040426,1,1,0.985744419
2010-01-03 10:00:00+00:00,0.054191,0.112121,0.112121,0,0.054191,1,0.878584764,1,1,0.985073723
2010-01-03 11:00:00+00:00,0.056772,0.138555,0.138555,0,0.056772,1,0.873129102,1,1,0.984403027
2010-01-03 12:00:00+00:00,0.04903,0.154963,0.154963,0,0.04903,1,0.867673439,1,1,0.983732331
2010-01-03 13:00:00+00:00,0.043869,0.154052,0.154052,0,0.043869,1,0.862217777,1,1,0.983061635
2010-01-03 14:00:00+00:00,0.05032,0.063808,0.063808,0,0.05032,1,0.856762115,1,1,0.982390939
2010-01-03 15:00:00+00:00,0.09548,0.021877,0.021877,0,0.09548,1,0.851306453,1,1,0.981720243
