Unit,Fuel,Technology,CHPMaxHeat,CHPPowerLossFactor,CHPPowerToHeat,CHPType,CostRampUp,CostStartUp,Efficiency,EmissionRate,FormerIndexes,Fuel,MinEfficiency,NoLoadCost,Nunits,PartLoadMin,PowerCapacity,RampDownRate,RampUpMaximum,RampUpRate,StartUpTime,StorageCapacity,StorageChargingCapacity,StorageChargingEfficiency,StorageSelfDischarge,Technology,TimeDownMinimum,TimeUpMinimum,,
GAS-COMC,GAS,COMC,0,,,,150.3595884,,0.411,0.45,"[92, 97, 98, 100, 103, 104, 107, 117, 125, 131, 140, 146, 148, 156, 157, 161, 162, 164, 167, 172, 173, 179, 181, 182, 184, 185, 193, 196, 197, 198, 203, 205, 206, 208, 211, 216, 221]",GAS,0.525,0,1,0.4,27694,0.014923449,,0.014923449,1,0,0,,,COMC,1,5,"[92, 97, 98, 100, 10 ...  COMC - GAS - nan - ",DE
GAS-GTUR,GAS,GTUR,0,,,,150.3595884,,0.425,0.42,,GAS,0.525,0,1,0.4,27694,0.16,,0.16,1,0,0,,,GTUR,1,5,,
GAS-STUR,GAS,STUR,0,,,,150.3595884,,0.425,0.56,,GAS,0.525,0,1,0.4,27694,0.03,,0.03,1,0,0,,,STUR,1,5,,
WAT-HDAM,WAT,HDAM,0,,,,1,,0.85,0,"[136, 200]",WAT,0.85,0,1,0,27694,0.333951763,,0.333951763,0.3,318010,0,0.86,0,HDAM,0,0,"[136, 200] - DE - HDAM - WAT - nan - ",DE
WAT-HPHS,WAT,HPHS,0,,,,1,,0.86,0,"[87, 89, 95, 109, 110, 116, 118, 119, 137, 149, 158, 176, 180, 207]",WAT,0.86,0,1,0,27694,0.501492537,,0.501492537,0.3,52762.5,8375,0.86,0,HPHS,0,0,"[87, 89, 95, 109, 11 ...  HPHS - WAT - nan - ",DE
WAT-HROR,WAT,HROR,0,,,,1,,1,0,"[121, 123, 124, 219]",WAT,1,0,1,0,3749,0.234729261,,0.234729261,0.3,0,0,,,HROR,0,0,"[121, 123, 124, 219] - DE - HROR - WAT - nan - ",DE
SUN-PHOT,SUN,PHOT,0,,,,1,,1,0,[212],SUN,1,0,1,0,38994,0.023080474,,0.023080474,0,0,0,,,PHOT,0,0,DispaSET PHOT_DE,DE
BIO-STUR,BIO,STUR,0,,,,0.302617643,,0.38,0,[214],BIO,0.45,0,1,0.2,6609,0.000756544,,0.000756544,7,0,0,,,STUR,6,8,DispaSET Biomass_DE,DE
HRD-STUR,HRD,STUR,0,,,,171.3291514,,0.461,0.95,"[85, 90, 91, 96, 102, 106, 108, 112, 114, 115, 129, 130, 133, 134, 135, 138, 139, 143, 144, 145, 154, 155, 159, 165, 174, 177, 178, 183, 186, 187, 188, 189, 190, 191, 192, 195, 199, 201, 202, 204, 209, 217]",HRD,0.395,0,1,0.3,28741,0.007306635,,0.007306635,7,0,0,,,STUR,6,8,"[85, 90, 91, 96, 102 ...  STUR - HRD - nan - ",DE
LIG-STUR,LIG,STUR,0,,,,80.81076062,,0.434,1,"[82, 83, 84, 86, 88, 105, 142, 168, 169, 171, 194, 210, 215]",LIG,0.385,0,1,0.3,22015,0.002952532,,0.002952532,7,0,0,,,STUR,6,8,"[82, 83, 84, 86, 88, ...  STUR - LIG - nan - ",DE
NUC-STUR,NUC,STUR,0,,,,131.4800902,,0.33,0,"[111, 113, 126, 127, 128, 170, 175]",NUC,0.405,0,1,0.9,10648,0.002254884,,0.002254884,72,0,0,,,STUR,24,24,"[111, 113, 126, 127, 128, 170, 175] - DE - STUR - NUC - nan - ",DE
OIL-STUR,OIL,STUR,0,,,,56.52491055,,0.411,0.79,"[93, 99, 101, 122, 132, 218]",OIL,0.41,0,1,0.3,3745,0.008010681,,0.008010681,7,0,0,,,STUR,6,8,"[93, 99, 101, 122, 132, 218] - DE - STUR - OIL - nan - ",DE
WST-STUR,WST,STUR,0,,,,1,,0.38,0,"[120, 220]",WST,0.465,0,1,0.3,1581,0.408349146,,0.408349146,0,0,0,,,STUR,7,7,"[120, 220] - DE - STUR - WST - nan - ",DE
WIN-WTOF,WIN,WTOF,0,,,,1,,1,0,"[94, 141, 147, 150, 151, 152, 153, 160, 166]",WIN,1,0,1,0,2513,0.501392758,,0.501392758,0,0,0,,,WTOF,0,0,"[94, 141, 147, 150,  ...  WTOF - WIN - nan - ",DE
WIN-WTON,WIN,WTON,0,,,,1,,1,0,"[163, 213]",WIN,1,0,1,0,39937,0.006760648,,0.006760648,0,0,0,,,WTON,0,0,"[163, 213] - DE - WTON - WIN - nan - ",DE
