,[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2014/12/31 23:00,0.363180696,0.563228476,0,0,0,0,0,0,0,0.464966392,0.330847669,0.951159449,0.933240929,0.472197091,0.43215478,0.838036052,0.385364696,0.645520279,0.492024544,1,0.477219888
2015/01/01 00:00,0.389714834,0.563530255,0,0,0,0,0,0,0,0.465040007,0.324259432,0.933042333,0.925820139,0.472242989,0.432496598,0.838251723,0.385347428,0.643824989,0.513190188,1,0.477284907
2015/01/01 01:00,0.416248971,0.563832033,0,0,0,0,0,0,0,0.465113621,0.317671196,0.914925217,0.91839935,0.472288887,0.432838415,0.838467394,0.385330161,0.642129699,0.534355832,1,0.477349926
2015/01/01 02:00,0.442783109,0.564133812,0,0,0,0,0,0,0,0.465187236,0.31108296,0.896808101,0.91097856,0.472334785,0.433180233,0.838683065,0.385312894,0.640434409,0.555521476,1,0.477414945
2015/01/01 03:00,0.469317247,0.564435591,0,0,0,0,0,0,0,0.46526085,0.304494724,0.878690985,0.903557771,0.472380683,0.43352205,0.838898736,0.385295627,0.638739119,0.57668712,1,0.477479963
2015/01/01 04:00,0.495851384,0.56473737,0,0,0,0,0,0,0,0.465334465,0.297906488,0.860573869,0.896136981,0.472426581,0.433863868,0.839114407,0.385278359,0.637043829,0.597852764,1,0.477544982
2015/01/01 05:00,0.522385522,0.565039148,0,0,0,0,0,0,0,0.46540808,0.291318252,0.842456753,0.888716192,0.472472479,0.434205685,0.839330077,0.385261092,0.635348539,0.619018408,1,0.477610001
2015/01/01 06:00,0.54891966,0.565340927,0,0,0,0,0,0,0,0.465481694,0.284730015,0.824339637,0.881295402,0.472518378,0.434547503,0.839545748,0.385243825,0.633653249,0.640184052,1,0.47767502
2015/01/01 07:00,0.575453797,0.565642706,0,0,0,0,0,0,0,0.465555309,0.278141779,0.806222521,0.873874613,0.472564276,0.43488932,0.839761419,0.385226558,0.631957958,0.661349696,1,0.477740039
2015/01/01 08:00,0.601987935,0.565944485,0,0,0,0,0,0,0,0.465628924,0.271553543,0.788105405,0.866453823,0.472610174,0.435231138,0.83997709,0.38520929,0.630262668,0.68251534,1,0.477805058
2015/01/01 09:00,0.628522073,0.566246263,0,0,0,0,0,0,0,0.465702538,0.264965307,0.769988289,0.859033034,0.472656072,0.435572955,0.840192761,0.385192023,0.628567378,0.703680984,1,0.477870076
2015/01/01 10:00,0.65505621,0.566548042,0,0,0,0,0,0,0,0.465776153,0.258377071,0.751871173,0.851612244,0.47270197,0.435914773,0.840408432,0.385174756,0.626872088,0.724846628,1,0.477935095
