,[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2014/12/31 23:00,1,0.868389595,0,0,0,0,0,0,0,0.53484543,0.599125079,0.768662834,0.903583584,0.510939309,0.88500358,0.69210583,1,0.860963749,1,1,0.810906542
2015/01/01 00:00,0.99984449,0.867738378,0,0,0,0,0,0,0,0.535868112,0.615828201,0.765086155,0.904569554,0.510983429,0.88537992,0.693839899,0.999604901,0.859790748,1,0.969949833,0.810749187
2015/01/01 01:00,0.99968898,0.867087161,0,0,0,0,0,0,0,0.536890793,0.632531323,0.761509476,0.905555524,0.511027549,0.88575626,0.695573969,0.999209801,0.858617747,1,0.939899667,0.810591832
2015/01/01 02:00,0.99953347,0.866435944,0,0,0,0,0,0,0,0.537913474,0.649234444,0.757932797,0.906541493,0.511071669,0.8861326,0.697308039,0.998814701,0.857444745,1,0.9098495,0.810434477
2015/01/01 03:00,0.99937796,0.865784727,0,0,0,0,0,0,0,0.538936156,0.665937566,0.754356118,0.907527463,0.511115789,0.88650894,0.699042108,0.998419602,0.856271744,1,0.879799333,0.810277122
2015/01/01 04:00,0.99922245,0.86513351,0,0,0,0,0,0,0,0.539958837,0.682640688,0.750779439,0.908513432,0.511159909,0.88688528,0.700776178,0.998024502,0.855098743,1,0.849749167,0.810119767
2015/01/01 05:00,0.99906694,0.864482293,0,0,0,0,0,0,0,0.540981518,0.699343809,0.74720276,0.909499402,0.511204029,0.88726162,0.702510248,0.997629403,0.853925742,1,0.819699,0.809962412
2015/01/01 06:00,0.99891143,0.863831076,0,0,0,0,0,0,0,0.5420042,0.716046931,0.743626081,0.910485371,0.511248149,0.88763796,0.704244318,0.997234303,0.852752741,1,0.789648833,0.809805057
2015/01/01 07:00,0.99875592,0.863179859,0,0,0,0,0,0,0,0.543026881,0.732750053,0.740049402,0.911471341,0.511292269,0.8880143,0.705978387,0.996839204,0.851579739,1,0.759598667,0.809647702
2015/01/01 08:00,0.99860041,0.862528642,0,0,0,0,0,0,0,0.544049562,0.749453174,0.736472723,0.91245731,0.511336389,0.88839064,0.707712457,0.996444104,0.850406738,1,0.7295485,0.809490347
2015/01/01 09:00,0.9984449,0.861877425,0,0,0,0,0,0,0,0.545072244,0.766156296,0.732896044,0.91344328,0.511380509,0.88876698,0.709446527,0.996049005,0.849233737,1,0.699498333,0.809332992
2015/01/01 10:00,0.99828939,0.861226208,0,0,0,0,0,0,0,0.546094925,0.782859418,0.729319365,0.91442925,0.511424629,0.88914332,0.711180596,0.995653905,0.848060736,1,0.669448167,0.809175637
2015/01/01 11:00,0.99813388,0.860574991,0,0,0,0,0,0,0,0.547117606,0.799562539,0.725742686,0.915415219,0.51146875,0.88951966,0.712914666,0.995258805,0.846887734,1,0.639398,0.809018282
