,HE Vrutok,HE Tikvesh,HE Shpilje,HE Kozjak,HE Globochica,HDAM,HROR
2009-12-31 23:00:00+00:00,0.594406544,0.666552854,0.580227986,0.905221098,0.904684452,0.900139763,0.9480989
2010-01-01 00:00:00+00:00,0.594406544,0.666552854,0.580227986,0.905221098,0.904684452,0.900139763,0.9480989
2010-01-01 01:00:00+00:00,0.594513251,0.666438803,0.581031172,0.905283162,0.899516393,0.899359819,0.9471814
2010-01-01 02:00:00+00:00,0.594619771,0.666324514,0.581850968,0.905344059,0.894355801,0.898584659,0.9462638
2010-01-01 03:00:00+00:00,0.594726104,0.666209986,0.582687362,0.905403788,0.889202674,0.897814281,0.9453463
2010-01-01 04:00:00+00:00,0.59483225,0.66609522,0.583540345,0.90546235,0.884057014,0.897048683,0.9444287
2010-01-01 05:00:00+00:00,0.594938208,0.665980216,0.584409906,0.905519743,0.87891882,0.896287863,0.9435112
2010-01-01 06:00:00+00:00,0.59504398,0.665864973,0.585296036,0.905575969,0.873788092,0.895531818,0.9425936
2010-01-01 07:00:00+00:00,0.595149564,0.665749492,0.586198725,0.905631026,0.86866483,0.894780546,0.9416761
2010-01-01 08:00:00+00:00,0.595254962,0.665633772,0.587117964,0.905684916,0.863549034,0.894034045,0.9407585
2010-01-01 09:00:00+00:00,0.595360172,0.665517814,0.588053741,0.905737636,0.858440704,0.893292311,0.939841
2010-01-01 10:00:00+00:00,0.595465195,0.665401617,0.589006049,0.905789189,0.85333984,0.892555344,0.9389235
2010-01-01 11:00:00+00:00,0.595570032,0.665285183,0.589974877,0.905839573,0.848246443,0.89182314,0.9380059
2010-01-01 12:00:00+00:00,0.595674681,0.665168509,0.590960216,0.905888788,0.843160511,0.891095698,0.9370884
2010-01-01 13:00:00+00:00,0.595779143,0.665051598,0.591962056,0.905936835,0.838082046,0.890373015,0.9361708
2010-01-01 14:00:00+00:00,0.595883418,0.664934447,0.592980388,0.905983712,0.833011046,0.889655089,0.9352533
2010-01-01 15:00:00+00:00,0.595987506,0.664817059,0.594015204,0.906029421,0.827947513,0.888941919,0.9343357
