,HE Ujmani,HDAM,HROR
2009-12-31 23:00:00+00:00,0.314574355,0.314574355,0.990396
2010-01-01 00:00:00+00:00,0.314602193,0.314602193,0.990396
2010-01-01 01:00:00+00:00,0.31463135,0.31463135,0.990846
2010-01-01 02:00:00+00:00,0.314661828,0.314661828,0.991296
2010-01-01 03:00:00+00:00,0.314693625,0.314693625,0.991745
2010-01-01 04:00:00+00:00,0.314726743,0.314726743,0.992195
2010-01-01 05:00:00+00:00,0.31476118,0.31476118,0.992644
2010-01-01 06:00:00+00:00,0.314796938,0.314796938,0.993094
2010-01-01 07:00:00+00:00,0.314834016,0.314834016,0.993544
2010-01-01 08:00:00+00:00,0.314872413,0.314872413,0.993993
2010-01-01 09:00:00+00:00,0.314912131,0.314912131,0.994443
2010-01-01 10:00:00+00:00,0.314953168,0.314953168,0.994893
2010-01-01 11:00:00+00:00,0.314995526,0.314995526,0.995342
2010-01-01 12:00:00+00:00,0.315039204,0.315039204,0.995792
2010-01-01 13:00:00+00:00,0.315084202,0.315084202,0.996241
2010-01-01 14:00:00+00:00,0.315582222,0.315582222,0.996691
2010-01-01 15:00:00+00:00,0.316081563,0.316081563,0.997141
2010-01-01 16:00:00+00:00,0.316582223,0.316582223,0.99759
2010-01-01 17:00:00+00:00,0.317084204,0.317084204,0.99804
2010-01-01 18:00:00+00:00,0.317587505,0.317587505,0.99849
2010-01-01 19:00:00+00:00,0.318092125,0.318092125,0.998939
2010-01-01 20:00:00+00:00,0.318598066,0.318598066,0.999389
2010-01-01 21:00:00+00:00,0.319105327,0.319105327,0.999838
2010-01-01 22:00:00+00:00,0.319613908,0.319613908,1
2010-01-01 23:00:00+00:00,0.320124147,0.320124147,1
2010-01-02 00:00:00+00:00,0.320636044,0.320636044,1
2010-01-02 01:00:00+00:00,0.3211496,0.3211496,1
2010-01-02 02:00:00+00:00,0.321664814,0.321664814,0.999702
2010-01-02 03:00:00+00:00,0.322181687,0.322181687,0.999357
2010-01-02 04:00:00+00:00,0.322700218,0.322700218,0.999011
2010-01-02 05:00:00+00:00,0.323220407,0.323220407,0.998666
2010-01-02 06:00:00+00:00,0.323742255,0.323742255,0.998321
2010-01-02 07:00:00+00:00,0.324265761,0.324265761,0.997976
2010-01-02 08:00:00+00:00,0.324790925,0.324790925,0.99763
2010-01-02 09:00:00+00:00,0.325317748,0.325317748,0.997285
2010-01-02 10:00:00+00:00,0.325846229,0.325846229,0.99694
