,HE Fierza,HE Koman,HE Ulza,HE Shkopetit,HE Vau Dejes
2014-12-31 23:00:00+00:00,1.485731889,0.3578688,0.602632224,0.509481328,0.51012
2015-01-01 00:00:00+00:00,1.485731889,0.3578688,0.602632224,0.509481328,0.51012
2015-01-01 01:00:00+00:00,1.487371744,0.358369848,0.602902221,0.509872635,0.510394258
2015-01-01 02:00:00+00:00,1.489011599,0.358870897,0.603172217,0.510263942,0.510668516
2015-01-01 03:00:00+00:00,1.490651453,0.359371945,0.603442214,0.510655248,0.510942774
2015-01-01 04:00:00+00:00,1.492291308,0.359872994,0.60371221,0.511046555,0.511217032
2015-01-01 05:00:00+00:00,1.493931163,0.360374042,0.603982207,0.511437862,0.51149129
2015-01-01 06:00:00+00:00,1.495571018,0.36087509,0.604252203,0.511829168,0.511765548
2015-01-01 07:00:00+00:00,1.497210873,0.361376139,0.6045222,0.512220475,0.512039806
2015-01-01 08:00:00+00:00,1.498850728,0.361877187,0.604792196,0.512611782,0.512314065
2015-01-01 09:00:00+00:00,1.500490582,0.362378235,0.605062193,0.513003088,0.512588323
2015-01-01 10:00:00+00:00,1.502130437,0.362879284,0.605332189,0.513394395,0.512862581
2015-01-01 11:00:00+00:00,1.503770292,0.363380332,0.605602186,0.513785702,0.513136839
2015-01-01 12:00:00+00:00,1.505410147,0.363881381,0.605872182,0.514177009,0.513411097
2015-01-01 13:00:00+00:00,1.507050002,0.364382429,0.606142179,0.514568315,0.513685355
2015-01-01 14:00:00+00:00,1.508689857,0.364883477,0.606412175,0.514959622,0.513959613
2015-01-01 15:00:00+00:00,1.510329711,0.365384526,0.606682172,0.515350929,0.514233871
2015-01-01 16:00:00+00:00,1.511969566,0.365885574,0.606952168,0.515742235,0.514508129
2015-01-01 17:00:00+00:00,1.513609421,0.366386623,0.607222165,0.516133542,0.514782387
2015-01-01 18:00:00+00:00,1.515249276,0.366887671,0.607492161,0.516524849,0.515056645
2015-01-01 19:00:00+00:00,1.516889131,0.367388719,0.607762158,0.516916155,0.515330903
2015-01-01 20:00:00+00:00,1.518528986,0.367889768,0.608032154,0.517307462,0.515605161
2015-01-01 21:00:00+00:00,1.52016884,0.368390816,0.608302151,0.517698769,0.515879419
2015-01-01 22:00:00+00:00,1.521808695,0.368891865,0.608572147,0.518090076,0.516153677
2015-01-01 23:00:00+00:00,1.52344855,0.369392913,0.608842144,0.518481382,0.516427935
2015-01-02 00:00:00+00:00,1.526208023,0.369893961,0.60911214,0.518872689,0.516702194
2015-01-02 01:00:00+00:00,1.528967495,0.37039501,0.609382137,0.519263996,0.516976452
2015-01-02 02:00:00+00:00,1.531726968,0.370896058,0.609652133,0.519655302,0.51725071
2015-01-02 03:00:00+00:00,1.534486441,0.371397106,0.60992213,0.520046609,0.517524968
2015-01-02 04:00:00+00:00,1.537245914,0.371898155,0.610192126,0.520437916,0.517799226
2015-01-02 05:00:00+00:00,1.540005386,0.372399203,0.610462123,0.520829223,0.518073484
2015-01-02 06:00:00+00:00,1.542764859,0.372900252,0.610732119,0.521220529,0.518347742
2015-01-02 07:00:00+00:00,1.545524332,0.3734013,0.611002116,0.521611836,0.518622
2015-01-02 08:00:00+00:00,1.548283804,0.373902348,0.611272113,0.522003143,0.518896258
2015-01-02 09:00:00+00:00,1.551043277,0.374403397,0.611542109,0.522394449,0.519170516
2015-01-02 10:00:00+00:00,1.55380275,0.374904445,0.611812106,0.522785756,0.519444774
