,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2014/12/31 23:00,0.000390111,9.90E-05,0.001190873,0.014601102,0.002646571,0.007787271,0.000426878,0.000761101,0.020744425,0.1397851,0.000104929,0.012536483,0.083281968,0.002997961,0.00326334,0.006070521,0.00056484,0.035546315,0.000624603,0.001452929,0.066220775
2015/01/01 00:00,0.000390035,9.90E-05,0.001187555,0.014526686,0.002634725,0.007781756,0.000425428,0.000761175,0.020722649,0.139737532,0.000105036,0.012484673,0.082910065,0.003000289,0.00326332,0.006067704,0.000568427,0.035462062,0.000621375,0.001445742,0.066084036
2015/01/01 01:00,0.00038996,9.90E-05,0.001184238,0.014452271,0.002622879,0.007776242,0.000423977,0.000761249,0.020700873,0.139689964,0.000105143,0.012432863,0.082538161,0.003002618,0.003263299,0.006064886,0.000572015,0.035377808,0.000618147,0.001438555,0.065947298
2015/01/01 02:00,0.000389884,9.90E-05,0.00118092,0.014377856,0.002611033,0.007770727,0.000422527,0.000761322,0.020679097,0.139642395,0.00010525,0.012381053,0.082166258,0.003004946,0.003263279,0.006062068,0.000575603,0.035293555,0.000614919,0.001431368,0.065810559
2015/01/01 03:00,0.000389809,9.90E-05,0.001177603,0.01430344,0.002599187,0.007765213,0.000421076,0.000761396,0.020657321,0.139594827,0.000105357,0.012329243,0.081794354,0.003007274,0.003263259,0.00605925,0.000579191,0.035209301,0.000611691,0.001424181,0.06567382
2015/01/01 04:00,0.000389733,9.90E-05,0.001174285,0.014229025,0.002587341,0.007759699,0.000419626,0.00076147,0.020635545,0.139547259,0.000105464,0.012277433,0.081422451,0.003009603,0.003263238,0.006056433,0.000582779,0.035125048,0.000608463,0.001416994,0.065537081
2015/01/01 05:00,0.000389658,9.90E-05,0.001170967,0.01415461,0.002575495,0.007754184,0.000418175,0.000761544,0.020613769,0.139499691,0.000105571,0.012225623,0.081050547,0.003011931,0.003263218,0.006053615,0.000586366,0.035040794,0.000605235,0.001409807,0.065400342
2015/01/01 06:00,0.000389582,9.89E-05,0.00116765,0.014080194,0.002563649,0.00774867,0.000416725,0.000761617,0.020591993,0.139452123,0.000105678,0.012173812,0.080678644,0.003014259,0.003263198,0.006050797,0.000589954,0.034956541,0.000602007,0.00140262,0.065263603
2015/01/01 07:00,0.000389507,9.89E-05,0.001164332,0.014005779,0.002551803,0.007743155,0.000415274,0.000761691,0.020570217,0.139404555,0.000105785,0.012122002,0.08030674,0.003016588,0.003263177,0.006047979,0.000593542,0.034872287,0.000598779,0.001395433,0.065126864
2015/01/01 08:00,0.000389431,9.89E-05,0.001161015,0.013931364,0.002539957,0.007737641,0.000413824,0.000761765,0.020548441,0.139356986,0.000105892,0.012070192,0.079934837,0.003018916,0.003263157,0.006045162,0.00059713,0.034788034,0.000595551,0.001388246,0.064990125
