,HE Piva,HE Perucica,HE Pljevlja,HDAM
2009-12-31 23:00:00+00:00,1.073777827,2.212584484,3.646064255,2.310808855
2010-01-01 00:00:00+00:00,1.073777827,2.212584484,3.646064255,2.310808855
2010-01-01 01:00:00+00:00,1.077706485,2.222875025,3.635789895,2.312123802
2010-01-01 02:00:00+00:00,1.081635142,2.233165566,3.625515535,2.313438748
2010-01-01 03:00:00+00:00,1.0855638,2.243456107,3.615241175,2.314753694
2010-01-01 04:00:00+00:00,1.089492458,2.253746648,3.604966816,2.316068641
2010-01-01 05:00:00+00:00,1.093421115,2.264037189,3.594692456,2.317383587
2010-01-01 06:00:00+00:00,1.097349773,2.27432773,3.584418096,2.318698533
2010-01-01 07:00:00+00:00,1.10127843,2.284618271,3.574143736,2.320013479
2010-01-01 08:00:00+00:00,1.105207088,2.294908811,3.563869377,2.321328425
2010-01-01 09:00:00+00:00,1.109135746,2.305199352,3.553595017,2.322643372
2010-01-01 10:00:00+00:00,1.113064403,2.315489893,3.543320657,2.323958318
2010-01-01 11:00:00+00:00,1.116993061,2.325780434,3.533046298,2.325273264
2010-01-01 12:00:00+00:00,1.120921718,2.336070975,3.522771938,2.32658821
2010-01-01 13:00:00+00:00,1.124850376,2.346361516,3.512497578,2.327903157
2010-01-01 14:00:00+00:00,1.128779034,2.356652057,3.502223218,2.329218103
2010-01-01 15:00:00+00:00,1.132707691,2.366942598,3.491948859,2.330533049
2010-01-01 16:00:00+00:00,1.136636349,2.377233138,3.481674499,2.331847995
2010-01-01 17:00:00+00:00,1.140565006,2.387523679,3.471400139,2.333162941
2010-01-01 18:00:00+00:00,1.144493664,2.39781422,3.461125779,2.334477888
2010-01-01 19:00:00+00:00,1.148422322,2.408104761,3.45085142,2.335792834
2010-01-01 20:00:00+00:00,1.152350979,2.418395302,3.44057706,2.33710778
2010-01-01 21:00:00+00:00,1.156279637,2.428685843,3.4303027,2.338422727
2010-01-01 22:00:00+00:00,1.160208294,2.438976384,3.420028341,2.339737673
2010-01-01 23:00:00+00:00,1.164136952,2.449266925,3.409753981,2.341052619
2010-01-02 00:00:00+00:00,1.16806561,2.434246146,7.432704311,3.678338689
2010-01-02 01:00:00+00:00,1.167750406,2.419225367,7.456593777,3.68118985
2010-01-02 02:00:00+00:00,1.167435203,2.404204589,7.480483243,3.684041012
2010-01-02 03:00:00+00:00,1.167119999,2.38918381,7.504372709,3.686892173
2010-01-02 04:00:00+00:00,1.166804796,2.374163032,7.528262175,3.689743334
2010-01-02 05:00:00+00:00,1.166489592,2.359142253,7.552151641,3.692594495
2010-01-02 06:00:00+00:00,1.166174388,2.344121475,7.576041108,3.695445657
2010-01-02 07:00:00+00:00,1.165859185,2.329100696,7.599930574,3.698296818
2010-01-02 08:00:00+00:00,1.165543981,2.314079917,7.62382004,3.701147979
2010-01-02 09:00:00+00:00,1.165228778,2.299059139,7.647709506,3.703999141
2010-01-02 10:00:00+00:00,1.164913574,2.28403836,7.671598972,3.706850302
2010-01-02 11:00:00+00:00,1.164598371,2.269017582,7.695488438,3.709701464
2010-01-02 12:00:00+00:00,1.164283167,2.253996803,7.719377904,3.712552625
2010-01-02 13:00:00+00:00,1.163967964,2.238976025,7.74326737,3.715403786
2010-01-02 14:00:00+00:00,1.16365276,2.223955246,7.767156836,3.718254947
2010-01-02 15:00:00+00:00,1.163337557,2.208934467,7.791046302,3.721106109
2010-01-02 16:00:00+00:00,1.163022353,2.193913689,7.814935769,3.72395727
2010-01-02 17:00:00+00:00,1.16270715,2.17889291,7.838825235,3.726808432
2010-01-02 18:00:00+00:00,1.162391946,2.163872132,7.862714701,3.729659593
2010-01-02 19:00:00+00:00,1.162076743,2.148851353,7.886604167,3.732510754
2010-01-02 20:00:00+00:00,1.161761539,2.133830575,7.910493633,3.735361916
2010-01-02 21:00:00+00:00,1.161446336,2.118809796,7.934383099,3.738213077
2010-01-02 22:00:00+00:00,1.161131132,2.103789017,7.958272565,3.741064238
2010-01-02 23:00:00+00:00,1.160815929,2.088768239,7.982162031,3.7439154
2010-01-03 00:00:00+00:00,1.160500725,2.069402139,8.006051497,3.74531812
2010-01-03 01:00:00+00:00,1.156984253,2.050036039,7.993903745,3.733641346
2010-01-03 02:00:00+00:00,1.153467781,2.030669939,7.981755993,3.721964571
2010-01-03 03:00:00+00:00,1.14995131,2.011303839,7.969608241,3.710287797
2010-01-03 04:00:00+00:00,1.146434838,1.991937739,7.957460489,3.698611022
2010-01-03 05:00:00+00:00,1.142918366,1.972571639,7.945312737,3.686934247
2010-01-03 06:00:00+00:00,1.139401894,1.953205539,7.933164984,3.675257472
2010-01-03 07:00:00+00:00,1.135885422,1.93383944,7.921017232,3.663580698
2010-01-03 08:00:00+00:00,1.132368951,1.91447334,7.90886948,3.651903924
2010-01-03 09:00:00+00:00,1.128852479,1.89510724,7.896721728,3.640227149
2010-01-03 10:00:00+00:00,1.125336007,1.87574114,7.884573976,3.628550374
2010-01-03 11:00:00+00:00,1.121819535,1.85637504,7.872426224,3.6168736
2010-01-03 12:00:00+00:00,1.118303063,1.83700894,7.860278471,3.605196825
2010-01-03 13:00:00+00:00,1.114786592,1.81764284,7.848130719,3.59352005
2010-01-03 14:00:00+00:00,1.11127012,1.79827674,7.835982967,3.581843276
2010-01-03 15:00:00+00:00,1.107753648,1.77891064,7.823835215,3.570166501
2010-01-03 16:00:00+00:00,1.104237176,1.75954454,7.811687463,3.558489726
2010-01-03 17:00:00+00:00,1.100720704,1.74017844,7.79953971,3.546812951
2010-01-03 18:00:00+00:00,1.097204232,1.72081234,7.787391958,3.535136177
2010-01-03 19:00:00+00:00,1.093687761,1.70144624,7.775244206,3.523459402
2010-01-03 20:00:00+00:00,1.090171289,1.682080141,7.763096454,3.511782628
2010-01-03 21:00:00+00:00,1.086654817,1.662714041,7.750948702,3.500105853
2010-01-03 22:00:00+00:00,1.083138345,1.643347941,7.73880095,3.488429079
2010-01-03 23:00:00+00:00,1.079621873,1.623981841,7.726653197,3.476752304
2010-01-04 00:00:00+00:00,1.076105402,1.634753169,7.714505445,3.475121339
2010-01-04 01:00:00+00:00,1.072497508,1.645524496,7.683965164,3.467329056
