,HE Ujmani,HDAM
2014-12-31 23:00:00+00:00,1.303150623,1.303150623
2015-01-01 00:00:00+00:00,1.303150623,1.303150623
2015-01-01 01:00:00+00:00,1.306747662,1.306747662
2015-01-01 02:00:00+00:00,1.3103447,1.3103447
2015-01-01 03:00:00+00:00,1.313941739,1.313941739
2015-01-01 04:00:00+00:00,1.317538778,1.317538778
2015-01-01 05:00:00+00:00,1.321135816,1.321135816
2015-01-01 06:00:00+00:00,1.324732855,1.324732855
2015-01-01 07:00:00+00:00,1.328329894,1.328329894
2015-01-01 08:00:00+00:00,1.331926932,1.331926932
2015-01-01 09:00:00+00:00,1.335523971,1.335523971
2015-01-01 10:00:00+00:00,1.33912101,1.33912101
2015-01-01 11:00:00+00:00,1.342718048,1.342718048
2015-01-01 12:00:00+00:00,1.346315087,1.346315087
2015-01-01 13:00:00+00:00,1.349912126,1.349912126
2015-01-01 14:00:00+00:00,1.353509164,1.353509164
2015-01-01 15:00:00+00:00,1.357106203,1.357106203
2015-01-01 16:00:00+00:00,1.360703242,1.360703242
2015-01-01 17:00:00+00:00,1.36430028,1.36430028
2015-01-01 18:00:00+00:00,1.367897319,1.367897319
2015-01-01 19:00:00+00:00,1.371494358,1.371494358
2015-01-01 20:00:00+00:00,1.375091396,1.375091396
2015-01-01 21:00:00+00:00,1.378688435,1.378688435
2015-01-01 22:00:00+00:00,1.382285474,1.382285474
2015-01-01 23:00:00+00:00,1.385882512,1.385882512
2015-01-02 00:00:00+00:00,1.390401569,1.390401569
2015-01-02 01:00:00+00:00,1.394920625,1.394920625
2015-01-02 02:00:00+00:00,1.399439681,1.399439681
2015-01-02 03:00:00+00:00,1.403958737,1.403958737
2015-01-02 04:00:00+00:00,1.408477793,1.408477793
2015-01-02 05:00:00+00:00,1.412996849,1.412996849
2015-01-02 06:00:00+00:00,1.417515906,1.417515906
2015-01-02 07:00:00+00:00,1.422034962,1.422034962
2015-01-02 08:00:00+00:00,1.426554018,1.426554018
2015-01-02 09:00:00+00:00,1.431073074,1.431073074
2015-01-02 10:00:00+00:00,1.43559213,1.43559213
2015-01-02 11:00:00+00:00,1.440111186,1.440111186
2015-01-02 12:00:00+00:00,1.444630242,1.444630242
2015-01-02 13:00:00+00:00,1.449149299,1.449149299
2015-01-02 14:00:00+00:00,1.453668355,1.453668355
2015-01-02 15:00:00+00:00,1.458187411,1.458187411
2015-01-02 16:00:00+00:00,1.462706467,1.462706467
2015-01-02 17:00:00+00:00,1.467225523,1.467225523
2015-01-02 18:00:00+00:00,1.471744579,1.471744579
2015-01-02 19:00:00+00:00,1.476263635,1.476263635
2015-01-02 20:00:00+00:00,1.480782692,1.480782692
2015-01-02 21:00:00+00:00,1.485301748,1.485301748
2015-01-02 22:00:00+00:00,1.489820804,1.489820804
2015-01-02 23:00:00+00:00,1.49433986,1.49433986
2015-01-03 00:00:00+00:00,1.491772541,1.491772541
2015-01-03 01:00:00+00:00,1.489205223,1.489205223
2015-01-03 02:00:00+00:00,1.486637904,1.486637904
2015-01-03 03:00:00+00:00,1.484070586,1.484070586
2015-01-03 04:00:00+00:00,1.481503267,1.481503267
2015-01-03 05:00:00+00:00,1.478935949,1.478935949
2015-01-03 06:00:00+00:00,1.47636863,1.47636863
2015-01-03 07:00:00+00:00,1.473801312,1.473801312
2015-01-03 08:00:00+00:00,1.471233993,1.471233993
2015-01-03 09:00:00+00:00,1.468666674,1.468666674
2015-01-03 10:00:00+00:00,1.466099356,1.466099356
2015-01-03 11:00:00+00:00,1.463532037,1.463532037
2015-01-03 12:00:00+00:00,1.460964719,1.460964719
2015-01-03 13:00:00+00:00,1.4583974,1.4583974
2015-01-03 14:00:00+00:00,1.455830082,1.455830082
2015-01-03 15:00:00+00:00,1.453262763,1.453262763
2015-01-03 16:00:00+00:00,1.450695445,1.450695445
2015-01-03 17:00:00+00:00,1.448128126,1.448128126
2015-01-03 18:00:00+00:00,1.445560807,1.445560807
2015-01-03 19:00:00+00:00,1.442993489,1.442993489
2015-01-03 20:00:00+00:00,1.44042617,1.44042617
2015-01-03 21:00:00+00:00,1.437858852,1.437858852
2015-01-03 22:00:00+00:00,1.435291533,1.435291533
2015-01-03 23:00:00+00:00,1.432724215,1.432724215
2015-01-04 00:00:00+00:00,1.427160808,1.427160808
2015-01-04 01:00:00+00:00,1.421597402,1.421597402
2015-01-04 02:00:00+00:00,1.416033996,1.416033996
2015-01-04 03:00:00+00:00,1.410470589,1.410470589
2015-01-04 04:00:00+00:00,1.404907183,1.404907183
2015-01-04 05:00:00+00:00,1.399343776,1.399343776
2015-01-04 06:00:00+00:00,1.39378037,1.39378037
2015-01-04 07:00:00+00:00,1.388216964,1.388216964
2015-01-04 08:00:00+00:00,1.382653557,1.382653557
2015-01-04 09:00:00+00:00,1.377090151,1.377090151
2015-01-04 10:00:00+00:00,1.371526745,1.371526745
2015-01-04 11:00:00+00:00,1.365963338,1.365963338
2015-01-04 12:00:00+00:00,1.360399932,1.360399932
2015-01-04 13:00:00+00:00,1.354836525,1.354836525
2015-01-04 14:00:00+00:00,1.349273119,1.349273119
2015-01-04 15:00:00+00:00,1.343709713,1.343709713
2015-01-04 16:00:00+00:00,1.338146306,1.338146306
2015-01-04 17:00:00+00:00,1.3325829,1.3325829
2015-01-04 18:00:00+00:00,1.327019494,1.327019494
2015-01-04 19:00:00+00:00,1.321456087,1.321456087
2015-01-04 20:00:00+00:00,1.315892681,1.315892681
2015-01-04 21:00:00+00:00,1.310329274,1.310329274
2015-01-04 22:00:00+00:00,1.304765868,1.304765868
2015-01-04 23:00:00+00:00,1.299202462,1.299202462
2015-01-05 00:00:00+00:00,1.296273773,1.296273773
2015-01-05 01:00:00+00:00,1.293345084,1.293345084
2015-01-05 02:00:00+00:00,1.290416395,1.290416395
2015-01-05 03:00:00+00:00,1.287487706,1.287487706
2015-01-05 04:00:00+00:00,1.284559016,1.284559016
2015-01-05 05:00:00+00:00,1.281630327,1.281630327
2015-01-05 06:00:00+00:00,1.278701638,1.278701638
2015-01-05 07:00:00+00:00,1.275772949,1.275772949
2015-01-05 08:00:00+00:00,1.27284426,1.27284426
2015-01-05 09:00:00+00:00,1.269915571,1.269915571
2015-01-05 10:00:00+00:00,1.266986882,1.266986882
2015-01-05 11:00:00+00:00,1.264058193,1.264058193
2015-01-05 12:00:00+00:00,1.261129504,1.261129504
2015-01-05 13:00:00+00:00,1.258200815,1.258200815
2015-01-05 14:00:00+00:00,1.255272126,1.255272126
2015-01-05 15:00:00+00:00,1.252343437,1.252343437
2015-01-05 16:00:00+00:00,1.249414748,1.249414748
2015-01-05 17:00:00+00:00,1.246486059,1.246486059
2015-01-05 18:00:00+00:00,1.24355737,1.24355737
2015-01-05 19:00:00+00:00,1.240628681,1.240628681
2015-01-05 20:00:00+00:00,1.237699992,1.237699992
2015-01-05 21:00:00+00:00,1.234771303,1.234771303
2015-01-05 22:00:00+00:00,1.231842614,1.231842614
2015-01-05 23:00:00+00:00,1.228913925,1.228913925
2015-01-06 00:00:00+00:00,1.230917749,1.230917749
2015-01-06 01:00:00+00:00,1.232921573,1.232921573
2015-01-06 02:00:00+00:00,1.234925397,1.234925397
2015-01-06 03:00:00+00:00,1.236929221,1.236929221
2015-01-06 04:00:00+00:00,1.238933045,1.238933045
2015-01-06 05:00:00+00:00,1.240936869,1.240936869
2015-01-06 06:00:00+00:00,1.242940693,1.242940693
2015-01-06 07:00:00+00:00,1.244944517,1.244944517
2015-01-06 08:00:00+00:00,1.246948342,1.246948342
2015-01-06 09:00:00+00:00,1.248952166,1.248952166
2015-01-06 10:00:00+00:00,1.25095599,1.25095599
2015-01-06 11:00:00+00:00,1.252959814,1.252959814
2015-01-06 12:00:00+00:00,1.254963638,1.254963638
2015-01-06 13:00:00+00:00,1.256967462,1.256967462
2015-01-06 14:00:00+00:00,1.258971286,1.258971286
2015-01-06 15:00:00+00:00,1.26097511,1.26097511
2015-01-06 16:00:00+00:00,1.262978934,1.262978934
2015-01-06 17:00:00+00:00,1.264982758,1.264982758
2015-01-06 18:00:00+00:00,1.266986582,1.266986582
2015-01-06 19:00:00+00:00,1.268990407,1.268990407
2015-01-06 20:00:00+00:00,1.270994231,1.270994231
2015-01-06 21:00:00+00:00,1.272998055,1.272998055
2015-01-06 22:00:00+00:00,1.275001879,1.275001879
2015-01-06 23:00:00+00:00,1.277005703,1.277005703
2015-01-07 00:00:00+00:00,1.279211858,1.279211858
2015-01-07 01:00:00+00:00,1.281418013,1.281418013
2015-01-07 02:00:00+00:00,1.283624167,1.283624167
2015-01-07 03:00:00+00:00,1.285830322,1.285830322
2015-01-07 04:00:00+00:00,1.288036477,1.288036477
2015-01-07 05:00:00+00:00,1.290242632,1.290242632
2015-01-07 06:00:00+00:00,1.292448786,1.292448786
2015-01-07 07:00:00+00:00,1.294654941,1.294654941
2015-01-07 08:00:00+00:00,1.296861096,1.296861096
2015-01-07 09:00:00+00:00,1.299067251,1.299067251
2015-01-07 10:00:00+00:00,1.301273406,1.301273406
2015-01-07 11:00:00+00:00,1.30347956,1.30347956
2015-01-07 12:00:00+00:00,1.305685715,1.305685715
2015-01-07 13:00:00+00:00,1.30789187,1.30789187
2015-01-07 14:00:00+00:00,1.310098025,1.310098025
2015-01-07 15:00:00+00:00,1.312304179,1.312304179
2015-01-07 16:00:00+00:00,1.314510334,1.314510334
2015-01-07 17:00:00+00:00,1.316716489,1.316716489
2015-01-07 18:00:00+00:00,1.318922644,1.318922644
2015-01-07 19:00:00+00:00,1.321128799,1.321128799
2015-01-07 20:00:00+00:00,1.323334953,1.323334953
2015-01-07 21:00:00+00:00,1.325541108,1.325541108
2015-01-07 22:00:00+00:00,1.327747263,1.327747263
2015-01-07 23:00:00+00:00,1.329953418,1.329953418
2015-01-08 00:00:00+00:00,1.334499429,1.334499429
2015-01-08 01:00:00+00:00,1.339045441,1.339045441
2015-01-08 02:00:00+00:00,1.343591452,1.343591452
2015-01-08 03:00:00+00:00,1.348137464,1.348137464
2015-01-08 04:00:00+00:00,1.352683475,1.352683475
2015-01-08 05:00:00+00:00,1.357229487,1.357229487
2015-01-08 06:00:00+00:00,1.361775498,1.361775498
2015-01-08 07:00:00+00:00,1.36632151,1.36632151
2015-01-08 08:00:00+00:00,1.370867521,1.370867521
2015-01-08 09:00:00+00:00,1.375413533,1.375413533
2015-01-08 10:00:00+00:00,1.379959544,1.379959544
2015-01-08 11:00:00+00:00,1.384505556,1.384505556
2015-01-08 12:00:00+00:00,1.389051567,1.389051567
2015-01-08 13:00:00+00:00,1.393597579,1.393597579
2015-01-08 14:00:00+00:00,1.39814359,1.39814359
2015-01-08 15:00:00+00:00,1.402689602,1.402689602
2015-01-08 16:00:00+00:00,1.407235613,1.407235613
2015-01-08 17:00:00+00:00,1.411781625,1.411781625
2015-01-08 18:00:00+00:00,1.416327637,1.416327637
2015-01-08 19:00:00+00:00,1.420873648,1.420873648
2015-01-08 20:00:00+00:00,1.42541966,1.42541966
2015-01-08 21:00:00+00:00,1.429965671,1.429965671
2015-01-08 22:00:00+00:00,1.434511683,1.434511683
2015-01-08 23:00:00+00:00,1.439057694,1.439057694
2015-01-09 00:00:00+00:00,1.444968921,1.444968921
2015-01-09 01:00:00+00:00,1.450880148,1.450880148
2015-01-09 02:00:00+00:00,1.456791375,1.456791375
2015-01-09 03:00:00+00:00,1.462702601,1.462702601
2015-01-09 04:00:00+00:00,1.468613828,1.468613828
2015-01-09 05:00:00+00:00,1.474525055,1.474525055
2015-01-09 06:00:00+00:00,1.480436282,1.480436282
2015-01-09 07:00:00+00:00,1.486347509,1.486347509
2015-01-09 08:00:00+00:00,1.492258736,1.492258736
2015-01-09 09:00:00+00:00,1.498169962,1.498169962
2015-01-09 10:00:00+00:00,1.504081189,1.504081189
2015-01-09 11:00:00+00:00,1.509992416,1.509992416
2015-01-09 12:00:00+00:00,1.515903643,1.515903643
2015-01-09 13:00:00+00:00,1.52181487,1.52181487
2015-01-09 14:00:00+00:00,1.527726097,1.527726097
2015-01-09 15:00:00+00:00,1.533637323,1.533637323
2015-01-09 16:00:00+00:00,1.53954855,1.53954855
2015-01-09 17:00:00+00:00,1.545459777,1.545459777
2015-01-09 18:00:00+00:00,1.551371004,1.551371004
2015-01-09 19:00:00+00:00,1.557282231,1.557282231
2015-01-09 20:00:00+00:00,1.563193457,1.563193457
2015-01-09 21:00:00+00:00,1.569104684,1.569104684
2015-01-09 22:00:00+00:00,1.575015911,1.575015911
2015-01-09 23:00:00+00:00,1.580927138,1.580927138
2015-01-10 00:00:00+00:00,1.580477444,1.580477444
2015-01-10 01:00:00+00:00,1.58002775,1.58002775
2015-01-10 02:00:00+00:00,1.579578057,1.579578057
2015-01-10 03:00:00+00:00,1.579128363,1.579128363
2015-01-10 04:00:00+00:00,1.578678669,1.578678669
2015-01-10 05:00:00+00:00,1.578228975,1.578228975
2015-01-10 06:00:00+00:00,1.577779281,1.577779281
2015-01-10 07:00:00+00:00,1.577329588,1.577329588
2015-01-10 08:00:00+00:00,1.576879894,1.576879894
2015-01-10 09:00:00+00:00,1.5764302,1.5764302
2015-01-10 10:00:00+00:00,1.575980506,1.575980506
2015-01-10 11:00:00+00:00,1.575530813,1.575530813
2015-01-10 12:00:00+00:00,1.575081119,1.575081119
2015-01-10 13:00:00+00:00,1.574631425,1.574631425
2015-01-10 14:00:00+00:00,1.574181731,1.574181731
2015-01-10 15:00:00+00:00,1.573732037,1.573732037
2015-01-10 16:00:00+00:00,1.573282344,1.573282344
2015-01-10 17:00:00+00:00,1.57283265,1.57283265
2015-01-10 18:00:00+00:00,1.572382956,1.572382956
2015-01-10 19:00:00+00:00,1.571933262,1.571933262
2015-01-10 20:00:00+00:00,1.571483568,1.571483568
2015-01-10 21:00:00+00:00,1.571033875,1.571033875
2015-01-10 22:00:00+00:00,1.570584181,1.570584181
2015-01-10 23:00:00+00:00,1.570134487,1.570134487
2015-01-11 00:00:00+00:00,1.564791426,1.564791426
2015-01-11 01:00:00+00:00,1.559448366,1.559448366
2015-01-11 02:00:00+00:00,1.554105305,1.554105305
2015-01-11 03:00:00+00:00,1.548762244,1.548762244
2015-01-11 04:00:00+00:00,1.543419184,1.543419184
2015-01-11 05:00:00+00:00,1.538076123,1.538076123
2015-01-11 06:00:00+00:00,1.532733063,1.532733063
2015-01-11 07:00:00+00:00,1.527390002,1.527390002
2015-01-11 08:00:00+00:00,1.522046941,1.522046941
2015-01-11 09:00:00+00:00,1.516703881,1.516703881
2015-01-11 10:00:00+00:00,1.51136082,1.51136082
2015-01-11 11:00:00+00:00,1.506017759,1.506017759
2015-01-11 12:00:00+00:00,1.500674699,1.500674699
2015-01-11 13:00:00+00:00,1.495331638,1.495331638
2015-01-11 14:00:00+00:00,1.489988577,1.489988577
2015-01-11 15:00:00+00:00,1.484645517,1.484645517
2015-01-11 16:00:00+00:00,1.479302456,1.479302456
2015-01-11 17:00:00+00:00,1.473959395,1.473959395
2015-01-11 18:00:00+00:00,1.468616335,1.468616335
2015-01-11 19:00:00+00:00,1.463273274,1.463273274
2015-01-11 20:00:00+00:00,1.457930213,1.457930213
2015-01-11 21:00:00+00:00,1.452587153,1.452587153
2015-01-11 22:00:00+00:00,1.447244092,1.447244092
2015-01-11 23:00:00+00:00,1.441901031,1.441901031
2015-01-12 00:00:00+00:00,1.434835245,1.434835245
2015-01-12 01:00:00+00:00,1.427769459,1.427769459
2015-01-12 02:00:00+00:00,1.420703673,1.420703673
2015-01-12 03:00:00+00:00,1.413637887,1.413637887
2015-01-12 04:00:00+00:00,1.406572101,1.406572101
2015-01-12 05:00:00+00:00,1.399506315,1.399506315
2015-01-12 06:00:00+00:00,1.392440529,1.392440529
2015-01-12 07:00:00+00:00,1.385374743,1.385374743
2015-01-12 08:00:00+00:00,1.378308957,1.378308957
2015-01-12 09:00:00+00:00,1.371243171,1.371243171
2015-01-12 10:00:00+00:00,1.364177384,1.364177384
2015-01-12 11:00:00+00:00,1.357111598,1.357111598
2015-01-12 12:00:00+00:00,1.350045812,1.350045812
2015-01-12 13:00:00+00:00,1.342980026,1.342980026
2015-01-12 14:00:00+00:00,1.33591424,1.33591424
2015-01-12 15:00:00+00:00,1.328848454,1.328848454
2015-01-12 16:00:00+00:00,1.321782668,1.321782668
2015-01-12 17:00:00+00:00,1.314716882,1.314716882
2015-01-12 18:00:00+00:00,1.307651096,1.307651096
2015-01-12 19:00:00+00:00,1.30058531,1.30058531
2015-01-12 20:00:00+00:00,1.293519524,1.293519524
2015-01-12 21:00:00+00:00,1.286453737,1.286453737
2015-01-12 22:00:00+00:00,1.279387951,1.279387951
2015-01-12 23:00:00+00:00,1.272322165,1.272322165
2015-01-13 00:00:00+00:00,1.265520419,1.265520419
2015-01-13 01:00:00+00:00,1.258718672,1.258718672
2015-01-13 02:00:00+00:00,1.251916926,1.251916926
2015-01-13 03:00:00+00:00,1.24511518,1.24511518
2015-01-13 04:00:00+00:00,1.238313433,1.238313433
2015-01-13 05:00:00+00:00,1.231511687,1.231511687
2015-01-13 06:00:00+00:00,1.22470994,1.22470994
