,ES
01/01/2016 00:00,0.500038746
01/01/2016 01:00,0.500122018
01/01/2016 02:00,0.500238592
01/01/2016 03:00,0.500385446
01/01/2016 04:00,0.500533797
01/01/2016 05:00,0.500676477
01/01/2016 06:00,0.500827073
01/01/2016 07:00,0.500977205
01/01/2016 08:00,0.501110016
01/01/2016 09:00,0.501202116
01/01/2016 10:00,0.501293147
01/01/2016 11:00,0.501392585
01/01/2016 12:00,0.501509824
01/01/2016 13:00,0.501614579
01/01/2016 14:00,0.501725435
01/01/2016 15:00,0.501827897
01/01/2016 16:00,0.501913897
01/01/2016 17:00,0.50196232
01/01/2016 18:00,0.502039409
01/01/2016 19:00,0.502112385
01/01/2016 20:00,0.502191764
01/01/2016 21:00,0.502287803
01/01/2016 22:00,0.502373416
01/01/2016 23:00,0.502533245
02/01/2016 00:00,0.502669915
02/01/2016 01:00,0.502796015
02/01/2016 02:00,0.502915589
02/01/2016 03:00,0.503045584
02/01/2016 04:00,0.503181366
02/01/2016 05:00,0.503311362
02/01/2016 06:00,0.50341652
02/01/2016 07:00,0.503550478
02/01/2016 08:00,0.503666524
02/01/2016 09:00,0.503749498
02/01/2016 10:00,0.503852687
02/01/2016 11:00,0.50397464
02/01/2016 12:00,0.504106378
02/01/2016 13:00,0.504206514
02/01/2016 14:00,0.504267942
02/01/2016 15:00,0.504321205
02/01/2016 16:00,0.504304121
02/01/2016 17:00,0.504124176
02/01/2016 18:00,0.50391424
02/01/2016 19:00,0.503674625
02/01/2016 20:00,0.503451179
02/01/2016 21:00,0.503312336
02/01/2016 22:00,0.503241631
02/01/2016 23:00,0.503275075
03/01/2016 00:00,0.503309277
03/01/2016 01:00,0.50336364
03/01/2016 02:00,0.503482461
03/01/2016 03:00,0.503610577
03/01/2016 04:00,0.503727549
03/01/2016 05:00,0.50385784
03/01/2016 06:00,0.503963616
03/01/2016 07:00,0.50407758
03/01/2016 08:00,0.50415802
03/01/2016 09:00,0.504233437
03/01/2016 10:00,0.504277349
03/01/2016 11:00,0.504278655
03/01/2016 12:00,0.504344559
03/01/2016 13:00,0.504449774
03/01/2016 14:00,0.504526984
03/01/2016 15:00,0.504616643
03/01/2016 16:00,0.504703787
03/01/2016 17:00,0.504702329
03/01/2016 18:00,0.50471255
03/01/2016 19:00,0.504744752
03/01/2016 20:00,0.504798968
03/01/2016 21:00,0.504878235
03/01/2016 22:00,0.504991082
03/01/2016 23:00,0.505135091
04/01/2016 00:00,0.505277312
04/01/2016 01:00,0.505425585
04/01/2016 02:00,0.505575958
04/01/2016 03:00,0.505731844
04/01/2016 04:00,0.505865468
04/01/2016 05:00,0.505977876
04/01/2016 06:00,0.506016217
04/01/2016 07:00,0.506055245
04/01/2016 08:00,0.506014154
04/01/2016 09:00,0.505846989
04/01/2016 10:00,0.5056628
04/01/2016 11:00,0.505509289
04/01/2016 12:00,0.505390169
04/01/2016 13:00,0.505305158
04/01/2016 14:00,0.50524271
04/01/2016 15:00,0.505191669
04/01/2016 16:00,0.505007563
04/01/2016 17:00,0.504782052
04/01/2016 18:00,0.504658975
04/01/2016 19:00,0.504614331
04/01/2016 20:00,0.504572151
04/01/2016 21:00,0.50463932
04/01/2016 22:00,0.504754246
04/01/2016 23:00,0.504848747
05/01/2016 00:00,0.504940016
05/01/2016 01:00,0.50504237
05/01/2016 02:00,0.505148392
05/01/2016 03:00,0.50525736
05/01/2016 04:00,0.505399713
05/01/2016 05:00,0.505505394
05/01/2016 06:00,0.505527179
05/01/2016 07:00,0.505497088
05/01/2016 08:00,0.505399345
05/01/2016 09:00,0.505274725
05/01/2016 10:00,0.505227023
05/01/2016 11:00,0.505239164
05/01/2016 12:00,0.505273308
05/01/2016 13:00,0.50529854
05/01/2016 14:00,0.505318399
05/01/2016 15:00,0.505313597
05/01/2016 16:00,0.505257234
05/01/2016 17:00,0.505139816
05/01/2016 18:00,0.505084748
05/01/2016 19:00,0.505111451
05/01/2016 20:00,0.50516769
05/01/2016 21:00,0.505218141
05/01/2016 22:00,0.505251346
05/01/2016 23:00,0.505315194
06/01/2016 00:00,0.505377868
06/01/2016 01:00,0.505482495
06/01/2016 02:00,0.505618084
06/01/2016 03:00,0.505761928
06/01/2016 04:00,0.505909949
06/01/2016 05:00,0.506058161
06/01/2016 06:00,0.506199933
06/01/2016 07:00,0.506340756
06/01/2016 08:00,0.506420428
06/01/2016 09:00,0.506487248
06/01/2016 10:00,0.50655245
06/01/2016 11:00,0.506607147
06/01/2016 12:00,0.506657591
06/01/2016 13:00,0.506698353
06/01/2016 14:00,0.506759529
06/01/2016 15:00,0.506797072
06/01/2016 16:00,0.506856251
06/01/2016 17:00,0.506841737
06/01/2016 18:00,0.506793371
06/01/2016 19:00,0.506708648
06/01/2016 20:00,0.506621506
06/01/2016 21:00,0.506586228
06/01/2016 22:00,0.506622477
06/01/2016 23:00,0.506757069
07/01/2016 00:00,0.506907571
07/01/2016 01:00,0.507057141
07/01/2016 02:00,0.507214358
07/01/2016 03:00,0.507356964
07/01/2016 04:00,0.507495759
07/01/2016 05:00,0.507598088
07/01/2016 06:00,0.507666754
07/01/2016 07:00,0.507671077
07/01/2016 08:00,0.507616931
07/01/2016 09:00,0.507550449
07/01/2016 10:00,0.507474879
07/01/2016 11:00,0.507372826
07/01/2016 12:00,0.50728518
07/01/2016 13:00,0.507225225
07/01/2016 14:00,0.50724053
07/01/2016 15:00,0.507218637
07/01/2016 16:00,0.507111405
07/01/2016 17:00,0.506950611
07/01/2016 18:00,0.506822238
07/01/2016 19:00,0.50676547
07/01/2016 20:00,0.506740141
07/01/2016 21:00,0.506735943
07/01/2016 22:00,0.50677763
07/01/2016 23:00,0.506844212
08/01/2016 00:00,0.506930229
08/01/2016 01:00,0.507042228
08/01/2016 02:00,0.507156739
08/01/2016 03:00,0.50726406
08/01/2016 04:00,0.507353126
08/01/2016 05:00,0.507409228
08/01/2016 06:00,0.507385892
08/01/2016 07:00,0.507297923
08/01/2016 08:00,0.507225503
08/01/2016 09:00,0.507170378
08/01/2016 10:00,0.507106285
08/01/2016 11:00,0.507055584
08/01/2016 12:00,0.507059962
08/01/2016 13:00,0.507168482
08/01/2016 14:00,0.507231104
08/01/2016 15:00,0.50719408
08/01/2016 16:00,0.507049651
08/01/2016 17:00,0.506869051
08/01/2016 18:00,0.506666974
08/01/2016 19:00,0.506500493
08/01/2016 20:00,0.506331726
08/01/2016 21:00,0.506283657
08/01/2016 22:00,0.506321391
08/01/2016 23:00,0.506349605
09/01/2016 00:00,0.506397881
09/01/2016 01:00,0.50647533
09/01/2016 02:00,0.506567074
09/01/2016 03:00,0.506673858
09/01/2016 04:00,0.50677954
09/01/2016 05:00,0.506849651
09/01/2016 06:00,0.506873184
09/01/2016 07:00,0.506913698
09/01/2016 08:00,0.506846949
09/01/2016 09:00,0.506790099
09/01/2016 10:00,0.506748836
09/01/2016 11:00,0.506756606
09/01/2016 12:00,0.506817085
09/01/2016 13:00,0.506890116
09/01/2016 14:00,0.506991571
09/01/2016 15:00,0.507090739
09/01/2016 16:00,0.507170896
09/01/2016 17:00,0.507107408
09/01/2016 18:00,0.507073795
09/01/2016 19:00,0.507123275
09/01/2016 20:00,0.507135163
09/01/2016 21:00,0.507195524
09/01/2016 22:00,0.507230189
09/01/2016 23:00,0.507322458
10/01/2016 00:00,0.507417013
10/01/2016 01:00,0.507526426
10/01/2016 02:00,0.507644058
10/01/2016 03:00,0.507779114
10/01/2016 04:00,0.507915367
10/01/2016 05:00,0.50803561
10/01/2016 06:00,0.508129053
10/01/2016 07:00,0.508239058
10/01/2016 08:00,0.508313954
10/01/2016 09:00,0.508374013
10/01/2016 10:00,0.508442273
10/01/2016 11:00,0.508493384
10/01/2016 12:00,0.50847496
10/01/2016 13:00,0.508465912
10/01/2016 14:00,0.508455514
10/01/2016 15:00,0.508457964
10/01/2016 16:00,0.508437076
10/01/2016 17:00,0.508283242
10/01/2016 18:00,0.508100901
10/01/2016 19:00,0.507874297
10/01/2016 20:00,0.50767122
10/01/2016 21:00,0.507520716
10/01/2016 22:00,0.507483661
10/01/2016 23:00,0.507454221
11/01/2016 00:00,0.507449629
11/01/2016 01:00,0.50743925
11/01/2016 02:00,0.507429315
11/01/2016 03:00,0.507420031
11/01/2016 04:00,0.507412083
11/01/2016 05:00,0.507384104
11/01/2016 06:00,0.507372827
11/01/2016 07:00,0.50731224
11/01/2016 08:00,0.507212347
11/01/2016 09:00,0.507100668
11/01/2016 10:00,0.507038682
11/01/2016 11:00,0.506991776
11/01/2016 12:00,0.506983191
11/01/2016 13:00,0.506957059
11/01/2016 14:00,0.506926042
11/01/2016 15:00,0.50687962
11/01/2016 16:00,0.506773265
11/01/2016 17:00,0.506541034
11/01/2016 18:00,0.50629421
11/01/2016 19:00,0.506111685
11/01/2016 20:00,0.505951803
11/01/2016 21:00,0.505832348
11/01/2016 22:00,0.505746857
11/01/2016 23:00,0.50567472
12/01/2016 00:00,0.505608129
12/01/2016 01:00,0.505537126
12/01/2016 02:00,0.50544993
12/01/2016 03:00,0.505369094
12/01/2016 04:00,0.505297378
12/01/2016 05:00,0.505196108
12/01/2016 06:00,0.505049871
12/01/2016 07:00,0.504809184
12/01/2016 08:00,0.50454012
12/01/2016 09:00,0.50430217
12/01/2016 10:00,0.504094373
12/01/2016 11:00,0.503952192
12/01/2016 12:00,0.50383061
12/01/2016 13:00,0.503750283
12/01/2016 14:00,0.503688231
12/01/2016 15:00,0.503616405
12/01/2016 16:00,0.503450932
12/01/2016 17:00,0.50318471
12/01/2016 18:00,0.502820951
12/01/2016 19:00,0.502467336
12/01/2016 20:00,0.502099019
12/01/2016 21:00,0.501768606
12/01/2016 22:00,0.501545503
12/01/2016 23:00,0.501460321
13/01/2016 00:00,0.501374388
13/01/2016 01:00,0.501287032
13/01/2016 02:00,0.501197597
13/01/2016 03:00,0.501117303
13/01/2016 04:00,0.501037144
13/01/2016 05:00,0.50093317
13/01/2016 06:00,0.500772104
13/01/2016 07:00,0.500457335
13/01/2016 08:00,0.50014351
13/01/2016 09:00,0.499847518
13/01/2016 10:00,0.499574328
13/01/2016 11:00,0.499354169
13/01/2016 12:00,0.499179478
13/01/2016 13:00,0.499053558
13/01/2016 14:00,0.498915368
13/01/2016 15:00,0.49875544
13/01/2016 16:00,0.498512266
13/01/2016 17:00,0.498123324
13/01/2016 18:00,0.497772474
13/01/2016 19:00,0.497441509
13/01/2016 20:00,0.497196511
13/01/2016 21:00,0.497072481
13/01/2016 22:00,0.497002261
13/01/2016 23:00,0.496938438
14/01/2016 00:00,0.496874403
14/01/2016 01:00,0.496812077
14/01/2016 02:00,0.496739275
14/01/2016 03:00,0.496661417
14/01/2016 04:00,0.496601273
14/01/2016 05:00,0.496506476
14/01/2016 06:00,0.496335249
14/01/2016 07:00,0.496075607
14/01/2016 08:00,0.495839313
14/01/2016 09:00,0.495554053
14/01/2016 10:00,0.4952557
14/01/2016 11:00,0.494981613
14/01/2016 12:00,0.49475274
14/01/2016 13:00,0.494574646
14/01/2016 14:00,0.49444529
14/01/2016 15:00,0.494321384
14/01/2016 16:00,0.494130821
14/01/2016 17:00,0.493832145
14/01/2016 18:00,0.493489501
14/01/2016 19:00,0.493207765
14/01/2016 20:00,0.492974304
14/01/2016 21:00,0.492804446
14/01/2016 22:00,0.492728641
14/01/2016 23:00,0.492686797
15/01/2016 00:00,0.492651533
15/01/2016 01:00,0.492615955
15/01/2016 02:00,0.492570019
15/01/2016 03:00,0.492525721
15/01/2016 04:00,0.492466009
15/01/2016 05:00,0.492386461
15/01/2016 06:00,0.492271463
15/01/2016 07:00,0.492075316
15/01/2016 08:00,0.491808363
15/01/2016 09:00,0.491548979
15/01/2016 10:00,0.491334067
15/01/2016 11:00,0.491170143
15/01/2016 12:00,0.491085609
15/01/2016 13:00,0.491060914
15/01/2016 14:00,0.491049332
15/01/2016 15:00,0.491000111
15/01/2016 16:00,0.490903808
15/01/2016 17:00,0.490672416
15/01/2016 18:00,0.490388989
15/01/2016 19:00,0.490164074
15/01/2016 20:00,0.490061105
15/01/2016 21:00,0.489972828
15/01/2016 22:00,0.489898223
15/01/2016 23:00,0.489876383
16/01/2016 00:00,0.489848667
16/01/2016 01:00,0.489813371
16/01/2016 02:00,0.489769962
16/01/2016 03:00,0.489715795
16/01/2016 04:00,0.489671261
16/01/2016 05:00,0.489608755
16/01/2016 06:00,0.489540526
16/01/2016 07:00,0.489473735
16/01/2016 08:00,0.489351363
16/01/2016 09:00,0.489237
16/01/2016 10:00,0.489137983
16/01/2016 11:00,0.48903668
16/01/2016 12:00,0.488952852
16/01/2016 13:00,0.488877613
16/01/2016 14:00,0.488796762
16/01/2016 15:00,0.488715347
16/01/2016 16:00,0.488592084
16/01/2016 17:00,0.488385814
16/01/2016 18:00,0.488172398
16/01/2016 19:00,0.487995596
16/01/2016 20:00,0.487778191
16/01/2016 21:00,0.487608506
16/01/2016 22:00,0.487516156
16/01/2016 23:00,0.487466219
17/01/2016 00:00,0.487431193
17/01/2016 01:00,0.487380494
17/01/2016 02:00,0.487314206
17/01/2016 03:00,0.487270843
17/01/2016 04:00,0.487234785
17/01/2016 05:00,0.487177492
17/01/2016 06:00,0.487087226
17/01/2016 07:00,0.487011741
17/01/2016 08:00,0.48690834
17/01/2016 09:00,0.486785683
17/01/2016 10:00,0.486660125
