,IT
1/1/2016 0:00,0.55110
1/1/2016 1:00,0.55106
1/1/2016 2:00,0.55103
1/1/2016 3:00,0.55099
1/1/2016 4:00,0.55095
1/1/2016 5:00,0.55092
1/1/2016 6:00,0.55088
1/1/2016 7:00,0.55085
1/1/2016 8:00,0.55081
1/1/2016 9:00,0.55077
1/1/2016 10:00,0.55074
1/1/2016 11:00,0.55070
1/1/2016 12:00,0.55066
1/1/2016 13:00,0.55063
1/1/2016 14:00,0.55059
1/1/2016 15:00,0.55055
1/1/2016 16:00,0.55051
1/1/2016 17:00,0.55048
1/1/2016 18:00,0.55044
1/1/2016 19:00,0.55040
1/1/2016 20:00,0.55037
1/1/2016 21:00,0.55033
1/1/2016 22:00,0.55029
1/1/2016 23:00,0.55025
1/2/2016 0:00,0.55022
1/2/2016 1:00,0.55018
1/2/2016 2:00,0.55014
1/2/2016 3:00,0.55010
1/2/2016 4:00,0.55006
1/2/2016 5:00,0.55003
1/2/2016 6:00,0.54999
1/2/2016 7:00,0.54995
1/2/2016 8:00,0.54991
1/2/2016 9:00,0.54987
1/2/2016 10:00,0.54984
1/2/2016 11:00,0.54980
1/2/2016 12:00,0.54976
1/2/2016 13:00,0.54972
1/2/2016 14:00,0.54968
1/2/2016 15:00,0.54964
1/2/2016 16:00,0.54960
1/2/2016 17:00,0.54956
1/2/2016 18:00,0.54953
1/2/2016 19:00,0.54949
1/2/2016 20:00,0.54945
1/2/2016 21:00,0.54941
1/2/2016 22:00,0.54937
1/2/2016 23:00,0.54933
1/3/2016 0:00,0.54929
1/3/2016 1:00,0.54925
1/3/2016 2:00,0.54921
1/3/2016 3:00,0.54917
1/3/2016 4:00,0.54913
1/3/2016 5:00,0.54909
1/3/2016 6:00,0.54905
1/3/2016 7:00,0.54901
1/3/2016 8:00,0.54897
1/3/2016 9:00,0.54893
1/3/2016 10:00,0.54889
1/3/2016 11:00,0.54885
1/3/2016 12:00,0.54881
1/3/2016 13:00,0.54877
1/3/2016 14:00,0.54872
1/3/2016 15:00,0.54868
1/3/2016 16:00,0.54864
1/3/2016 17:00,0.54860
1/3/2016 18:00,0.54856
1/3/2016 19:00,0.54852
1/3/2016 20:00,0.54848
1/3/2016 21:00,0.54844
1/3/2016 22:00,0.54839
1/3/2016 23:00,0.54835
1/4/2016 0:00,0.54831
1/4/2016 1:00,0.54827
1/4/2016 2:00,0.54823
1/4/2016 3:00,0.54818
1/4/2016 4:00,0.54814
1/4/2016 5:00,0.54810
1/4/2016 6:00,0.54806
1/4/2016 7:00,0.54801
1/4/2016 8:00,0.54797
1/4/2016 9:00,0.54793
1/4/2016 10:00,0.54789
1/4/2016 11:00,0.54784
1/4/2016 12:00,0.54780
1/4/2016 13:00,0.54776
1/4/2016 14:00,0.54771
1/4/2016 15:00,0.54767
1/4/2016 16:00,0.54763
1/4/2016 17:00,0.54758
1/4/2016 18:00,0.54754
1/4/2016 19:00,0.54750
1/4/2016 20:00,0.54745
1/4/2016 21:00,0.54741
1/4/2016 22:00,0.54736
1/4/2016 23:00,0.54732
1/5/2016 0:00,0.54727
1/5/2016 1:00,0.54723
1/5/2016 2:00,0.54719
1/5/2016 3:00,0.54714
1/5/2016 4:00,0.54710
1/5/2016 5:00,0.54705
1/5/2016 6:00,0.54701
1/5/2016 7:00,0.54696
1/5/2016 8:00,0.54692
1/5/2016 9:00,0.54687
1/5/2016 10:00,0.54682
1/5/2016 11:00,0.54678
1/5/2016 12:00,0.54673
1/5/2016 13:00,0.54669
1/5/2016 14:00,0.54664
1/5/2016 15:00,0.54660
1/5/2016 16:00,0.54655
1/5/2016 17:00,0.54650
1/5/2016 18:00,0.54646
1/5/2016 19:00,0.54641
1/5/2016 20:00,0.54636
1/5/2016 21:00,0.54632
1/5/2016 22:00,0.54627
1/5/2016 23:00,0.54622
1/6/2016 0:00,0.54617
1/6/2016 1:00,0.54613
1/6/2016 2:00,0.54608
1/6/2016 3:00,0.54603
1/6/2016 4:00,0.54598
1/6/2016 5:00,0.54594
1/6/2016 6:00,0.54589
1/6/2016 7:00,0.54584
1/6/2016 8:00,0.54579
1/6/2016 9:00,0.54574
1/6/2016 10:00,0.54570
1/6/2016 11:00,0.54565
1/6/2016 12:00,0.54560
1/6/2016 13:00,0.54555
1/6/2016 14:00,0.54550
1/6/2016 15:00,0.54545
1/6/2016 16:00,0.54540
1/6/2016 17:00,0.54535
1/6/2016 18:00,0.54530
1/6/2016 19:00,0.54525
1/6/2016 20:00,0.54520
1/6/2016 21:00,0.54515
1/6/2016 22:00,0.54510
1/6/2016 23:00,0.54505
1/7/2016 0:00,0.54500
1/7/2016 1:00,0.54495
1/7/2016 2:00,0.54490
1/7/2016 3:00,0.54485
1/7/2016 4:00,0.54480
1/7/2016 5:00,0.54475
1/7/2016 6:00,0.54470
1/7/2016 7:00,0.54465
1/7/2016 8:00,0.54460
1/7/2016 9:00,0.54455
1/7/2016 10:00,0.54450
1/7/2016 11:00,0.54444
1/7/2016 12:00,0.54439
1/7/2016 13:00,0.54434
1/7/2016 14:00,0.54429
1/7/2016 15:00,0.54424
1/7/2016 16:00,0.54418
1/7/2016 17:00,0.54413
1/7/2016 18:00,0.54408
1/7/2016 19:00,0.54403
1/7/2016 20:00,0.54397
1/7/2016 21:00,0.54392
1/7/2016 22:00,0.54387
1/7/2016 23:00,0.54381
1/8/2016 0:00,0.54376
1/8/2016 1:00,0.54371
1/8/2016 2:00,0.54365
1/8/2016 3:00,0.54360
1/8/2016 4:00,0.54354
1/8/2016 5:00,0.54349
1/8/2016 6:00,0.54344
1/8/2016 7:00,0.54338
1/8/2016 8:00,0.54333
1/8/2016 9:00,0.54327
1/8/2016 10:00,0.54322
1/8/2016 11:00,0.54316
1/8/2016 12:00,0.54311
1/8/2016 13:00,0.54305
1/8/2016 14:00,0.54300
1/8/2016 15:00,0.54294
1/8/2016 16:00,0.54289
1/8/2016 17:00,0.54283
1/8/2016 18:00,0.54277
1/8/2016 19:00,0.54272
1/8/2016 20:00,0.54266
1/8/2016 21:00,0.54260
1/8/2016 22:00,0.54255
1/8/2016 23:00,0.54249
1/9/2016 0:00,0.54243
