,NO
2016-01-01 00:00:00,0.8258202599857126
2016-01-01 01:00:00,0.8255799882000812
2016-01-01 02:00:00,0.8253397164144497
2016-01-01 03:00:00,0.8250994446288181
2016-01-01 04:00:00,0.8248591728431867
2016-01-01 05:00:00,0.8246189010575553
2016-01-01 06:00:00,0.8243786292719237
2016-01-01 07:00:00,0.8241383574862923
2016-01-01 08:00:00,0.8238980857006608
2016-01-01 09:00:00,0.8236578139150293
2016-01-01 10:00:00,0.8234175421293979
2016-01-01 11:00:00,0.8231772703437663
2016-01-01 12:00:00,0.822936998558135
2016-01-01 13:00:00,0.8226967267725034
2016-01-01 14:00:00,0.8224564549868719
2016-01-01 15:00:00,0.8222161832012406
2016-01-01 16:00:00,0.821975911415609
2016-01-01 17:00:00,0.8217356396299775
2016-01-01 18:00:00,0.8214953678443461
2016-01-01 19:00:00,0.8212550960587146
2016-01-01 20:00:00,0.8210148242730831
2016-01-01 21:00:00,0.8207745524874517
2016-01-01 22:00:00,0.8205342807018202
2016-01-01 23:00:00,0.8202940089161888
2016-01-02 00:00:00,0.8200537371305572
2016-01-02 01:00:00,0.8198134653449257
2016-01-02 02:00:00,0.8195731935592944
2016-01-02 03:00:00,0.8193329217736628
2016-01-02 04:00:00,0.8190926499880313
2016-01-02 05:00:00,0.8188523782023999
2016-01-02 06:00:00,0.8186121064167684
2016-01-02 07:00:00,0.8183718346311369
2016-01-02 08:00:00,0.8181315628455054
2016-01-02 09:00:00,0.817891291059874
2016-01-02 10:00:00,0.8176510192742424
2016-01-02 11:00:00,0.817410747488611
2016-01-02 12:00:00,0.8171704757029795
2016-01-02 13:00:00,0.816930203917348
2016-01-02 14:00:00,0.8166899321317166
2016-01-02 15:00:00,0.8164496603460851
2016-01-02 16:00:00,0.8162093885604537
2016-01-02 17:00:00,0.8159691167748222
2016-01-02 18:00:00,0.8157288449891907
2016-01-02 19:00:00,0.8154885732035593
2016-01-02 20:00:00,0.8152483014179278
2016-01-02 21:00:00,0.8150080296322962
2016-01-02 22:00:00,0.8147677578466648
2016-01-02 23:00:00,0.8145274860610334
2016-01-03 00:00:00,0.8142872142754018
2016-01-03 01:00:00,0.8140469424897704
2016-01-03 02:00:00,0.8138066707041389
2016-01-03 03:00:00,0.8135663989185075
2016-01-03 04:00:00,0.813326127132876
2016-01-03 05:00:00,0.8130858553472444
2016-01-03 06:00:00,0.8128455835616131
2016-01-03 07:00:00,0.8126053117759815
2016-01-03 08:00:00,0.81236503999035
2016-01-03 09:00:00,0.8121247682047186
2016-01-03 10:00:00,0.8118844964190871
2016-01-03 11:00:00,0.8116442246334556
2016-01-03 12:00:00,0.8114039528478242
2016-01-03 13:00:00,0.8111636810621927
2016-01-03 14:00:00,0.8109234092765613
2016-01-03 15:00:00,0.8106831374909298
2016-01-03 16:00:00,0.8104428657052982
2016-01-03 17:00:00,0.8102025939196669
2016-01-03 18:00:00,0.8099623221340353
2016-01-03 19:00:00,0.8097220503484038
2016-01-03 20:00:00,0.8094817785627725
2016-01-03 21:00:00,0.8092415067771409
2016-01-03 22:00:00,0.8090012349915094
2016-01-03 23:00:00,0.8087609632058779
2016-01-04 00:00:00,0.8085206914202465
2016-01-04 01:00:00,0.8082542088773139
2016-01-04 02:00:00,0.8079877263343814
2016-01-04 03:00:00,0.8077212437914489
2016-01-04 04:00:00,0.8074547612485165
2016-01-04 05:00:00,0.8071882787055839
2016-01-04 06:00:00,0.8069217961626515
2016-01-04 07:00:00,0.8066553136197189
2016-01-04 08:00:00,0.8063888310767863
2016-01-04 09:00:00,0.8061223485338539
2016-01-04 10:00:00,0.8058558659909213
2016-01-04 11:00:00,0.8055893834479888
2016-01-04 12:00:00,0.8053229009050563
2016-01-04 13:00:00,0.8050564183621238
