,PHOT,HROR,WTOF,WTON,BEVS
1/1/2016 0:00,0.0,0.050089981,0.764097,0.21698,0.0473178827931
1/1/2016 1:00,0.0,0.050113557,0.752776,0.224685,0.0621013539853
1/1/2016 2:00,0.0,0.050137133,0.7358210000000001,0.23825900000000005,0.0620443571341
1/1/2016 3:00,0.0,0.050160708,0.7243310000000001,0.249926,0.06630373809159999
1/1/2016 4:00,0.0,0.050184284,0.719454,0.259946,0.070558914827
1/1/2016 5:00,0.0,0.05020786,0.706571,0.263348,0.0672115591225
1/1/2016 6:00,0.0,0.050231436,0.736985,0.268,0.0656323843219
1/1/2016 7:00,0.035307135813895704,0.050255012,0.745552,0.272093,0.06498523415509999
1/1/2016 8:00,0.11600916053137159,0.050278588,0.749498,0.274213,0.0707688593325
1/1/2016 9:00,0.1704830272156678,0.050302164,0.733248,0.277599,0.08787071034779999
1/1/2016 10:00,0.17552690376051003,0.05032574,0.708947,0.272969,0.0990429508967
1/1/2016 11:00,0.14122854325558282,0.050349316,0.7034779999999999,0.263429,0.124575814118
1/1/2016 12:00,0.0746493728636652,0.050372892,0.702324,0.248007,0.175027999043
1/1/2016 13:00,0.01412285432555828,0.050396468,0.695029,0.227774,0.222498624401
1/1/2016 14:00,0.0,0.050420044,0.674682,0.204072,0.254710456498
1/1/2016 15:00,0.0,0.05044362,0.6342840000000001,0.212593,0.266540267148
1/1/2016 16:00,0.0,0.050467196,0.620905,0.231972,0.289300079267
1/1/2016 17:00,0.0,0.050490772,0.60806,0.240457,0.302155142463
1/1/2016 18:00,0.0,0.050514348,0.5806,0.25043000000000004,0.320629178505
1/1/2016 19:00,0.0,0.050537924000000005,0.552886,0.253467,0.35327390321
1/1/2016 20:00,0.0,0.0505615,0.541094,0.259275,0.380395027825
1/1/2016 21:00,0.0,0.050585076,0.514013,0.262344,0.382444084956
1/1/2016 22:00,0.0,0.050608652,0.476955,0.25777,0.414676389317
1/1/2016 23:00,0.0,0.050632228,0.439801,0.271396,0.424925654657
1/2/2016 0:00,0.0,0.050655804000000006,0.416104,0.278389,0.42239515962
1/2/2016 1:00,0.0,0.050719219,0.410522,0.288304,0.41788664563
1/2/2016 2:00,0.0,0.050782635,0.408625,0.306669,0.409747883773
1/2/2016 3:00,0.0,0.05084605,0.40088,0.322754,0.393684596119
1/2/2016 4:00,0.0,0.050909466,0.377516,0.33120700000000003,0.373880242642
1/2/2016 5:00,0.0,0.050972881,0.39238,0.335972,0.35117312108300003
1/2/2016 6:00,0.0,0.051036296,0.415876,0.331356,0.325563438819
1/2/2016 7:00,0.05548264199326467,0.051099712,0.431633,0.328123,0.317124372241
1/2/2016 8:00,0.17149180252463628,0.051163127,0.417722,0.341354,0.307279174098
1/2/2016 9:00,0.24815872600623834,0.051226542,0.409465,0.323883,0.31174579165
1/2/2016 10:00,0.29052728898291325,0.051289958,0.356866,0.302002,0.303492784798
1/2/2016 11:00,0.2703517828035442,0.051353373,0.311116,0.285102,0.286187726436
1/2/2016 12:00,0.1846058815412261,0.051416788,0.273064,0.267218,0.278346332596
1/2/2016 13:00,0.04741243952151708,0.051480204,0.232896,0.240538,0.235401719197
1/2/2016 14:00,0.0,0.051543619000000006,0.208437,0.201459,0.248890154221
1/2/2016 15:00,0.0,0.051607034,0.189588,0.196693,0.316638085059
1/2/2016 16:00,0.0,0.05167045,0.162136,0.19982,0.368709823465
1/2/2016 17:00,0.0,0.051733865,0.13636800000000002,0.199671,0.352598230832
1/2/2016 18:00,0.0,0.05179728,0.109064,0.195178,0.381325743744
1/2/2016 19:00,0.0,0.051860696,0.078401,0.185139,0.419056912153
1/2/2016 20:00,0.0,0.051924111,0.049662,0.16933900000000002,0.472726207268
1/2/2016 21:00,0.0,0.051987526,0.018288,0.138004,0.532906342937
1/2/2016 22:00,0.0,0.052050942,0.003431,0.098376,0.546209851039
1/2/2016 23:00,0.0,0.052114357,0.009506,0.064093,0.5631794017890001
1/3/2016 0:00,0.0,0.052177772,0.02471,0.041827,0.557312381558
1/3/2016 1:00,0.0,0.052236256,0.039758,0.028264,0.572098940354
1/3/2016 2:00,0.0,0.05229474,0.08736000000000001,0.020136,0.564190661179
1/3/2016 3:00,0.0,0.052353224,0.170175,0.019683000000000003,0.548786645219
1/3/2016 4:00,0.0,0.052411708,0.23173,0.021515,0.52293451273
1/3/2016 5:00,0.0,0.052470192,0.250963,0.019992,0.486651329996
1/3/2016 6:00,0.0,0.052528676,0.253527,0.015553999999999997,0.449835716461
1/3/2016 7:00,0.025219382724211217,0.05258716,0.261011,0.009812,0.418696564162
1/3/2016 8:00,0.06456161977398071,0.052645644000000005,0.26363400000000003,0.006111,0.381083585904
1/3/2016 9:00,0.07565814817263364,0.052704128,0.274856,0.005304,0.339117096561
1/3/2016 10:00,0.07364059755469674,0.052762612,0.272744,0.009658,0.33035665389
1/3/2016 11:00,0.06153529384707536,0.052821096,0.298767,0.019064,0.32362989910900003
1/3/2016 12:00,0.039342237049769496,0.05287958,0.33171,0.030749,0.353047995259
1/3/2016 13:00,0.009078977780716039,0.05293806400000002,0.371996,0.041692,0.377262821481
1/3/2016 14:00,0.0,0.052996548,0.398245,0.050364,0.400828311315
1/3/2016 15:00,0.0,0.053055032,0.469614,0.061072,0.428597953744
1/3/2016 16:00,0.0,0.053113516,0.544006,0.073598,0.452411879948
1/3/2016 17:00,0.0,0.053172,0.520282,0.088121,0.498614343857
1/3/2016 18:00,0.0,0.053230484,0.546771,0.104537,0.497490465217
1/3/2016 19:00,0.0,0.053288968,0.588063,0.11969,0.504589483621
1/3/2016 20:00,0.0,0.053347452,0.648551,0.130623,0.5283305841929999
1/3/2016 21:00,0.0,0.053405936,0.6924680000000001,0.127342,0.5737589048939999
1/3/2016 22:00,0.0,0.05346442,0.703541,0.115117,0.6368857641910001
1/3/2016 23:00,0.0,0.053522904,0.670254,0.100957,0.669408863788
1/4/2016 0:00,0.0,0.053581388,0.6221270000000001,0.08522,0.6707695161399999
1/4/2016 1:00,0.0,0.053700045,0.585331,0.073311,0.677488578091
1/4/2016 2:00,0.0,0.053818701,0.572965,0.063038,0.671481716374
1/4/2016 3:00,0.0,0.053937358,0.549235,0.055028,0.659842660848
1/4/2016 4:00,0.0,0.054056015,0.5158050000000001,0.047174,0.642545136318
1/4/2016 5:00,0.0,0.054174672,0.4891140000000001,0.042092,0.616789444869
1/4/2016 6:00,0.0,0.054293328,0.461664,0.044393,0.5722658580659999
1/4/2016 7:00,0.011096528398652933,0.054411985,0.439048,0.047324,0.5465832788989999
1/4/2016 8:00,0.050438765448422435,0.054530642,0.429521,0.046924,0.5071548699499999
1/4/2016 9:00,0.08877222718922348,0.054649299000000005,0.417031,0.040139,0.469141994979
1/4/2016 10:00,0.12004426176724538,0.054767956,0.401002,0.031117,0.432450430347
1/4/2016 11:00,0.12508813831208762,0.054886612,0.374236,0.023647,0.424413239926
1/4/2016 12:00,0.08776345188025501,0.055005269,0.33619,0.023566,0.43436849579
1/4/2016 13:00,0.022193056797305866,0.055123926,0.314823,0.03184,0.450592196706
1/4/2016 14:00,0.0,0.055242583,0.281937,0.050198,0.482409597471
1/4/2016 15:00,0.0,0.055361239000000007,0.272452,0.067768,0.5103576531740001
1/4/2016 16:00,0.0,0.055479896,0.265566,0.074848,0.542843859448
1/4/2016 17:00,0.0,0.055598553,0.248191,0.070187,0.5988619916210001
1/4/2016 18:00,0.0,0.05571721,0.270081,0.064587,0.6204812673219999
1/4/2016 19:00,0.0,0.055835867,0.302779,0.054148,0.628515272632
1/4/2016 20:00,0.0,0.055954523,0.336194,0.040079,0.6492145719
1/4/2016 21:00,0.0,0.05607318,0.363276,0.028258,0.679718046546
1/4/2016 22:00,0.0,0.056191837,0.382822,0.022745,0.694994837389
1/4/2016 23:00,0.0,0.056310494,0.38558,0.022036,0.702347880573
1/5/2016 0:00,0.0,0.05642915,0.396758,0.024102,0.692196181858
1/5/2016 1:00,0.0,0.056547841,0.404369,0.027008,0.671179611536
1/5/2016 2:00,0.0,0.056666532,0.396806,0.029006,0.630556005291
1/5/2016 3:00,0.0,0.056785222,0.413555,0.029745,0.576957890282
1/5/2016 4:00,0.0,0.056903913,0.424727,0.030776,0.512048008522
1/5/2016 5:00,0.0,0.057022603,0.418472,0.032776,0.451377166896
1/5/2016 6:00,0.0,0.057141294,0.397141,0.033697000000000005,0.422454174046
1/5/2016 7:00,0.030263259269053457,0.057259984000000014,0.360685,0.032770999999999995,0.454777149539
1/5/2016 8:00,0.09785120496993951,0.057378675,0.326034,0.029563,0.502953214986
1/5/2016 9:00,0.16039527412598334,0.057497365,0.297748,0.023478,0.510131185521
1/5/2016 10:00,0.21688669142821645,0.057616056,0.262617,0.017302,0.4908959266
1/5/2016 11:00,0.2138603655013111,0.057734747,0.253725,0.014616999999999996,0.4529799397730001
1/5/2016 12:00,0.14223731856455124,0.057853437,0.253207,0.014507,0.448975339703
1/5/2016 13:00,0.0373246864318326,0.057972128,0.268308,0.016904,0.425151576846
1/5/2016 14:00,0.0,0.058090818,0.292917,0.023361,0.408462037757
