,Capacity
AT_P2GS_HYD,6980.0
BE_P2GS_HYD,10408.000000000002
BG_P2GS_HYD,2360.0000000000005
CH_P2GS_HYD,0.0
CY_P2GS_HYD,3683.9999999999995
CZ_P2GS_HYD,2022.9999999999998
DE_P2GS_HYD,21762.0
DK_P2GS_HYD,5106.0
EE_P2GS_HYD,251.0
EL_P2GS_HYD,14608.0
ES_P2GS_HYD,40502.0
FI_P2GS_HYD,4605.0
FR_P2GS_HYD,39522.99999999999
HR_P2GS_HYD,1028.0
HU_P2GS_HYD,2350.0
IE_P2GS_HYD,337.99999999999994
IT_P2GS_HYD,37175.0
LT_P2GS_HYD,469.0
LU_P2GS_HYD,696.0000000000001
LV_P2GS_HYD,1804.0
MT_P2GS_HYD,138.0
NL_P2GS_HYD,11403.0
NO_P2GS_HYD,0.0
PL_P2GS_HYD,7122.0
PT_P2GS_HYD,9441.0
RO_P2GS_HYD,2434.9999999999995
SE_P2GS_HYD,11394.0
SI_P2GS_HYD,533.0
SK_P2GS_HYD,818.0000000000001
UK_P2GS_HYD,41592.0
