,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_ICEN_GAS_CHP
2016-01-01 00:00:00,4935.579421450662,1503.132754554608,183.19430446134288
2016-01-01 01:00:00,5251.786459593741,1599.4337388296942,194.930986919869
2016-01-01 02:00:00,5862.4326600657,1785.4062917957124,217.59639181260246
2016-01-01 03:00:00,7727.595914040091,2353.4425323748446,286.82580863318424
2016-01-01 04:00:00,9270.250902662032,2823.258747325583,344.0846598303055
2016-01-01 05:00:00,8933.994505216402,2720.8517223808803,331.60380366516983
2016-01-01 06:00:00,8889.88591475079,2707.418432907725,329.96662151062907
2016-01-01 07:00:00,8516.967831723356,2593.846076452868,316.1249905676933
2016-01-01 08:00:00,8148.059620556431,2481.494928131934,302.43219436607956
2016-01-01 09:00:00,7854.193297064766,2391.9978177458484,291.5247340377753
2016-01-01 10:00:00,7649.689832178752,2329.7162029157657,283.934162230359
2016-01-01 11:00:00,7484.139408223409,2279.297752815222,277.78941362435523
2016-01-01 12:00:00,7546.006002642707,2298.1392497386087,280.08572106189297
2016-01-01 13:00:00,7629.640472876203,2323.6101622461497,283.1899885237495
2016-01-01 14:00:00,7889.136466134925,2402.639774341465,292.8217224978661
2016-01-01 15:00:00,8059.269600787995,2454.4538908807776,299.13656795109483
2016-01-01 16:00:00,7997.975845205912,2435.7868522622375,296.86152261946023
2016-01-01 17:00:00,7911.477180786338,2409.4436482304654,293.650944628088
2016-01-01 18:00:00,7631.35898938785,2324.133537160688,283.25377484145883
2016-01-01 19:00:00,6929.058574961375,2110.2476554192826,257.18643300422514
2016-01-01 20:00:00,5789.109288902087,1763.0756287754027,214.87484225700223
2016-01-01 21:00:00,4908.0831572643065,1494.7587559219917,182.17372337799276
2016-01-01 22:00:00,5611.529249365214,1708.9935542730896,208.28358942703284
2016-01-01 23:00:00,5605.228022155841,1707.074512919782,208.04970626209845
2016-01-02 00:00:00,5702.037785645298,1736.5579664387847,211.6430021597269
2016-01-02 01:00:00,5971.844877973903,1818.7278280213309,221.65745404009974
2016-01-02 02:00:00,6455.893695421188,1966.1450956163453,239.6239335282421
2016-01-02 03:00:00,8420.730907071116,2564.5370812387114,312.552956775968
2016-01-02 04:00:00,10757.340524074047,3276.152506706242,399.2810867548233
2016-01-02 05:00:00,10122.062253601809,3082.6782466318386,375.7014113082554
2016-01-02 06:00:00,9896.363751738814,3013.9416745224476,367.3241415824233
2016-01-02 07:00:00,9466.734623827026,2883.097945887819,351.377562155078
2016-01-02 08:00:00,9069.184470799311,2762.023882324577,336.62166065830786
2016-01-02 09:00:00,8742.093494749135,2662.408190257413,324.4809981876223
2016-01-02 10:00:00,8447.081493583039,2572.5621632616353,313.5310136475118
2016-01-02 11:00:00,8285.540941488205,2523.364921295015,307.53509978283
2016-01-02 12:00:00,8343.970502884207,2541.159668389324,309.70383458494894
2016-01-02 13:00:00,8504.36537730461,2590.0079937462524,315.65722423782455
2016-01-02 14:00:00,8833.174869866434,2690.147060727954,327.8616730262194
2016-01-02 15:00:00,9005.026521031152,2742.484552181806,334.24030479715765
2016-01-02 16:00:00,8937.431538239696,2721.8984722099576,331.73137630058864
2016-01-02 17:00:00,8865.253844750514,2699.9167257993395,329.05235095679456
2016-01-02 18:00:00,8603.46649614293,2620.1892804846398,319.3355685590655
2016-01-02 19:00:00,7960.74132078689,2424.447062447236,295.47948573575695
2016-01-02 20:00:00,6857.45372030941,2088.4403673135116,254.52866976633425
2016-01-02 21:00:00,5808.012970530206,1768.8327528353263,215.57649175180543
2016-01-02 22:00:00,6006.215208206846,1829.1953263121013,222.93318039428738
2016-01-02 23:00:00,5988.45720425316,1823.78711886187,222.27405511129044
2016-01-03 00:00:00,6035.429988904849,1838.0926998592565,224.0175477953469
2016-01-03 01:00:00,6255.400102395686,1905.0846889201857,232.18219646214766
2016-01-03 02:00:00,6659.25148263277,2028.077793836736,247.17198112385222
2016-01-03 03:00:00,8834.320547540867,2690.4959773376468,327.90419723802574
2016-01-03 04:00:00,11492.292752221816,3499.9825118238796,426.56036862853534
2016-01-03 05:00:00,10436.550775233241,3178.4558559923867,387.37430744907215
