,IT_P2HT_OTH,IT_STUR_BIO_CHP,IT_COMC_GAS_CHP,IT_ICEN_GAS_CHP
2016-01-01 00:00:00,34146.353265332546,10255.860563597807,863.941426431243,696.7648452743816
2016-01-01 01:00:00,35262.32528682874,10591.042870077406,892.1767830040818,719.536532395588
2016-01-01 02:00:00,38051.16870763692,11428.672265968247,962.7376813918041,776.4435771829066
2016-01-01 03:00:00,44778.51319165148,13449.230843782467,1132.9471191157038,913.7167173653689
2016-01-01 04:00:00,60355.93959297451,18127.912396400097,1527.0736567495217,1231.57798389512
2016-01-01 05:00:00,71170.6538519238,21376.112888355517,1800.6981808889357,1452.2549226232668
2016-01-01 06:00:00,67918.90480194581,20399.449741188815,1718.4252455975818,1385.9021731488654
2016-01-01 07:00:00,66430.76100112885,19952.485604164656,1680.7735213264011,1355.5362281513073
2016-01-01 08:00:00,63172.49215355693,18973.864235148994,1598.335627768799,1289.0504405827216
2016-01-01 09:00:00,59849.568646511776,17975.82383279786,1514.2618980709015,1221.2453585801422
2016-01-01 10:00:00,57868.09349441994,17380.687575869382,1464.1283316535971,1180.812864455975
2016-01-01 11:00:00,56208.26169029585,16882.156930156052,1422.1327063712101,1146.9435829782312
2016-01-01 12:00:00,55445.44537180477,16653.044973828222,1402.8325892201556,1131.3781259586722
2016-01-01 13:00:00,55403.06668744417,16640.31653181001,1401.7603604895417,1130.5133783464746
2016-01-01 14:00:00,57015.086642546026,17124.48688396433,1442.5462918194407,1163.4070471335338
2016-01-01 15:00:00,59778.937505910755,17954.60976276751,1512.4748501865447,1219.804112559813
2016-01-01 16:00:00,62067.38646138397,18641.945631750994,1570.3752016397077,1266.5004836184892
2016-01-01 17:00:00,63124.13698806854,18959.34075643591,1597.1121872941242,1288.0637413841885
2016-01-01 18:00:00,62717.1929549134,18837.11507603025,1586.816042175791,1279.7599470055206
2016-01-01 19:00:00,60619.44807906296,18207.057196128728,1533.7407200103917,1236.9549402017342
2016-01-01 20:00:00,54996.12265428902,16518.090851404355,1391.4642153712086,1122.2095839678068
2016-01-01 21:00:00,44007.547126167985,13217.671110143445,1113.440804131839,897.9849627280798
2016-01-01 22:00:00,35745.87694171269,10736.277657208295,904.4111877508328,729.4035243809208
2016-01-01 23:00:00,33090.146055114135,9938.628624066969,837.218187299014,675.212674016531
2016-01-02 00:00:00,34600.56583104376,10392.283352408393,875.4335189798765,706.0331658358851
2016-01-02 01:00:00,34600.56583104376,10392.283352408393,875.4335189798765,706.0331658358851
2016-01-02 02:00:00,37592.066293730255,11290.780810770942,951.1218701434842,767.0754780507647
2016-01-02 03:00:00,45031.155348416694,13525.111940429504,1139.3392519328265,918.8719435150092
2016-01-02 04:00:00,61128.535607856495,18359.961685501356,1546.6212112999483,1247.3429980559551
2016-01-02 05:00:00,68335.62853149186,20524.612754367907,1728.9688281152876,1394.4055246688097
2016-01-02 06:00:00,64532.95658482591,19382.479860964442,1632.7569193259503,1316.8110562358381
2016-01-02 07:00:00,63138.26321618874,18963.58357044198,1597.4695968709952,1288.3519905882542
2016-01-02 08:00:00,60206.527564780044,18083.036479028193,1523.2933631479975,1228.5291942367307
2016-01-02 09:00:00,57356.28938329559,17226.96716072635,1451.1791077531034,1170.3693740625101
2016-01-02 10:00:00,55397.090206316374,16638.521495115136,1401.6091487454805,1130.391426760139
2016-01-02 11:00:00,53887.7570633191,16185.193137081873,1363.421310108993,1099.5931079564823
2016-01-02 12:00:00,53750.29799738018,16143.907293099719,1359.9434399955906,1096.788221470764
2016-01-02 13:00:00,54758.69335857635,16446.778939071544,1385.4569851753317,1117.3647800379297
2016-01-02 14:00:00,56276.17624856607,16902.55507441601,1423.8510216446302,1148.3293964593172
2016-01-02 15:00:00,58796.07801862418,17659.40781903742,1487.607391549609,1199.748619861535
2016-01-02 16:00:00,61073.66064477415,18343.479984939313,1545.232812559025,1246.2232607632377
2016-01-02 17:00:00,61975.02266213648,18614.20415555745,1568.0382928678562,1264.6157772842118
2016-01-02 18:00:00,61789.75174717532,18558.55801801629,1563.3507288019662,1260.835278107809
2016-01-02 19:00:00,60038.09946026991,18032.4490812635,1519.0319412699155,1225.0923768036373
2016-01-02 20:00:00,54456.06608692426,16355.884808249182,1377.800172316972,1111.1895951662104
2016-01-02 21:00:00,43693.51020872651,13123.350091085407,1105.4953143075447,891.5769611915379
2016-01-02 22:00:00,35541.589950435875,10674.92003927435,899.2424954083854,725.234997429814
2016-01-02 23:00:00,34374.54618112047,10324.39832831126,869.7149657499344,701.4211785708308
2016-01-03 00:00:00,35632.32380028488,10702.17196000565,901.5381646136744,727.0864442405449
2016-01-03 01:00:00,36564.11153975226,10982.034499252248,925.1134501649981,746.0998052010459
2016-01-03 02:00:00,39680.031473189796,11917.901357899038,1003.9497549095114,809.6809277132751
2016-01-03 03:00:00,46157.993699236125,13863.557949990698,1167.8495389494126,941.8653607931893
2016-01-03 04:00:00,60784.072968309956,18256.50229781486,1537.9059162331616,1240.3141520798865
2016-01-03 05:00:00,72036.15698251945,21636.066838804396,1822.596390733401,1469.9157296262276
2016-01-03 06:00:00,69497.78245261182,20873.66579894428,1758.3726390740521,1418.1195649571546
2016-01-03 07:00:00,68505.6865854005,20575.689707594836,1733.2714895599315,1397.875601625449
2016-01-03 08:00:00,65324.56867602355,19620.24063045849,1652.7856021529346,1332.9640981713774
2016-01-03 09:00:00,62225.491553037034,18689.43251158817,1574.3754395962296,1269.7266574024575
2016-01-03 10:00:00,59121.52458185506,17757.155726331133,1495.841558339838,1206.3894380628994
2016-01-03 11:00:00,57769.75321404467,17351.151062980967,1461.640211137685,1178.8062065353622
