,IT_P2HT_OTH,IT_STUR_BIO_CHP,IT_COMC_GAS_CHP
2016-01-01 00:00:00,34146.353265332546,10384.774050919166,1431.792784384267
2016-01-01 01:00:00,35262.32528682874,10724.16951140459,1478.5866740724875
2016-01-01 02:00:00,38051.16870763692,11572.327689920503,1595.5258346224564
2016-01-01 03:00:00,44778.51319165148,13618.284161064868,1877.610519198672
2016-01-01 04:00:00,60355.93959297451,18355.775518210736,2530.7885188340038
2016-01-01 05:00:00,71170.6538519238,21644.805041561456,2984.2609503062677
2016-01-01 06:00:00,67918.90480194581,20655.865493847108,2847.9116660881564
2016-01-01 07:00:00,66430.76100112885,20203.283134416935,2785.512219225432
2016-01-01 08:00:00,63172.49215355693,19212.36075051669,2648.8895529838255
2016-01-01 09:00:00,59849.568646511776,18201.77524110635,2509.555848342562
2016-01-01 10:00:00,57868.09349441994,17599.15827694357,2426.4704950353853
2016-01-01 11:00:00,56208.26169029585,17094.361231284867,2356.871988220627
2016-01-01 12:00:00,55445.44537180477,16862.369397535334,2324.8862914717165
2016-01-01 13:00:00,55403.06668744417,16849.48096232703,2323.1093083189994
2016-01-01 14:00:00,57015.086642546026,17339.73720928918,2390.7030136281282
2016-01-01 15:00:00,59778.937505910755,18180.29451575917,2506.5942097547
2016-01-01 16:00:00,62067.38646138397,18876.270017007762,2602.5513000014307
2016-01-01 17:00:00,63124.13698806854,19197.65471547132,2646.861969642905
2016-01-01 18:00:00,62717.1929549134,19073.892690201807,2629.7983750097615
2016-01-01 19:00:00,60619.44807906296,18435.9151473906,2541.8377089502587
2016-01-01 20:00:00,54996.12265428902,16725.718937057514,2306.045713685856
2016-01-01 21:00:00,44007.547126167985,13383.813782082972,1845.283094920393
2016-01-01 22:00:00,35745.87694171269,10871.229861858352,1498.862507481697
2016-01-01 23:00:00,33090.146055114135,10063.554588804433,1387.5048965780838
2016-01-02 00:00:00,34600.56583104376,10522.911638536407,1450.838398687749
2016-01-02 01:00:00,34600.56583104376,10522.911638536407,1450.838398687749
2016-01-02 02:00:00,37592.066293730255,11432.70297516384,1576.2751838013528
2016-01-02 03:00:00,45031.155348416694,13695.11906326824,1888.2040726091018
2016-01-02 04:00:00,61128.535607856495,18590.741606239106,2563.184288618156
2016-01-02 05:00:00,68335.62853149186,20782.601773395465,2865.385333756543
2016-01-02 06:00:00,64532.95658482591,19626.112567973123,2705.9352685531076
2016-01-02 07:00:00,63138.26321618874,19201.950860540754,2647.4542973604775
2016-01-02 08:00:00,60206.527564780044,18310.335522284015,2524.523514128911
