,NL_P2HT_OTH,NL_STUR_BIO_CHP
2016-01-01 00:00:00,7785.134592732675,6619.8026061018345
2016-01-01 01:00:00,7971.919509618354,6778.628284046384
2016-01-01 02:00:00,8580.868710196868,7296.425819459101
2016-01-01 03:00:00,9725.571721159666,8269.781884781061
2016-01-01 04:00:00,12838.3499539423,10916.618264055345
2016-01-01 05:00:00,15174.224418605309,12902.84312433425
2016-01-01 06:00:00,14931.859599621943,12696.757122708641
2016-01-01 07:00:00,14721.688603711555,12518.045953379165
2016-01-01 08:00:00,14158.296699934426,12038.986388196825
2016-01-01 09:00:00,13477.063255097715,11459.72460668524
2016-01-01 10:00:00,12881.781243559617,10953.548462341638
2016-01-01 11:00:00,12502.744534172094,10631.248550024895
2016-01-01 12:00:00,12455.364945498655,10590.961060985303
2016-01-01 13:00:00,12548.60554628549,10670.244773390143
2016-01-01 14:00:00,12760.598834067934,10850.505461528834
2016-01-01 15:00:00,13248.669340466771,11265.518249263614
2016-01-01 16:00:00,13482.22641540187,11464.114909978018
2016-01-01 17:00:00,13419.964776439982,11411.173017329837
2016-01-01 18:00:00,13211.616072401644,11234.011366809573
2016-01-01 19:00:00,12821.9493270938,10902.672594772408
2016-01-01 20:00:00,11658.415966786426,9913.304835088558
2016-01-01 21:00:00,9345.016435212097,7946.190706789973
2016-01-01 22:00:00,7844.3590785744755,6670.1619674013255
2016-01-01 23:00:00,8281.70912786777,7042.046481612953
2016-01-02 00:00:00,8569.023813028507,7286.353947199203
2016-01-02 01:00:00,8785.572830491092,7470.488432360932
2016-01-02 02:00:00,9441.597904431032,8028.315203678372
2016-01-02 03:00:00,10650.08113091577,9055.904427322863
2016-01-02 04:00:00,13988.216125209256,11894.36463267008
2016-01-02 05:00:00,16537.906169526766,14062.399699896894
2016-01-02 06:00:00,16253.628637486127,13820.674765659338
2016-01-02 07:00:00,16096.607821177353,13687.157894931968
2016-01-02 08:00:00,15448.175630037636,13135.787451986254
2016-01-02 09:00:00,14725.029472143655,12520.886737862726
2016-01-02 10:00:00,14089.049608796318,11980.10467344665
2016-01-02 11:00:00,13690.878834752215,11641.534813633149
2016-01-02 12:00:00,13599.460525837438,11563.800620037524
2016-01-02 13:00:00,13691.78998068824,11642.309573037754
2016-01-02 14:00:00,13910.161290022881,11827.993577008701
2016-01-02 15:00:00,14418.277007014327,12260.051071644848
2016-01-02 16:00:00,14663.678979117787,12468.71960461915
2016-01-02 17:00:00,14597.772756411785,12412.678674352537
2016-01-02 18:00:00,14375.453148021026,12223.637379628293
2016-01-02 19:00:00,13922.006187191244,11838.065449268599
2016-01-02 20:00:00,12650.350175808582,10756.759573571318
2016-01-02 21:00:00,10231.865146279057,8700.289860607993
2016-01-02 22:00:00,8635.841181670537,7343.169636870423
2016-01-02 23:00:00,8659.227260695248,7363.055128255351
2016-01-03 00:00:00,8947.453091792013,7608.1373532462085
2016-01-03 01:00:00,9159.142664262446,7788.13978825003
2016-01-03 02:00:00,9817.597460698464,8348.032584646426
2016-01-03 03:00:00,11009.983775646713,9361.934392142846
2016-01-03 04:00:00,14399.446657669756,12244.039377282958
2016-01-03 05:00:00,17015.65035531729,14468.631881046123
2016-01-03 06:00:00,16715.883342364177,14213.736036930237
2016-01-03 07:00:00,16635.398784681733,14145.298956189903
