,RO_P2HT_OTH,RO_STUR_BIO_CHP,RO_STUR_GAS_CHP
2016-01-01 00:00:00,6043.718988688104,2940.8908591597783,3559.5116003225135
2016-01-01 01:00:00,6305.431795755839,3068.2410558633505,3713.650099225948
2016-01-01 02:00:00,6822.551077190879,3319.8727698318553,4018.2129163363484
2016-01-01 03:00:00,8946.433840227653,4353.360166488213,5269.095915182636
2016-01-01 04:00:00,11827.9774319872,5755.527478558356,6966.211194847474
2016-01-01 05:00:00,10799.144297146055,5254.894347283038,6360.269144080788
2016-01-01 06:00:00,10398.241718333175,5059.814011540905,6124.153371233875
2016-01-01 07:00:00,9909.050481714312,4821.772163657807,5836.039068636404
2016-01-01 08:00:00,9545.535446768252,4644.884713159042,5621.943081347125
2016-01-01 09:00:00,9166.254580071123,4460.325564063674,5398.561642316674
2016-01-01 10:00:00,8874.81191884423,4318.508735720798,5226.913434415603
2016-01-01 11:00:00,8740.126670456531,4252.97051056698,5147.5891466838875
2016-01-01 12:00:00,8686.522842502898,4226.886735338538,5116.0186107639065
2016-01-01 13:00:00,9003.641286867245,4381.19747282445,5302.788840072028
2016-01-01 14:00:00,9469.40900202738,4607.841368506884,5577.107614368329
2016-01-01 15:00:00,9744.635379167457,4741.767306864685,5739.205071907053
2016-01-01 16:00:00,9542.382280418036,4643.350373439722,5620.085990998891
2016-01-01 17:00:00,9563.103087862299,4653.43317730954,5632.289727573002
2016-01-01 18:00:00,9343.28234801883,4546.467779734077,5502.824000438963
2016-01-01 19:00:00,8638.774894913951,4203.652448160262,5087.8969569192195
2016-01-01 20:00:00,7453.184347233612,3626.740713695885,4389.630985983178
2016-01-01 21:00:00,6179.3051417472925,3006.8674670905443,3639.3664852965812
2016-01-01 22:00:00,5708.131998558221,2777.593274746419,3361.864127546164
2016-01-01 23:00:00,5694.167976150133,2770.798341703716,3353.639870289699
2016-01-02 00:00:00,5786.0602526420735,2815.5133849524746,3407.7607890096656
2016-01-02 01:00:00,6023.899085915333,2931.246438066909,3547.8384609907557
2016-01-02 02:00:00,6567.595055159318,3195.810443955397,3868.0538967505586
2016-01-02 03:00:00,8657.243440679487,4212.639295087708,5098.774200387447
2016-01-02 04:00:00,11318.51584025982,5507.622018193914,6666.15845429707
2016-01-02 05:00:00,10395.539004318707,5058.498863210059,6122.561579506818
2016-01-02 06:00:00,10050.49251513818,4890.598259638739,5919.342835685765
2016-01-02 07:00:00,9626.616867202316,4684.339163084416,5669.69683315886
2016-01-02 08:00:00,9262.200927584765,4507.013329808702,5455.070248627228
2016-01-02 09:00:00,8893.730916945511,4327.714774036719,5238.055976505008
2016-01-02 10:00:00,8613.099111776495,4191.158539017225,5072.774935512169
2016-01-02 11:00:00,8484.26974375348,4128.469801913574,4996.899529855746
2016-01-02 12:00:00,8489.675171782419,4131.100098575266,5000.083113309862
2016-01-02 13:00:00,8732.919433084615,4249.463448351392,5143.344368745067
2016-01-02 14:00:00,9172.110460435804,4463.175052113841,5402.010524391966
2016-01-02 15:00:00,9401.841151665656,4574.9626602357375,5537.312821191883
2016-01-02 16:00:00,9299.13801911584,4524.987023663596,5476.824735563686
2016-01-02 17:00:00,9277.065854664344,4514.246645628354,5463.825103126045
2016-01-02 18:00:00,9036.073855040871,4396.9792527946,5321.890340796722
2016-01-02 19:00:00,8340.575448650887,4058.5477489902705,4912.269269700504
2016-01-02 20:00:00,7104.083787031386,3456.8673876282974,4184.024554571541
2016-01-02 21:00:00,5898.673336578277,2870.3112320710507,3474.0854443037415
2016-01-02 22:00:00,5675.699430384595,2761.8114947762692,3342.7626268214703
2016-01-02 23:00:00,5672.095811698637,2760.057963668475,3340.64023785206
2016-01-03 00:00:00,5735.159138702909,2790.744758054878,3377.7820448167427
2016-01-03 01:00:00,5968.493448618721,2904.285897284569,3515.2067305860696
2016-01-03 02:00:00,6524.80208326356,3174.987262050338,3842.850527738809
2016-01-03 03:00:00,8684.72103315992,4226.00996978464,5114.957416279201
2016-01-03 04:00:00,11331.578957996418,5513.97856845967,6673.852114311184
2016-01-03 05:00:00,10287.430443739951,5005.892929976225,6058.889910424503
2016-01-03 06:00:00,9886.52786492707,4810.812594234092,5822.77413757759
2016-01-03 07:00:00,9499.58930852228,4622.527191534662,5594.882621987142
2016-01-03 08:00:00,9131.119297883026,4443.228635762679,5377.8683498649225
2016-01-03 09:00:00,8810.397234832722,4287.164367168972,5188.975731587391
2016-01-03 10:00:00,8554.990760465414,4162.88284990404,5038.551413380425
2016-01-03 11:00:00,8416.701893391759,4095.591093642428,4957.104736679299
2016-01-03 12:00:00,8370.305302810044,4073.0143806295746,4929.77897869814
2016-01-03 13:00:00,8614.000016447986,4191.596921794174,5073.305532754522
2016-01-03 14:00:00,9072.110041900456,4414.514563872544,5343.114230490825
2016-01-03 15:00:00,9334.273301303936,4542.0839519645915,5497.518028015437
2016-01-03 16:00:00,9204.092576273684,4478.737640695516,5420.846726495484
2016-01-03 17:00:00,9204.993480945175,4479.176023472465,5421.377323737837
2016-01-03 18:00:00,9015.35304759661,4386.896448924783,5309.686604222613
2016-01-03 19:00:00,8339.224091643653,4057.8901748248477,4911.473373836975
2016-01-03 20:00:00,7129.309117833094,3469.1421053828585,4198.881277357414
2016-01-03 21:00:00,5896.8715272352965,2869.434466517154,3473.024249819037
2016-01-03 22:00:00,6110.8363867140815,2973.55037604245,3599.041094877783
2016-01-03 23:00:00,6094.169650291523,2965.4402946689006,3589.2250458942594
2016-01-04 00:00:00,6177.953784740058,3006.209892925122,3638.570589433053
2016-01-04 01:00:00,6398.675429255014,3113.6136732775326,3768.5669138094436
2016-01-04 02:00:00,6965.344467621983,3389.3564399782103,4102.312579249237
2016-01-04 03:00:00,9209.498004302623,4481.367937357209,5424.0303099496
2016-01-04 04:00:00,11613.562120172668,5651.192377644585,6839.929051167551
2016-01-04 05:00:00,10595.089389053657,5155.600648304177,6240.088868687921
2016-01-04 06:00:00,10139.23162527991,4933.778963168178,5971.606664057498
2016-01-04 07:00:00,9750.040807196394,4744.397603526377,5742.388655361168
2016-01-04 08:00:00,9421.661054438428,4584.607081328607,5548.985960523641
2016-01-04 09:00:00,9156.79508102048,4455.722544905714,5392.9903712719715
2016-01-04 10:00:00,8869.406490815292,4315.878439059107,5223.729850961488
2016-01-04 11:00:00,8771.207881622926,4268.094716371708,5165.894751545054
2016-01-04 12:00:00,8725.261743376954,4245.737194747328,5138.83429218507
2016-01-04 13:00:00,9025.713451318741,4391.937850859691,5315.7884725096665
2016-01-04 14:00:00,9524.81463932399,4634.801909289224,5609.739344773016
2016-01-04 15:00:00,9820.76182390833,4778.810651516843,5784.040538885849
2016-01-04 16:00:00,9692.38290822106,4716.341105801666,5708.430431850602
2016-01-04 17:00:00,9702.292859607445,4721.1633163481,5714.2670015164795
2016-01-04 18:00:00,9520.760568302287,4632.829186792955,5607.351657182428
2016-01-04 19:00:00,8884.721870230616,4323.330946267233,5232.750004081483
2016-01-04 20:00:00,7559.941550805132,3678.689072764296,4452.506759201963
2016-01-04 21:00:00,6345.972505972872,3087.968280826038,3737.5269751318156
2016-01-04 22:00:00,6171.6474520396305,3003.141213486482,3634.856408736585
2016-01-04 23:00:00,6154.980715617073,2995.031132112932,3625.040359753061
2016-01-05 00:00:00,6245.521635101779,3039.088601196268,3678.3653826094987
2016-01-05 01:00:00,6509.486703848237,3167.534754842212,3833.830374618815
2016-01-05 02:00:00,7032.011413312217,3421.796765472408,4141.576775183331
2016-01-05 03:00:00,9186.524935179637,4470.189176545019,5410.500080269609
2016-01-05 04:00:00,12146.44723335878,5910.49579020969,7153.777320019122
2016-01-05 05:00:00,11101.39781443082,5401.971768949298,6538.28451889009
2016-01-05 06:00:00,10651.395931021758,5182.9995718634655,6273.25119633496
2016-01-05 07:00:00,10186.979572868859,4957.013250346455,5999.728317902187
2016-01-05 08:00:00,9806.79780150024,4772.01571847414,5775.816281629383
2016-01-05 09:00:00,9429.769196481833,4588.552526321145,5553.761335704814
2016-01-05 10:00:00,9121.209346496642,4438.406425216244,5372.031780199044
2016-01-05 11:00:00,9002.28992986001,4380.539898659026,5301.992944208498
2016-01-05 12:00:00,8915.35262906126,4338.235960683486,5250.790310321472
2016-01-05 13:00:00,9234.27288276859,4493.423463723296,5438.621734114297
2016-01-05 14:00:00,9729.319999752133,4734.3147996565585,5730.184918787058
2016-01-05 15:00:00,10031.123064701154,4881.173029934344,5907.934994975184
2016-01-05 16:00:00,9838.77991733812,4787.5783070558155,5794.652483732901
2016-01-05 17:00:00,9830.671775294715,4783.632862063278,5789.877108551727
2016-01-05 18:00:00,9598.688822386139,4670.74929699901,5653.248318645929
2016-01-05 19:00:00,8926.163485119137,4343.49655400687,5257.1574772297035
2016-01-05 20:00:00,7740.572937438799,3766.584819542493,4558.891506293662
2016-01-05 21:00:00,6401.828595605228,3115.1480129968522,3770.4240041576772
2016-01-05 22:00:00,6091.466936277055,2964.1251463380545,3587.633254167202
2016-01-05 23:00:00,6079.755175547689,2958.4261702377225,3580.735490016618
2016-01-06 00:00:00,6167.142928682182,3000.9492996017384,3632.2034225248217
2016-01-06 01:00:00,6431.558449764385,3129.6146446361568,3787.933713155314
2016-01-06 02:00:00,6950.929992878149,3382.3423155470323,4093.823023371596
2016-01-06 03:00:00,9098.236277373657,4427.227664404055,5358.501550519052
2016-01-06 04:00:00,12020.320579350235,5849.122201436885,7079.493706089757
2016-01-06 05:00:00,10986.98292115164,5346.297156276824,6470.898669111308
2016-01-06 06:00:00,10577.972200295353,5147.271375542154,6230.007521083221
2016-01-06 07:00:00,10080.222369297338,4905.064891278043,5936.852544683401
2016-01-06 08:00:00,9711.30190632234,4725.547144117586,5719.572973940006
2016-01-06 09:00:00,9326.615611596273,4538.357698360528,5493.00795145544
2016-01-06 10:00:00,9027.965712997466,4393.033807802063,5317.114965615549
2016-01-06 11:00:00,8893.280464609768,4327.495582648245,5237.790677883832
2016-01-06 12:00:00,8836.523470305921,4299.877467700482,5204.363051615618
2016-01-06 13:00:00,9161.750056713674,4458.133650178931,5395.908656104911
2016-01-06 14:00:00,9634.725009245723,4688.284608076954,5674.472208340034
2016-01-06 15:00:00,9913.104552736017,4823.744886154077,5838.426756226992
2016-01-06 16:00:00,9706.797382964894,4723.3552302328435,5716.919987728243
2016-01-06 17:00:00,9725.716381066173,4732.561268548765,5728.062529817648
