,HDAM,HPHS,SCSP
2016-01-01 00:00:00,0.4565331996363584,0,0.0
2016-01-01 01:00:00,0.45670720263214437,0,0.0
2016-01-01 02:00:00,0.4568812056279305,0,0.0
2016-01-01 03:00:00,0.4570552086237165,0,0.0
2016-01-01 04:00:00,0.4572292116195026,0,0.0
2016-01-01 05:00:00,0.45740321461528854,0,0.0
2016-01-01 06:00:00,0.45757721761107467,0,0.0
2016-01-01 07:00:00,0.45775122060686085,0,0.0
2016-01-01 08:00:00,0.4579252236026468,0,0.0
2016-01-01 09:00:00,0.4580992265984329,0,0.003
2016-01-01 10:00:00,0.458273229594219,0,0.018000000000000002
2016-01-01 11:00:00,0.4584472325900051,0,0.025
2016-01-01 12:00:00,0.45862123558579126,0,0.022
2016-01-01 13:00:00,0.4587952385815772,0,0.016
2016-01-01 14:00:00,0.45896924157736324,0,0.008
2016-01-01 15:00:00,0.45914324457314953,0,0.001
2016-01-01 16:00:00,0.45931724756893527,0,0.0
2016-01-01 17:00:00,0.45949125056472145,0,0.0
2016-01-01 18:00:00,0.4596652535605075,0,0.0
2016-01-01 19:00:00,0.4598392565562935,0,0.0
2016-01-01 20:00:00,0.46001325955207956,0,0.0
2016-01-01 21:00:00,0.46018726254786574,0,0.0
2016-01-01 22:00:00,0.46036126554365187,0,0.0
2016-01-01 23:00:00,0.4605352685394378,0,0.0
2016-01-02 00:00:00,0.4607092715352239,0,0.0
2016-01-02 01:00:00,0.46099540333964684,0,0.0
2016-01-02 02:00:00,0.4612815351440696,0,0.0
2016-01-02 03:00:00,0.4615676669484924,0,0.0
2016-01-02 04:00:00,0.4618537987529152,0,0.0
2016-01-02 05:00:00,0.46213993055733804,0,0.0
2016-01-02 06:00:00,0.4624260623617609,0,0.0
2016-01-02 07:00:00,0.4627121941661837,0,0.0
2016-01-02 08:00:00,0.46299832597060653,0,0.0
2016-01-02 09:00:00,0.4632844577750295,0,0.006
2016-01-02 10:00:00,0.4635705895794523,0,0.029
2016-01-02 11:00:00,0.463856721383875,0,0.058
2016-01-02 12:00:00,0.46414285318829784,0,0.083
2016-01-02 13:00:00,0.46442898499272084,0,0.101
2016-01-02 14:00:00,0.4647151167971435,0,0.084
2016-01-02 15:00:00,0.46500124860156633,0,0.033
2016-01-02 16:00:00,0.4652873804059892,0,0.0
2016-01-02 17:00:00,0.4655735122104121,0,0.0
2016-01-02 18:00:00,0.46585964401483493,0,0.0
2016-01-02 19:00:00,0.46614577581925765,0,0.0
2016-01-02 20:00:00,0.46643190762368053,0,0.0
2016-01-02 21:00:00,0.4667180394281034,0,0.0
2016-01-02 22:00:00,0.46700417123252613,0,0.0
2016-01-02 23:00:00,0.46729030303694896,0,0.0
2016-01-03 00:00:00,0.46757643484137185,0,0.0
2016-01-03 01:00:00,0.4681948281258951,0,0.0
2016-01-03 02:00:00,0.4688132214104183,0,0.0
2016-01-03 03:00:00,0.4694316146949414,0,0.0
2016-01-03 04:00:00,0.47005000797946467,0,0.0
2016-01-03 05:00:00,0.4706684012639879,0,0.0
2016-01-03 06:00:00,0.471286794548511,0,0.0
2016-01-03 07:00:00,0.47190518783303403,0,0.0
2016-01-03 08:00:00,0.4725235811175573,0,0.0
2016-01-03 09:00:00,0.4731419744020805,0,0.009000000000000001
2016-01-03 10:00:00,0.4737603676866037,0,0.041
2016-01-03 11:00:00,0.4743787609711269,0,0.068
2016-01-03 12:00:00,0.4749971542556501,0,0.081
2016-01-03 13:00:00,0.47561554754017327,0,0.07400000000000001
2016-01-03 14:00:00,0.47623394082469656,0,0.048
2016-01-03 15:00:00,0.4768523341092195,0,0.014
2016-01-03 16:00:00,0.47747072739374274,0,0.0
2016-01-03 17:00:00,0.478089120678266,0,0.0
2016-01-03 18:00:00,0.4787075139627891,0,0.0
2016-01-03 19:00:00,0.47932590724731233,0,0.0
2016-01-03 20:00:00,0.47994430053183545,0,0.0
2016-01-03 21:00:00,0.4805626938163588,0,0.0
2016-01-03 22:00:00,0.48118108710088175,0,0.0
2016-01-03 23:00:00,0.48179948038540504,0,0.0
2016-01-04 00:00:00,0.4824178736699283,0,0.0
2016-01-04 01:00:00,0.4830254607583859,0,0.0
2016-01-04 02:00:00,0.4836330478468436,0,0.0
2016-01-04 03:00:00,0.4842406349353012,0,0.0
2016-01-04 04:00:00,0.4848482220237588,0,0.0
2016-01-04 05:00:00,0.4854558091122165,0,0.0
