,HDAM,HPHS,SCSP
2016-01-01 00:00:00,0.3371396319160162,0,0.0
2016-01-01 01:00:00,0.33729831431790147,0,0.0
2016-01-01 02:00:00,0.3374569967197868,0,0.0
2016-01-01 03:00:00,0.3376156791216719,0,0.0
2016-01-01 04:00:00,0.33777436152355717,0,0.0
2016-01-01 05:00:00,0.3379330439254424,0,0.0
2016-01-01 06:00:00,0.3380917263273277,0,0.0
2016-01-01 07:00:00,0.338250408729213,0,0.0
2016-01-01 08:00:00,0.3384090911310982,0,0.006
2016-01-01 09:00:00,0.3385677735329834,0,0.028
2016-01-01 10:00:00,0.3387264559348686,0,0.054000000000000006
2016-01-01 11:00:00,0.3388851383367538,0,0.069
2016-01-01 12:00:00,0.339043820738639,0,0.076
2016-01-01 13:00:00,0.33920250314052436,0,0.061
2016-01-01 14:00:00,0.33936118554240957,0,0.027000000000000003
2016-01-01 15:00:00,0.3395198679442948,0,0.0
2016-01-01 16:00:00,0.33967855034618005,0,0.0
2016-01-01 17:00:00,0.3398372327480652,0,0.0
2016-01-01 18:00:00,0.33999591514995053,0,0.0
2016-01-01 19:00:00,0.3401545975518358,0,0.0
2016-01-01 20:00:00,0.3403132799537209,0,0.0
2016-01-01 21:00:00,0.3404719623556063,0,0.0
2016-01-01 22:00:00,0.3406306447574914,0,0.0
2016-01-01 23:00:00,0.34078932715937665,0,0.0
2016-01-02 00:00:00,0.3409480095612619,0,0.0
2016-01-02 01:00:00,0.34137483794169105,0,0.0
2016-01-02 02:00:00,0.34180166632212017,0,0.0
2016-01-02 03:00:00,0.3422284947025493,0,0.0
2016-01-02 04:00:00,0.3426553230829784,0,0.0
2016-01-02 05:00:00,0.34308215146340754,0,0.0
2016-01-02 06:00:00,0.3435089798438367,0,0.0
2016-01-02 07:00:00,0.3439358082242659,0,0.0
2016-01-02 08:00:00,0.344362636604695,0,0.001
2016-01-02 09:00:00,0.34478946498512414,0,0.008
2016-01-02 10:00:00,0.3452162933655533,0,0.032
2016-01-02 11:00:00,0.3456431217459824,0,0.054000000000000006
2016-01-02 12:00:00,0.34606995012641145,0,0.042
2016-01-02 13:00:00,0.3464967785068407,0,0.019
2016-01-02 14:00:00,0.34692360688726975,0,0.006999999999999999
2016-01-02 15:00:00,0.34735043526769893,0,0.0
2016-01-02 16:00:00,0.34777726364812805,0,0.0
2016-01-02 17:00:00,0.3482040920285572,0,0.0
2016-01-02 18:00:00,0.34863092040898636,0,0.0
2016-01-02 19:00:00,0.3490577487894155,0,0.0
2016-01-02 20:00:00,0.34948457716984466,0,0.0
2016-01-02 21:00:00,0.3499114055502737,0,0.0
2016-01-02 22:00:00,0.3503382339307029,0,0.0
2016-01-02 23:00:00,0.35076506231113197,0,0.0
2016-01-03 00:00:00,0.35119189069156115,0,0.0
2016-01-03 01:00:00,0.3515855276240315,0,0.0
2016-01-03 02:00:00,0.3519791645565017,0,0.0
2016-01-03 03:00:00,0.35237280148897204,0,0.0
2016-01-03 04:00:00,0.3527664384214425,0,0.0
2016-01-03 05:00:00,0.3531600753539128,0,0.0
2016-01-03 06:00:00,0.35355371228638316,0,0.0
2016-01-03 07:00:00,0.3539473492188535,0,0.0
2016-01-03 08:00:00,0.35434098615132387,0,0.003
2016-01-03 09:00:00,0.3547346230837941,0,0.018000000000000002
2016-01-03 10:00:00,0.3551282600162644,0,0.032
2016-01-03 11:00:00,0.3555218969487348,0,0.037000000000000005
2016-01-03 12:00:00,0.35591553388120517,0,0.036000000000000004
2016-01-03 13:00:00,0.35630917081367547,0,0.023
2016-01-03 14:00:00,0.3567028077461459,0,0.004
2016-01-03 15:00:00,0.3570964446786162,0,0.0
2016-01-03 16:00:00,0.3574900816110865,0,0.0
2016-01-03 17:00:00,0.35788371854355683,0,0.0
2016-01-03 18:00:00,0.35827735547602707,0,0.0
2016-01-03 19:00:00,0.3586709924084975,0,0.0
2016-01-03 20:00:00,0.3590646293409678,0,0.0
2016-01-03 21:00:00,0.3594582662734382,0,0.0
2016-01-03 22:00:00,0.35985190320590854,0,0.0
2016-01-03 23:00:00,0.3602455401383788,0,0.0
2016-01-04 00:00:00,0.36063917707084914,0,0.0
2016-01-04 01:00:00,0.36143781787002227,0,0.0
2016-01-04 02:00:00,0.3622364586691954,0,0.0
2016-01-04 03:00:00,0.3630350994683684,0,0.0
2016-01-04 04:00:00,0.36383374026754167,0,0.0
2016-01-04 05:00:00,0.3646323810667148,0,0.0
2016-01-04 06:00:00,0.36543102186588794,0,0.0
2016-01-04 07:00:00,0.3662296626650611,0,0.0
2016-01-04 08:00:00,0.36702830346423415,0,0.006999999999999999
2016-01-04 09:00:00,0.36782694426340734,0,0.013
2016-01-04 10:00:00,0.3686255850625804,0,0.016
2016-01-04 11:00:00,0.36942422586175355,0,0.025
2016-01-04 12:00:00,0.37022286666092663,0,0.027000000000000003
2016-01-04 13:00:00,0.3710215074600999,0,0.022
2016-01-04 14:00:00,0.37182014825927295,0,0.011
2016-01-04 15:00:00,0.3726187890584461,0,0.0
2016-01-04 16:00:00,0.3734174298576192,0,0.0
2016-01-04 17:00:00,0.3742160706567923,0,0.0
2016-01-04 18:00:00,0.37501471145596554,0,0.0
2016-01-04 19:00:00,0.37581335225513857,0,0.0
2016-01-04 20:00:00,0.37661199305431176,0,0.0
2016-01-04 21:00:00,0.3774106338534849,0,0.0
2016-01-04 22:00:00,0.378209274652658,0,0.0
2016-01-04 23:00:00,0.3790079154518311,0,0.0
2016-01-05 00:00:00,0.37980655625100423,0,0.0
2016-01-05 01:00:00,0.3806054243888621,0,0.0
2016-01-05 02:00:00,0.38140429252671987,0,0.0
2016-01-05 03:00:00,0.38220316066457755,0,0.0
2016-01-05 04:00:00,0.3830020288024354,0,0.0
2016-01-05 05:00:00,0.3838008969402931,0,0.0
2016-01-05 06:00:00,0.38459976507815097,0,0.0
2016-01-05 07:00:00,0.3853986332160087,0,0.0
2016-01-05 08:00:00,0.38619750135386655,0,0.001
2016-01-05 09:00:00,0.3869963694917243,0,0.01
2016-01-05 10:00:00,0.38779523762958207,0,0.027000000000000003
2016-01-05 11:00:00,0.38859410576743975,0,0.038
2016-01-05 12:00:00,0.3893929739052976,0,0.035
2016-01-05 13:00:00,0.3901918420431554,0,0.028
2016-01-05 14:00:00,0.3909907101810132,0,0.009000000000000001
2016-01-05 15:00:00,0.39178957831887096,0,0.0
2016-01-05 16:00:00,0.3925884464567287,0,0.0
2016-01-05 17:00:00,0.3933873145945865,0,0.0
2016-01-05 18:00:00,0.39418618273244427,0,0.0
2016-01-05 19:00:00,0.39498505087030206,0,0.0
2016-01-05 20:00:00,0.39578391900815985,0,0.0
2016-01-05 21:00:00,0.39658278714601763,0,0.0
2016-01-05 22:00:00,0.3973816552838754,0,0.0
2016-01-05 23:00:00,0.3981805234217331,0,0.0
2016-01-06 00:00:00,0.398979391559591,0,0.0
2016-01-06 01:00:00,0.3996464032603521,0,0.0
2016-01-06 02:00:00,0.4003134149611132,0,0.0
