,HDAM,HPHS,SCSP
2016-01-01 00:00:00,0.9393767017673744,0,0.0
2016-01-01 01:00:00,0.93929840652171,0,0.0
2016-01-01 02:00:00,0.9392201112760453,0,0.0
2016-01-01 03:00:00,0.9391418160303814,0,0.0
2016-01-01 04:00:00,0.939063520784717,0,0.0
2016-01-01 05:00:00,0.9389852255390525,0,0.0
2016-01-01 06:00:00,0.9389069302933882,0,0.0
2016-01-01 07:00:00,0.9388286350477234,0,0.035
2016-01-01 08:00:00,0.9387503398020594,0,0.103
2016-01-01 09:00:00,0.938672044556395,0,0.168
2016-01-01 10:00:00,0.9385937493107301,0,0.238
2016-01-01 11:00:00,0.9385154540650662,0,0.307
2016-01-01 12:00:00,0.9384371588194017,0,0.329
2016-01-01 13:00:00,0.9383588635737373,0,0.263
2016-01-01 14:00:00,0.938280568328073,0,0.116
2016-01-01 15:00:00,0.9382022730824086,0,0.0
2016-01-01 16:00:00,0.9381239778367442,0,0.0
2016-01-01 17:00:00,0.9380456825910798,0,0.0
2016-01-01 18:00:00,0.9379673873454154,0,0.0
2016-01-01 19:00:00,0.937889092099751,0,0.0
2016-01-01 20:00:00,0.937810796854087,0,0.0
2016-01-01 21:00:00,0.9377325016084223,0,0.0
2016-01-01 22:00:00,0.9376542063627579,0,0.0
2016-01-01 23:00:00,0.9375759111170934,0,0.0
2016-01-02 00:00:00,0.937497615871429,0,0.0
2016-01-02 01:00:00,0.9376572150272471,0,0.0
2016-01-02 02:00:00,0.9378168141830654,0,0.0
2016-01-02 03:00:00,0.9379764133388837,0,0.0
2016-01-02 04:00:00,0.9381360124947016,0,0.0
2016-01-02 05:00:00,0.9382956116505198,0,0.0
2016-01-02 06:00:00,0.9384552108063379,0,0.0
2016-01-02 07:00:00,0.9386148099621558,0,0.03
2016-01-02 08:00:00,0.938774409117974,0,0.094
2016-01-02 09:00:00,0.9389340082737921,0,0.159
2016-01-02 10:00:00,0.9390936074296103,0,0.187
2016-01-02 11:00:00,0.9392532065854284,0,0.154
