,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,AT_STUR_GEO,AT_STUR_GEO,36.2,10.0,AT,STUR,GEO,0.1,2,2,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
1,1,AT_COMC_GAS,AT_COMC_GAS,1400.5919268364041,13.0,AT,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
2,2,AT_COMC_CCS_GAS,AT_COMC_CCS_GAS,721.3333333333335,3.0,AT,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
3,3,AT_HDAM_WAT,AT_HDAM_WAT,5739.0,1.0,AT,HDAM,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1735630.76,0.0,0.0,0.89
4,4,AT_HPHS_WAT,AT_HPHS_WAT,4793.0,1.0,AT,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,28758.0,0.0,4793.0,0.89
5,5,AT_HROR_WAT,AT_HROR_WAT,6280.0,1.0,AT,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
6,6,AT_WTON_WIN,AT_WTON_WIN,14923.0,1.0,AT,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
7,7,AT_PHOT_SUN,AT_PHOT_SUN,112979.0,1.0,AT,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
8,8,AT_BEVS_OTH,AT_BEVS_OTH,11346.0,1.0,AT,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,120407.94,0.0,11346.0,0.94
9,9,AT_P2HT_OTH,AT_P2HT_OTH,7392.000000000001,1.0,AT,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.70133321116049,5.0,0.04802707643156165,8.476860139067908e-05,36960.000000000015,0.03,,
10,10,AT_P2GS_HYD,AT_P2GS_HYD,2419.0,1.0,AT,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,147260.00000000006,0.0,102675.0,0.72
11,11,AT_STUR_BIO_CHP,AT_STUR_BIO_CHP,178.1818181818182,11.0,AT,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4751.515151515152,0.03,,
12,12,AT_ICEN_GAS_CHP,AT_ICEN_GAS_CHP,9.956521739130435,23.0,AT,ICEN,GAS,0.36,0,0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.0076,back-pressure,0.75,0.0,,,,,159.30434782608697,0.03,,
