,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
BG_STUR_GEO,BG_STUR_GEO,38.09090909090909,11.0,BG,STUR,GEO,0.1,2,2,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
BG_STUR_NUC,BG_STUR_NUC,797.25,4.0,BG,STUR,NUC,0.34,24,24,0.05,0.05,300.0,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
BG_COMC_CCS_GAS,BG_COMC_CCS_GAS,42.0,1.0,BG,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
BG_GTUR_GAS,BG_GTUR_GAS,62.3125,16.0,BG,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25.0,2.9,0.25,0.2,0.33,0.166666667,0.6839,,,,,,,,,,,
BG_HDAM_WAT,BG_HDAM_WAT,1933.0,1,BG,HDAM,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,2240914.0,0.0,0.0,0.89
BG_HPHS_WAT,BG_HPHS_WAT,1013.0,1,BG,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,6078.0,0.0,1013.0,0.89
BG_HROR_WAT,BG_HROR_WAT,51.00000000000001,1,BG,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
BG_WTON_WIN,BG_WTON_WIN,1224.0,1,BG,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
BG_PHOT_SUN,BG_PHOT_SUN,31969.0,1,BG,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
BG_BATS_OTH,BG_BATS_OTH,1210000.0,1,BG,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,4840000.0,0.0,1210000.0,0.89
BG_BEVS_OTH,BG_BEVS_OTH,17205.0,1,BG,BEVS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,77198.835,0.0,17205.0,0.89
BG_P2HT_OTH,BG_P2HT_OTH,3382.0000000000005,1,BG,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.1409921671018277,5.0,0.02342638697357937,0.0009351272777861802,16910.000000000004,0.03,,
BG_P2GS_HYD,BG_P2GS_HYD,2357.0,1,BG,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,12466666.666666668,0.0,31217.0,0.72
BG_STUR_BIO_CHP,BG_STUR_BIO_CHP,109.0,1.0,BG,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,2906.666666666667,0.03,,
BG_COMC_CCS_GAS_CHP,BG_COMC_CCS_GAS_CHP,3.2743022136669873,1.0,BG,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,Extraction,0.95,0.213,,,,,41.35960690947773,0.03,,
BG_GTUR_GAS_CHP,BG_GTUR_GAS_CHP,38.86284889316651,2.0,BG,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25.0,2.9,0.25,0.2,0.33,0.166666667,0.6839,back-pressure,0.55,0.0,,,,,847.9167031236328,0.03,,
