,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
CY_COMC_GAS,CY_COMC_GAS,224.0,2.0,CY,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
CY_COMC_CCS_GAS,CY_COMC_CCS_GAS,68.0,1.0,CY,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
CY_STUR_OIL,CY_STUR_OIL,18.0,1.0,CY,STUR,OIL,0.33,5,5,0.02,0.02,120.0,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,
CY_WTON_WIN,CY_WTON_WIN,945.0,1,CY,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
CY_PHOT_SUN,CY_PHOT_SUN,24710.0,1,CY,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
CY_SCSP_SUN,CY_SCSP_SUN,146.55555555555554,18.0,CY,SCSP,SUN,1.0,2,2,0.021276596000000002,0.021276596000000002,0.0,0.0,0.0,0.0,0.395,0.0,0.0,,,,,,,,2198.333333333333,0.03,0.0,
CY_BATS_OTH,CY_BATS_OTH,311.0,1,CY,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,1244.0,0.0,311.0,0.89
CY_BEVS_OTH,CY_BEVS_OTH,1573.0,1,CY,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,16720.74,0.0,1573.0,0.94
CY_P2HT_OTH,CY_P2HT_OTH,629.0,1,CY,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.1075949367088607,5.0,0.017932489451468542,0.0007172995780587462,3145.0,0.03,,
CY_P2GS_HYD,CY_P2GS_HYD,274.0,1,CY,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,44056.0,0.0,31109.0,0.72
CY_ICEN_GAS_CHP,CY_ICEN_GAS_CHP,10.0,4.0,CY,ICEN,GAS,0.36,0,0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.0076,back-pressure,0.75,0.0,,,,,160.0,0.03,,
