,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,DE_STUR_GEO,DE_STUR_GEO,39.12,25.0,DE,STUR,GEO,0.1,2,2,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
1,1,DE_STUR_LIG,DE_STUR_LIG,546.1428571428571,7.0,DE,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65.0,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
2,2,DE_COMC_GAS,DE_COMC_GAS,650.320998679043,263.0,DE,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
3,3,DE_COMC_CCS_GAS,DE_COMC_CCS_GAS,739.4375,16.0,DE,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
4,4,DE_STUR_OIL,DE_STUR_OIL,116.0,1.0,DE,STUR,OIL,0.33,5,5,0.02,0.02,120.0,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,
5,5,DE_HDAM_WAT,DE_HDAM_WAT,1441.0,1.0,DE,HDAM,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1735630.76,0.0,0.0,0.89
6,6,DE_HPHS_WAT,DE_HPHS_WAT,6967.0,1.0,DE,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,41802.0,0.0,6967.0,0.89
7,7,DE_HROR_WAT,DE_HROR_WAT,3618.0,1.0,DE,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
8,8,DE_WTOF_WIN,DE_WTOF_WIN,105572.0,1.0,DE,WTOF,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
9,9,DE_WTON_WIN,DE_WTON_WIN,118380.0,1.0,DE,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
10,10,DE_PHOT_SUN,DE_PHOT_SUN,347990.0,1.0,DE,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
11,11,DE_BATS_OTH,DE_BATS_OTH,37905.0,1.0,DE,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,151620.0,0.0,37905.0,0.89
12,12,DE_BEVS_OTH,DE_BEVS_OTH,90371.0,1.0,DE,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,962583.4499999998,0.0,90371.0,0.94
13,13,DE_P2HT_OTH,DE_P2HT_OTH,105964.0,1.0,DE,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.4875277723948024,5.0,0.09916858482632017,0.0,529820.0000000001,0.03,,
14,14,DE_P2GS_HYD,DE_P2GS_HYD,6592.0,1.0,DE,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,474089.0,0.0,368457.0,0.72
15,15,DE_STUR_BIO_CHP,DE_STUR_BIO_CHP,176.87719298245614,57.0,DE,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4716.72514619883,0.03,,
16,16,DE_ICEN_GAS_CHP,DE_ICEN_GAS_CHP,9.979166666666666,192.0,DE,ICEN,GAS,0.36,0,0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.0076,back-pressure,0.75,0.0,,,,,159.66666666666666,0.03,,
