,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
ES_STUR_GEO,ES_STUR_GEO,23.5,2.0,ES,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
ES_STUR_LIG,ES_STUR_LIG,97.0,1.0,ES,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
ES_STUR_NUC,ES_STUR_NUC,935.8333333333334,6.0,ES,STUR,NUC,0.34,24,48,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
ES_COMC_GAS,ES_COMC_GAS,418.98837209302326,86.0,ES,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
ES_HDAM_WAT,ES_HDAM_WAT,10075.0,1,ES,HDAM,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,13674197.4,0.0,0.0,0.89
ES_HPHS_WAT,ES_HPHS_WAT,1076.0,1,ES,HPHS,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,5380.0,0.0,1076.0,0.89
ES_HROR_WAT,ES_HROR_WAT,2766.0,1,ES,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
ES_WTON_WIN,ES_WTON_WIN,99603.0,1,ES,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
ES_PHOT_SUN,ES_PHOT_SUN,385659.0,1,ES,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
ES_SCSP_SUN,ES_SCSP_SUN,149.82698412698412,630.0,ES,SCSP,SUN,0.395,2,2,0.021276596000000002,0.021276596000000002,0,0.0,0.0,0.0,0.395,0.0,0.0,,,,,,,,1415865.0,0.03,0.0,
ES_BATS_OTH,ES_BATS_OTH,12481666.666666668,1,ES,BATS,OTH,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,49926666.66666667,0.0,12481666.666666668,0.89
ES_BEVS_OTH,ES_BEVS_OTH,100256.0,1,ES,BEVS,OTH,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,449848.672,0.0,100256.0,0.89
ES_P2HT_OTH,ES_P2HT_OTH,0.002999999887749761,8908667.0,ES,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.299994381526459,5.0,0.03040707157923456,0.0006938297429444899,0.014999999438748805,0.03,,
ES_P2GS_HYD,ES_P2GS_HYD,14373.0,1,ES,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,196437777.7777778,0.0,502178.0,0.72
ES_STUR_BIO_CHP,ES_STUR_BIO_CHP,179.2439024390244,41.0,ES,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4779.837398373984,0.03,,
