,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
IE_STUR_GEO,IE_STUR_GEO,34.666666666666664,6.0,IE,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
IE_COMC_GAS,IE_COMC_GAS,399.25000000000006,12.0,IE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
IE_HDAM_WAT,IE_HDAM_WAT,215.0,1,IE,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,1075.0,0.0,0.0,0.9,
IE_HPHS_WAT,IE_HPHS_WAT,178.0,1,IE,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,890.0,0.0,178.0,0.9,
IE_HROR_WAT,IE_HROR_WAT,2869.0,1,IE,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
IE_WTOF_WIN,IE_WTOF_WIN,1000.0000000000002,1,IE,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
IE_WTON_WIN,IE_WTON_WIN,5292.000000000001,1,IE,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
IE_BATS_OTH,IE_BATS_OTH,1337777.7777777778,1,IE,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,3801111.111111111,0.0,0.0,0.9,
IE_BEVS_OTH,IE_BEVS_OTH,48981.0,1,IE,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,200822.09999999998,0.0,48981.0,0.88,
IE_STUR_BIO_CHP,IE_STUR_BIO_CHP,178.66666666666666,6.0,IE,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4764.444444444444,0.03,,,
IE_COMC_GAS_CHP,IE_COMC_GAS_CHP,267.0,1.0,IE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,3372.631578947369,0.03,,,
