,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
LU_COMC_CCS_GAS,LU_COMC_CCS_GAS,661.0,4.0,LU,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
LU_HDAM_WAT,LU_HDAM_WAT,45.0,1,LU,HDAM,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,270.0,0.0,0.0,0.89
LU_HPHS_WAT,LU_HPHS_WAT,1100.0,1,LU,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,6600.0,0.0,1100.0,0.89
LU_HROR_WAT,LU_HROR_WAT,17.0,1,LU,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
LU_WTON_WIN,LU_WTON_WIN,300.0,1,LU,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
LU_PHOT_SUN,LU_PHOT_SUN,10526.0,1,LU,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
LU_BEVS_OTH,LU_BEVS_OTH,11219.5,1,LU,BEVS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,50341.8965,0.0,11219.5,0.89
LU_P2HT_OTH,LU_P2HT_OTH,1774.9999999999998,1,LU,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.9730692187847763,5.0,0.06487134791898508,0.0,8874.999999999998,0.03,,
LU_P2GS_HYD,LU_P2GS_HYD,11.0,1,LU,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,2931388.8888888895,0.0,6894.0,0.72
LU_STUR_BIO_CHP,LU_STUR_BIO_CHP,85.0,1.0,LU,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,2266.6666666666665,0.03,,
LU_COMC_GAS_CHP,LU_COMC_GAS_CHP,48.0,1.0,LU,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,606.3157894736842,0.03,,
