,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,LV_COMC_GAS,LV_COMC_GAS,1421.039525700459,3.0,LV,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
1,1,LV_STUR_BIO,LV_STUR_BIO,135.5,2.0,LV,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,,,,,,,,,,,
2,2,LV_WTOF_WIN,LV_WTOF_WIN,200.0,1.0,LV,WTOF,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
3,3,LV_WTON_WIN,LV_WTON_WIN,13163.999999999998,1.0,LV,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
4,4,LV_PHOT_SUN,LV_PHOT_SUN,7838.0,1.0,LV,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
5,5,LV_BATS_OTH,LV_BATS_OTH,946.0,1.0,LV,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,3784.0,0.0,946.0,0.89
6,6,LV_BEVS_OTH,LV_BEVS_OTH,1217.0,1.0,LV,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,12930.360000000002,0.0,1217.0,0.94
7,7,LV_P2HT_OTH,LV_P2HT_OTH,1497.0,1.0,LV,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0990695128626164,5.0,0.07327130085750673,0.0,7485.0,0.03,,
8,8,LV_P2GS_HYD,LV_P2GS_HYD,1221.0,1.0,LV,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,4797.0,0.0,13305.0,0.72
9,9,LV_STUR_BIO_CHP,LV_STUR_BIO_CHP,92.0,1.0,LV,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,2453.333333333333,0.03,,
10,10,LV_ICEN_GAS_CHP,LV_ICEN_GAS_CHP,9.888888888888893,9.0,LV,ICEN,GAS,0.36,0,0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.0076,back-pressure,0.75,0.0,,,,,158.22222222222226,0.03,,
