,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
PL_STUR_LIG,PL_STUR_LIG,582.25,16.0,PL,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
PL_STUR_NUC,PL_STUR_NUC,1000.0,6.0,PL,STUR,NUC,0.34,24,24,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
PL_COMC_GAS,PL_COMC_GAS,416.53968253968253,63.0,PL,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
PL_STUR_OIL,PL_STUR_OIL,200.0,2.0,PL,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,
PL_HROR_WAT,PL_HROR_WAT,2576.0,1,PL,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
PL_WTOF_WIN,PL_WTOF_WIN,39227.0,1,PL,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
PL_WTON_WIN,PL_WTON_WIN,81089.0,1,PL,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
PL_PHOT_SUN,PL_PHOT_SUN,82337.0,1,PL,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
PL_P2HT_OTH,PL_P2HT_OTH,0.0029999997561669643,8202334.0,PL,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.9079248740265686,5.0,0.060528391601771224,0.0,,,,
PL_P2GS_HYD,PL_P2GS_HYD,14098.0,1,PL,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,19641111.111111112,0.0,129945.0,0.72
PL_STUR_BIO_CHP,PL_STUR_BIO_CHP,176.66666666666666,33.0,PL,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,back-pressure,0.45,0.0,,,,,,,,
PL_COMC_GAS_CHP,PL_COMC_GAS_CHP,354.5,4.0,PL,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,back-pressure,0.95,0.0,,,,,,,,
