,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,RO_STUR_NUC,RO_STUR_NUC,799.5,4.0,RO,STUR,NUC,0.34,24.0,24.0,0.05,0.05,300.0,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
1,1,RO_COMC_GAS,RO_COMC_GAS,1907.5240004830189,6.0,RO,COMC,GAS,0.51,3.0,3.0,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
2,2,RO_GTUR_GAS,RO_GTUR_GAS,62.98246340075527,39.0,RO,GTUR,GAS,0.33,1.0,1.0,0.166666667,0.166666667,25.0,2.9,0.25,0.2,0.33,0.166666667,0.6839,,,,,,,,,,,
3,3,RO_STUR_HRD,RO_STUR_HRD,442.5,2.0,RO,STUR,HRD,0.3662,3.5,3.5,0.025,0.025,292.4,7.8,1.8,0.1910596025,0.33,1.5,0.6718500000000001,,,,,,,,,,,
4,4,RO_HDAM_WAT,RO_HDAM_WAT,6335.0,1.0,RO,HDAM,WAT,0.89,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,2641200.0,0.0,0.0,0.89
5,5,RO_HPHS_WAT,RO_HPHS_WAT,92.0,1.0,RO,HPHS,WAT,0.89,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,552.0,0.0,92.0,0.89
6,6,RO_WTON_WIN,RO_WTON_WIN,20553.0,1.0,RO,WTON,WIN,1.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
7,7,RO_PHOT_SUN,RO_PHOT_SUN,19901.0,1.0,RO,PHOT,SUN,1.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
8,8,RO_BATS_OTH,RO_BATS_OTH,1207.0,1.0,RO,BATS,OTH,0.89,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,4828.0,0.0,1207.0,0.89
9,9,RO_BEVS_OTH,RO_BEVS_OTH,19985.0,1.0,RO,BEVS,OTH,0.94,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,213609.00000000003,0.0,19985.0,0.94
10,10,RO_P2HT_OTH,RO_P2HT_OTH,5337.999999999998,1.0,RO,P2HT,OTH,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.293478260869565,5.0,0.08623188405796932,0.0,26690.0,0.03,,
11,11,RO_P2GS_HYD,RO_P2GS_HYD,3402.0,1.0,RO,P2GS,HYD,0.46,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,22428.0,0.0,28972.0,0.72
12,12,RO_STUR_BIO_CHP,RO_STUR_BIO_CHP,160.0,5.0,RO,STUR,BIO,0.4,4.0,6.0,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4266.666666666666,0.03,,
13,13,RO_STUR_GAS_CHP,RO_STUR_GAS_CHP,111.55555555555556,9.0,RO,STUR,GAS,0.368,1.0,1.0,0.02,0.02,25.0,2.9,0.25,0.4,0.38,0.166666667,0.531963913,Extraction,0.4666,0.23,,,,,2868.9812830404344,0.03,,
