,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
SK_STUR_GEO,SK_STUR_GEO,27.0,1.0,SK,STUR,GEO,0.1,2,2,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
SK_STUR_LIG,SK_STUR_LIG,9.0,1.0,SK,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65.0,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
SK_STUR_NUC,SK_STUR_NUC,872.0,1.0,SK,STUR,NUC,0.34,24,24,0.05,0.05,300.0,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
SK_COMC_GAS,SK_COMC_GAS,329.764192139738,3.0,SK,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
SK_COMC_CCS_GAS,SK_COMC_CCS_GAS,521.9050218340611,2.0,SK,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
SK_GTUR_GAS,SK_GTUR_GAS,63.24358624454148,16.0,SK,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25.0,2.9,0.25,0.2,0.33,0.166666667,0.6839,,,,,,,,,,,
SK_STUR_HRD,SK_STUR_HRD,440.0,1.0,SK,STUR,HRD,0.36619999999999997,3.5,3.5,0.025,0.025,292.4,7.8,1.8,0.1910596025,0.33,1.5,0.6718500000000001,,,,,,,,,,,
SK_HDAM_WAT,SK_HDAM_WAT,1242.0,1,SK,HDAM,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1735630.76,0.0,0.0,0.89
SK_HPHS_WAT,SK_HPHS_WAT,916.0,1,SK,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,5496.0,0.0,916.0,0.89
SK_HROR_WAT,SK_HROR_WAT,751.0,1,SK,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
SK_WTON_WIN,SK_WTON_WIN,29292.0,1,SK,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
SK_PHOT_SUN,SK_PHOT_SUN,26489.0,1,SK,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
SK_BATS_OTH,SK_BATS_OTH,240555.55555555556,1,SK,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,962222.2222222222,0.0,240555.55555555556,0.89
SK_BEVS_OTH,SK_BEVS_OTH,7795.0,1,SK,BEVS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,34976.165,0.0,7795.0,0.89
SK_P2HT_OTH,SK_P2HT_OTH,7019.000000000002,1,SK,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.176601533514717,5.0,0.07844016890253942,0.0,35095.00000000001,0.03,,
SK_P2GS_HYD,SK_P2GS_HYD,2375.0,1,SK,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,9890555.555555556,0.0,36469.0,0.72
SK_STUR_BIO_CHP,SK_STUR_BIO_CHP,146.4,5.0,SK,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,3904.0,0.03,,
SK_COMC_GAS_CHP,SK_COMC_GAS_CHP,370.5,2.0,SK,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,4680.0,0.03,,
