,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
0,98,TE Vlora,AL,COMC,OIL,0.6,2,2,0.06,0.06,5880,0,0.5,0.128571429,0.49,3,517,,,,,,,,
1,600,HE Koman,AL,HDAM,WAT,0.865632,0,0,1,1,0,0,0,0,0.5,1,0,,,,49180.8,,,,
2,500,HE Fierza,AL,HDAM,WAT,0.925909,0,0,1,1,0,0,0,0,0.5,1,0,,,,739565,,,,
3,250,HE Vau Dejes,AL,HDAM,WAT,0.8674,0,0,1,1,0,0,0,0,0.5,1,0,,,,37267.1,,,,
4,76.7,HE Ulza,AL,HDAM,WAT,0.737382,0,0,1,1,0,0,0,0,0.5,1,0,,,,18246.6,,,,
5,50,HE Ashta,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
6,30.7,HE Bele,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
7,27.9,HE Pashqesh,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
8,18.5,HE BGE,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
9,16.12,HE Lura,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
10,14.2,HE Vlushe,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
11,13.8,HE Slabinje,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
12,13.6,HE Llapaj,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
13,12.6,HE Shkalle,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
14,12,HE Tervol,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
15,11.6,HE Lublalesh,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
16,9.2,HE Smokthina,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
17,8.6,HE Sasaj,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
18,7.75,HE Hidroinvest,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
19,6.73,HE Cernaleve,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
20,6.72,HE Faqekuq,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
21,6.24,HE Shales Strelce,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
22,6.16,HE Dardhe,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
23,6,HE Martanesh,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
24,5.1,HE Verba,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
25,5,HE Lanabregas,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
26,4.5,HE Kacini,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
27,4.32,HE Murdhar,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
28,4.32,HE Treska,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
29,4,HE Rapuni,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
30,64.83,HE Small,AL,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
