PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
1272,KW Simmering,AT,COMC,GAS,0.525,5,1,0.0087814465,0.0087814465,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
838,GDK-Mellach,AT,COMC,GAS,0.525,5,1,0.0133293556,0.0133293556,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
765,Kraftwerk Thei??,AT,COMC,GAS,0.525,5,1,0.0146013072,0.0146013072,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
730,Malta-Hauptstufe,AT,HPHS,WAT,0.86,0,0,0.4109589041,0.4109589041,0,0,0,0,0.86,0.3,0,,,35040,0,613.4453781513,0.86
400,Kraftwerk Timelkam GUD,AT,COMC,GAS,0.525,5,1,0.027925,0.027925,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
395,KW Donaustadt,AT,COMC,GAS,0.525,5,1,0.028278481,0.028278481,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
392,Kraftwerk D??rnrohr,AT,STUR,HRD,0.395,8,6,0.012755102,0.012755102,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
360,H??usling,AT,HPHS,WAT,0.86,0,0,0.8333333333,0.8333333333,0,0,0,0,0.86,0.3,0,,,17280,0,302.5210084034,0.86
345,Mayrhofen,AT,HDAM,WAT,0.85,0,0,0.2608695652,0.2608695652,0,0,0,0,0.85,0.3,0,,,169395,0,0,0
328,Altenwarth,AT,HROR,WAT,1,0,0,0.6707317073,0.6707317073,0,0,0,0,1,0.3,0,,,,,,
293,Greifenstein,AT,HROR,WAT,1,0,0,0.7508532423,0.7508532423,0,0,0,0,1,0.3,0,,,,,,
287,Aschach,AT,HROR,WAT,1,0,0,0.7665505226,0.7665505226,0,0,0,0,1,0.3,0,,,,,,
240,Kaprun-Hauptstufe,AT,HDAM,WAT,0.85,0,0,0.375,0.375,0,0,0,0,0.85,0.3,0,,,117840,0,0,0
237,Ybbs-Persenbeug,AT,HROR,WAT,1,0,0,0.9282700422,0.9282700422,0,0,0,0,1,0.3,0,,,,,,
231,Ro??hag,AT,HPHS,WAT,0.86,0,0,1.2987012987,1.2987012987,0,0,0,0,0.86,0.3,0,,,11088,0,194.1176470588,0.86
220,FHKW Mellach,AT,STUR,HRD,0.395,8,6,0.0227272727,0.0227272727,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
217,Fernheizkraftwerk Linz Mitte,AT,COMC,GAS,0.525,5,1,0.0514746544,0.0514746544,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
210,Wallsee-Mitterkirchen,AT,HROR,WAT,1,0,0,1.0476190476,1.0476190476,0,0,0,0,1,0.3,0,,,,,,
200,Gerlos,AT,HDAM,WAT,0.85,0,0,0.45,0.45,0,0,0,0,0.85,0.3,0,,,98200,0,0,0
187,Melk,AT,HROR,WAT,1,0,0,1.1764705882,1.1764705882,0,0,0,0,1,0.3,0,,,,,,
179,Ottensheim-Wilhering,AT,HROR,WAT,1,0,0,1.2290502793,1.2290502793,0,0,0,0,1,0.3,0,,,,,,
172,Freudenau,AT,HROR,WAT,1,0,0,1.2790697674,1.2790697674,0,0,0,0,1,0.3,0,,,,,,
168,Abwinden-Asten,AT,HROR,WAT,1,0,0,1.3095238095,1.3095238095,0,0,0,0,1,0.3,0,,,,,,
158,FHKW Linz S??d,AT,COMC,GAS,0.525,5,1,0.0706962025,0.0706962025,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
153,voestalpine KW Linz,AT,COMC,GAS,0.525,5,1,0.0730065359,0.0730065359,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
150,Kraftwerk Riedersbach 2,AT,STUR,HRD,0.395,8,6,0.0333333333,0.0333333333,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
150,Kraftwerk Korneuburg,AT,COMC,GAS,0.525,5,1,0.0744666667,0.0744666667,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
140,Kraftwerk Feldsee,AT,HPHS,WAT,0.86,0,0,2.1428571429,2.1428571429,0,0,0,0,0.86,0.3,0,,,6720,0,117.6470588235,0.86
140,KW Leopoldau,AT,COMC,GAS,0.525,5,1,0.0797857143,0.0797857143,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
120,Kaprun-Schwarzach,AT,HDAM,WAT,0.85,0,0,0.75,0.75,0,0,0,0,0.85,0.3,0,,,58920,0,0,0
120,Malta-Oberstufe,AT,HPHS,WAT,0.86,0,0,2.5,2.5,0,0,0,0,0.86,0.3,0,,,5760,0,100.8403361345,0.86
114,Kraftwerk Oschenik,AT,HPHS,WAT,0.86,0,0,2.6315789474,2.6315789474,0,0,0,0,0.86,0.3,0,,,5472,0,95.7983193277,0.86
113,Kaprun-Oberstufe,AT,HPHS,WAT,0.86,0,0,2.6548672566,2.6548672566,0,0,0,0,0.86,0.3,0,,,5424,0,94.9579831933,0.86
100,Kraftwerk Au??erfragant,AT,HDAM,WAT,0.85,0,0,0.9,0.9,0,0,0,0,0.85,0.3,0,,,49100,0,0,0
814,DispaSET PHOT_AT,AT,PHOT,SUN,1,0,0,1.1056511057,1.1056511057,0,0,0,0,1,0,0,,,,,,
2306,DispaSET WindOn_AT,AT,WTON,WIN,1,0,0,0.0585429315,0.0585429315,0,0,0,0,1,0,0,,,,,,
393,DispaSET Biomass_AT,AT,STUR,BIO,0.45,8,6,0.0127226463,0.0127226463,2000,0,0,0.2,0.45,7,0,,,,,,
301,DispaSET FossilGas_AT0,AT,COMC,GAS,0.525,5,1,0.0371096346,0.0371096346,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
57,DispaSET FossilHardCoal_AT,AT,STUR,HRD,0.395,8,6,0.0877192982,0.0877192982,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
288,DispaSET FossilOil_AT,AT,STUR,OIL,0.41,8,6,0.0173611111,0.0173611111,35280.965,0,0,0.3,0.41,7,0.79,,,,,,
1250,DispaSET HydroPumpedSt_AT,AT,HPHS,WAT,0.86,0,0,0.1653803749,0.1653803749,0,0,0,0,0.86,0.3,0,,,60000,0,1050.4201680672,0.86
3500,DispaSET HydroRiver_AT,AT,HROR,WAT,1,0,0,0.0709677419,0.0709677419,0,0,0,0,1,0.3,0,,,,,,
2544,DispaSET HydroRes_AT,AT,HDAM,WAT,0.85,0,0,0.0710900474,0.0710900474,0,0,0,0,0.85,0.3,0,,,1249104,0,0,0
600,DispaSET FossilGas_AT1,AT,COMC,GAS,0.525,5,1,0.0186166667,0.0186166667,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
600,DispaSET FossilGas_AT2,AT,COMC,GAS,0.525,5,1,0.0186166667,0.0186166667,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
600,DispaSET FossilGas_AT3,AT,COMC,GAS,0.525,5,1,0.0186166667,0.0186166667,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
