PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
1046,TIHANGE 3,BE,STUR,NUC,0.405,24,24,0.0032791587,0.0032791587,200000.0,0,0,0.9,0.405,0,0.0,,,,,,,,,,
1038,DOEL 4,BE,STUR,NUC,0.405,24,24,0.0033044316,0.0033044316,200000.0,0,0,0.9,0.405,0,0.0,,,,,,,,,,
1008,TIHANGE 2,BE,STUR,NUC,0.405,24,24,0.0034027778000000003,0.0034027778000000003,200000.0,0,0,0.9,0.405,0,0.0,,,,,,,,,,
1006,DOEL 3,BE,STUR,NUC,0.405,24,24,0.0034095427,0.0034095427,200000.0,0,0,0.9,0.405,0,0.0,,,,,,,,,,
690,COO II T,BE,HPHS,WAT,0.86,0,0,0.43478260869999996,0.43478260869999996,0.0,0,0,0.0,0.86,0,0.0,,,3105.0,0.0,690.0,0.86,,,,
481,TIHANGE 1N,BE,STUR,NUC,0.405,24,24,0.0071309771,0.0071309771,200000.0,0,0,0.9,0.405,0,0.0,,,,,,,,,,
481,TIHANGE 1S,BE,STUR,NUC,0.405,24,24,0.0071309771,0.0071309771,200000.0,0,0,0.9,0.405,0,0.0,,,,,,,,,,
474,COO I T,BE,HPHS,WAT,0.86,0,0,0.6329113924,0.6329113924,0.0,0,0,0.0,0.86,0,0.0,,,2133.0,0.0,474.0,0.86,,,,
465,DROGENBOS TGV,BE,COMC,GAS,0.525,5,1,0.0240215054,0.0240215054,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
465,HERDERSBRUG STEG,BE,COMC,GAS,0.525,5,1,0.0240215054,0.0240215054,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
451,Amercoeur 1 R TGV,BE,COMC,GAS,0.525,5,1,0.024767183999999998,0.024767183999999998,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
433,DOEL 1,BE,STUR,NUC,0.405,24,24,0.0079214781,0.0079214781,200000.0,0,0,0.9,0.405,0,0.0,,,,,,,,,,
433,DOEL 2,BE,STUR,NUC,0.405,24,24,0.0079214781,0.0079214781,200000.0,0,0,0.9,0.405,0,0.0,,,,,,,,,,
422,T-power Beringen,BE,COMC,GAS,0.525,5,1,0.026469194300000002,0.026469194300000002,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
405,Marcinelle Energie (Carsid),BE,COMC,GAS,0.525,5,1,0.0275802469,0.0275802469,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
384,Zandvliet Power,BE,COMC,GAS,0.525,5,1,0.029088541699999998,0.029088541699999998,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
376,ESCH-SUR-ALZETTE STEG,BE,COMC,GAS,0.525,5,1,0.029707446800000002,0.029707446800000002,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
357,RINGVAART STEG,BE,COMC,GAS,0.525,5,1,0.0312885154,0.0312885154,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
350,SAINT-GHISLAIN STEG,BE,COMC,GAS,0.525,5,1,0.031914285699999996,0.031914285699999996,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
315,Zelzate 2 Knippegroen,BE,COMC,GAS,0.525,5,1,0.0354603175,0.0354603175,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
144,PLATE TAILLE T,BE,HPHS,WAT,0.86,0,0,2.0833333333,2.0833333333,0.0,0,0,0.0,0.86,0,0.0,,,648.0,0.0,144.0,0.86,,,,
140,Scheldelaan Exxonmobil,BE,COMC,GAS,0.525,5,1,0.07978571429999999,0.07978571429999999,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
138,INESCO WKK,BE,COMC,GAS,0.525,5,1,0.080942029,0.080942029,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
2953,DispaSET PHOT_BE,BE,PHOT,SUN,1.0,0,0,0.3047748053,0.3047748053,0.0,0,0,0.0,1.0,0,0.0,,,,,,,,,,
1249,DispaSET WindOn_BE,BE,WTON,WIN,1.0,0,0,0.1080864692,0.1080864692,0.0,0,0,0.0,1.0,0,0.0,,,,,,,,,,
1412,DispaSET FossilGas_BE1,BE,COMC,GAS,0.525,5,1,0.0079107649,0.0079107649,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
500,DispaSET FossilGas_BE2,BE,COMC,GAS,0.525,5,1,0.022340000000000002,0.022340000000000002,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
500,DispaSET FossilGas_BE3,BE,COMC,GAS,0.525,5,1,0.022340000000000002,0.022340000000000002,112542.12,0,0,0.4,0.525,0,0.45,,,,,,,,,,
