,PowerCapacity,Type,Unit,Zone,Technology,Fuel,JRC_id,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,RampUpMax,RampDownMax,RampStartUpMaximum,RampShutDownMaximum,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,1926,Hydro Water Reservoir,Gde-Dixence (GD),CH,HDAM,WAT,0.0,0.85,0.0,0.0,0.0467289719626,0.0467289719626,0.0,0.0,0.0,0.0,0.85,0.3,5400.0,5400.0,6420.0,6420.0,0.0,,,0.0,0.0,0.0,0.86
1,1245,Nuclear,KKL - KernKW Leibstadt AG,CH,STUR,NUC,0.0,0.405,24.0,24.0,0.00275502008032,0.00275502008032,200000.0,0.0,0.0,0.9,0.405,72.0,205.8,205.8,17.2916666667,17.2916666667,0.0,,,,,,
2,1020,Nuclear,Kernkraftwerk Gasgen,CH,STUR,NUC,0.0,0.405,24.0,24.0,0.00336274509804,0.00336274509804,200000.0,0.0,0.0,0.9,0.405,72.0,205.8,205.8,14.1666666667,14.1666666667,0.0,,,,,,
3,986,Hydro Pumped Storage,KW Oberhasli AG (KWO),CH,HPHS,WAT,0.0,0.86,0.0,0.0,0.304259634888,0.304259634888,0.0,0.0,0.0,0.0,0.86,0.3,18000.0,18000.0,3286.66666667,3286.66666667,0.0,,,0.0,0.0,0.0,0.86
4,732,Hydro Pumped Storage,KLL - KW Linth-Limmern AG,CH,HPHS,WAT,0.0,0.86,0.0,0.0,0.409836065574,0.409836065574,0.0,0.0,0.0,0.0,0.86,0.3,18000.0,18000.0,2440.0,2440.0,0.0,,,0.0,0.0,0.0,0.86
5,730,Nuclear,KKB - KernKW Beznau,CH,STUR,NUC,0.0,0.405,24.0,24.0,0.00469863013699,0.00469863013699,200000.0,0.0,0.0,0.9,0.405,72.0,205.8,205.8,10.1388888889,10.1388888889,0.0,,,,,,
6,640,Hydro Pumped Storage,KHR - KW Hinterrhein AG,CH,HPHS,WAT,0.0,0.86,0.0,0.0,0.46875,0.46875,0.0,0.0,0.0,0.0,0.86,0.3,18000.0,18000.0,2133.33333333,2133.33333333,0.0,,,0.0,0.0,0.0,0.86
7,547,Hydro Water Reservoir,Maggia (OFIMA),CH,HDAM,WAT,0.0,0.85,0.0,0.0,0.164533820841,0.164533820841,0.0,0.0,0.0,0.0,0.85,0.3,5400.0,5400.0,1823.33333333,1823.33333333,0.0,,,0.0,0.0,0.0,0.86
8,421,Hydro Water Reservoir,Kraftwerke Mauvoisin AG,CH,HDAM,WAT,0.0,0.85,0.0,0.0,0.21377672209,0.21377672209,0.0,0.0,0.0,0.0,0.85,0.3,5400.0,5400.0,1403.33333333,1403.33333333,0.0,,,0.0,0.0,0.0,0.86
9,420,Hydro Water Reservoir,Emosson (ESA),CH,HDAM,WAT,0.0,0.85,0.0,0.0,0.214285714286,0.214285714286,0.0,0.0,0.0,0.0,0.85,0.3,5400.0,5400.0,1400.0,1400.0,0.0,,,0.0,0.0,0.0,0.86
10,416,Hydro Pumped Storage,EKW - Engadiner KW AG,CH,HPHS,WAT,0.0,0.86,0.0,0.0,0.721153846154,0.721153846154,0.0,0.0,0.0,0.0,0.86,0.3,18000.0,18000.0,1386.66666667,1386.66666667,0.0,,,0.0,0.0,0.0,0.86
11,383,Hydro Pumped Storage,KSL - KW Sarganserland AG,CH,HPHS,WAT,0.0,0.86,0.0,0.0,0.783289817232,0.783289817232,0.0,0.0,0.0,0.0,0.86,0.3,18000.0,18000.0,1276.66666667,1276.66666667,0.0,,,0.0,0.0,0.0,0.86
12,380,Nuclear,KKW Mahleberg (KKM),CH,STUR,NUC,0.0,0.405,24.0,24.0,0.00902631578947,0.00902631578947,200000.0,0.0,0.0,0.9,0.405,72.0,205.8,205.8,5.27777777778,5.27777777778,0.0,,,,,,
13,340,Hydro Water Reservoir,Electra-Massa (EM),CH,HDAM,WAT,0.0,0.85,0.0,0.0,0.264705882353,0.264705882353,0.0,0.0,0.0,0.0,0.85,0.3,5400.0,5400.0,1133.33333333,1133.33333333,0.0,,,0.0,0.0,0.0,0.86
14,335,Hydro Water Reservoir,KVR - KW Vorderrhein AG,CH,HDAM,WAT,0.0,0.85,0.0,0.0,0.268656716418,0.268656716418,0.0,0.0,0.0,0.0,0.85,0.3,5400.0,5400.0,1116.66666667,1116.66666667,0.0,,,0.0,0.0,0.0,0.86
15,306,Hydro Water Reservoir,Blenio (OFIBLE),CH,HDAM,WAT,0.0,0.85,0.0,0.0,0.294117647059,0.294117647059,0.0,0.0,0.0,0.0,0.85,0.3,5400.0,5400.0,1020.0,1020.0,0.0,,,0.0,0.0,0.0,0.86
16,259,Hydro Pumped Storage,KWM - KW Mattmark AG,CH,HPHS,WAT,0.0,0.86,0.0,0.0,1.1583011583,1.1583011583,0.0,0.0,0.0,0.0,0.86,0.3,18000.0,18000.0,863.333333333,863.333333333,0.0,,,0.0,0.0,0.0,0.86
17,258,Hydro Water Reservoir,KWZ - KW Zervreila AG,CH,HDAM,WAT,0.0,0.85,0.0,0.0,0.348837209302,0.348837209302,0.0,0.0,0.0,0.0,0.85,0.3,5400.0,5400.0,860.0,860.0,0.0,,,0.0,0.0,0.0,0.86
18,240,Hydro Pumped Storage,Hongrin-Laman (FMHL),CH,HPHS,WAT,0.0,0.86,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.86,0.3,18000.0,18000.0,800.0,800.0,0.0,,,0.0,0.0,0.0,0.86
19,226,Hydro Water Reservoir,AET Leventina,CH,HDAM,WAT,0.0,0.85,0.0,0.0,0.398230088496,0.398230088496,0.0,0.0,0.0,0.0,0.85,0.3,5400.0,5400.0,753.333333333,753.333333333,0.0,,,0.0,0.0,0.0,0.86
20,108,Hydro Pumped Storage,AKW - AG KW Wägital,CH,HPHS,WAT,0.0,0.86,0.0,0.0,2.77777777778,2.77777777778,0.0,0.0,0.0,0.0,0.86,0.3,18000.0,18000.0,360.0,360.0,0.0,,,0.0,0.0,0.0,0.86
21,100,Hydro Run-of-river and poundage,KW Rheinfelden CH,CH,HROR,WAT,0.0,1.0,0.0,0.0,2.2,2.2,0.0,0.0,0.0,0.0,1.0,0.3,13200.0,13200.0,333.333333333,333.333333333,0.0,,,,,,
22,1057,Photovoltaic,DispaSET PHOT_CH,CH,PHOT,SUN,0.0,1.0,0.0,0.0,0.85146641438,0.85146641438,0.0,0.0,0.0,0.0,1.0,0.0,54000.0,54000.0,4228.0,4228.0,0.0,,,,,,
23,75,Wind Onshore,DispaSET WindOn_CH,CH,WTON,WIN,0.0,1.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,1.0,0.0,8100.0,8100.0,300.0,300.0,0.0,,,,,,
24,414,Hydro Pumped Storage,DispaSET HydroPumpedSt_CH,CH,HPHS,WAT,0.0,0.86,0.0,0.0,0.724637681159,0.724637681159,0.0,0.0,0.0,0.0,0.86,0.3,18000.0,18000.0,1380.0,1380.0,0.0,,,0.0,0.0,0.0,0.86
25,90,Hydro Run-of-river and poundage,DispaSET HydroRiver_CH,CH,HROR,WAT,0.0,1.0,0.0,0.0,2.44444444444,2.44444444444,0.0,0.0,0.0,0.0,1.0,0.3,13200.0,13200.0,300.0,300.0,0.0,,,,,,
26,23,Hydro Water Reservoir,DispaSET HydroRes_CH,CH,HDAM,WAT,0.0,0.85,0.0,0.0,3.91304347826,3.91304347826,0.0,0.0,0.0,0.0,0.85,0.3,5400.0,5400.0,76.6666666667,76.6666666667,0.0,,,0.0,0.0,0.0,0.86
27,1000,Fossil Gas,DispaSET FossilGas_CH,CH,COMC,GAS,0.0,0.525,5.0,1.0,0.01117,0.01117,112542.12,0.0,0.0,0.4,0.525,1.0,670.2,670.2,1000.0,1000.0,0.45,,,,,,
28,1000,Fossil Gas,DispaSET FossilGas_CH,CH,COMC,GAS,0.0,0.525,5.0,1.0,0.01117,0.01117,112542.12,0.0,0.0,0.4,0.525,1.0,670.2,670.2,1000.0,1000.0,0.45,,,,,,
29,500,Fossil Gas,DispaSET FossilGas_CH,CH,COMC,GAS,0.0,0.525,5.0,1.0,0.02234,0.02234,112542.12,0.0,0.0,0.4,0.525,1.0,670.2,670.2,500.0,500.0,0.45,,,,,,
30,500,Fossil Gas,DispaSET FossilGas_CH,CH,COMC,GAS,0.0,0.525,5.0,1.0,0.02234,0.02234,112542.12,0.0,0.0,0.4,0.525,1.0,670.2,670.2,500.0,500.0,0.45,,,,,,
31,500,Fossil Gas,DispaSET FossilGas_CH,CH,COMC,GAS,0.0,0.525,5.0,1.0,0.02234,0.02234,112542.12,0.0,0.0,0.4,0.525,1.0,670.2,670.2,500.0,500.0,0.45,,,,,,
32,500,Fossil Gas,DispaSET FossilGas_CH,CH,COMC,GAS,0.0,0.525,5.0,1.0,0.02234,0.02234,112542.12,0.0,0.0,0.4,0.525,1.0,670.2,670.2,500.0,500.0,0.45,,,,,,
33,500,Fossil Gas,DispaSET FossilGas_CH,CH,COMC,GAS,0.0,0.525,5.0,1.0,0.02234,0.02234,112542.12,0.0,0.0,0.4,0.525,1.0,670.2,670.2,500.0,500.0,0.45,,,,,,
