PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
1926,Gde-Dixence (GD),CH,HDAM,WAT,0.85,0,0,0.046728972,0.046728972,0,0,0,0,0.85,0.3,0,,,2008818,0,0,0.86
1245,KKL - KernKW Leibstadt AG,CH,STUR,NUC,0.405,24,24,0.0027550201,0.0027550201,200000,0,0,0.9,0.405,72,0,,,,,,
1020,Kernkraftwerk Gasgen,CH,STUR,NUC,0.405,24,24,0.0033627451,0.0033627451,200000,0,0,0.9,0.405,72,0,,,,,,
986,KW Oberhasli AG (KWO),CH,HPHS,WAT,0.86,0,0,0.3042596349,0.3042596349,0,0,0,0,0.86,0.3,0,,,259318,0,986,0.86
732,KLL - KW Linth-Limmern AG,CH,HPHS,WAT,0.86,0,0,0.4098360656,0.4098360656,0,0,0,0,0.86,0.3,0,,,192516,0,732,0.86
730,KKB - KernKW Beznau,CH,STUR,NUC,0.405,24,24,0.0046986301,0.0046986301,200000,0,0,0.9,0.405,72,0,,,,,,
640,KHR - KW Hinterrhein AG,CH,HPHS,WAT,0.86,0,0,0.46875,0.46875,0,0,0,0,0.86,0.3,0,,,168320,0,640,0.86
547,Maggia (OFIMA),CH,HDAM,WAT,0.85,0,0,0.1645338208,0.1645338208,0,0,0,0,0.85,0.3,0,,,570521,0,0,0.86
421,Kraftwerke Mauvoisin AG,CH,HDAM,WAT,0.85,0,0,0.2137767221,0.2137767221,0,0,0,0,0.85,0.3,0,,,439103,0,0,0.86
420,Emosson (ESA),CH,HDAM,WAT,0.85,0,0,0.2142857143,0.2142857143,0,0,0,0,0.85,0.3,0,,,438060,0,0,0.86
416,EKW - Engadiner KW AG,CH,HPHS,WAT,0.86,0,0,0.7211538462,0.7211538462,0,0,0,0,0.86,0.3,0,,,109408,0,416,0.86
383,KSL - KW Sarganserland AG,CH,HPHS,WAT,0.86,0,0,0.7832898172,0.7832898172,0,0,0,0,0.86,0.3,0,,,100729,0,383,0.86
380,KKW Mahleberg (KKM),CH,STUR,NUC,0.405,24,24,0.0090263158,0.0090263158,200000,0,0,0.9,0.405,72,0,,,,,,
340,Electra-Massa (EM),CH,HDAM,WAT,0.85,0,0,0.2647058824,0.2647058824,0,0,0,0,0.85,0.3,0,,,354620,0,0,0.86
335,KVR - KW Vorderrhein AG,CH,HDAM,WAT,0.85,0,0,0.2686567164,0.2686567164,0,0,0,0,0.85,0.3,0,,,349405,0,0,0.86
306,Blenio (OFIBLE),CH,HDAM,WAT,0.85,0,0,0.2941176471,0.2941176471,0,0,0,0,0.85,0.3,0,,,319158,0,0,0.86
259,KWM - KW Mattmark AG,CH,HPHS,WAT,0.86,0,0,1.1583011583,1.1583011583,0,0,0,0,0.86,0.3,0,,,68117,0,259,0.86
258,KWZ - KW Zervreila AG,CH,HDAM,WAT,0.85,0,0,0.3488372093,0.3488372093,0,0,0,0,0.85,0.3,0,,,269094,0,0,0.86
240,Hongrin-Laman (FMHL),CH,HPHS,WAT,0.86,0,0,1.25,1.25,0,0,0,0,0.86,0.3,0,,,63120,0,240,0.86
226,AET Leventina,CH,HDAM,WAT,0.85,0,0,0.3982300885,0.3982300885,0,0,0,0,0.85,0.3,0,,,235718,0,0,0.86
108,AKW - AG KW W??gital,CH,HPHS,WAT,0.86,0,0,2.7777777778,2.7777777778,0,0,0,0,0.86,0.3,0,,,28404,0,108,0.86
100,KW Rheinfelden CH,CH,HROR,WAT,1,0,0,2.2,2.2,0,0,0,0,1,0.3,0,,,,,,
1057,DispaSET PHOT_CH,CH,PHOT,SUN,1,0,0,0.8514664144,0.8514664144,0,0,0,0,1,0,0,,,,,,
75,DispaSET WindOn_CH,CH,WTON,WIN,1,0,0,1.8,1.8,0,0,0,0,1,0,0,,,,,,
3000,DispaSET HydroRiver_CH,CH,HROR,WAT,1,0,0,2.4444444444,2.4444444444,0,0,0,0,1,0.3,0,,,,,,
1600,DispaSET HydroRes_CH,CH,HDAM,WAT,0.85,0,0,3.9130434783,3.9130434783,0,0,0,0,0.85,0.3,0,,,1668800,0,0,0.86
1000,DispaSET FossilGas_CH,CH,COMC,GAS,0.525,5,1,0.01117,0.01117,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
1000,DispaSET FossilGas_CH,CH,COMC,GAS,0.525,5,1,0.01117,0.01117,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
500,DispaSET FossilGas_CH,CH,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
500,DispaSET FossilGas_CH,CH,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
500,DispaSET FossilGas_CH,CH,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
500,DispaSET FossilGas_CH,CH,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
500,DispaSET FossilGas_CH,CH,COMC,GAS,0.525,5,1,0.02234,0.02234,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
