,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,Nunits
DE_STUR_BIO,179.6842299,DE_STUR_BIO,DE,STUR,BIO,0.46,4,6,0.02,0.02,120,12.5,1.3,0.35,0.35,1,0,back-pressure,1,0,,,,,179.6842299,33
DE_COMC_GAS,413.3209324,DE_COMC_GAS,DE,COMC,GAS,0.57,2,4,0.03,0.03,55,0,0,0.36,0.57,1,0.42,,,,,,,,,40
DE_GTUR_GAS,63.89669551,DE_GTUR_GAS,DE,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,56
DE_STUR_GAS,112.9776875,DE_STUR_GAS,DE,STUR,GAS,0.38,0,0,0.02,0.02,0,0,0,0.4,0.38,0,0,,,,,,,,,13
DE_STUR_HRD,754.4736842,DE_STUR_HRD,DE,STUR,HRD,0.46,8,8,0.017777778,0.017777778,65,0,0,0.3,0.46,2,0.81,,,,,,,,,38
DE_STUR_LIG,759.137931,DE_STUR_LIG,DE,STUR,LIG,0.393,8,8,0.01520979,0.017482517,65,12.56164384,0,0.389,0.4075,5,1.05,,,,,,,,,29
DE_STUR_NUC,995.6363636,DE_STUR_NUC,DE,STUR,NUC,1,24,24,0.003333333,0.003333333,300,0,0,0.5,1,12,0,,,,,,,,,11
DE_PHOT_SUN,40020,DE_PHOT_SUN,DE,PHOT,SUN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
DE_HROR_WAT,3904,DE_HROR_WAT,DE,HROR,WAT,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
DE_HPHS_WAT,8567,DE_HPHS_WAT,DE,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,0,0,0,0,1,0,0,,,,718728,0,8567,0.8,,1
DE_WTOF_WIN,4125,DE_WTOF_WIN,DE,WTOF,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
DE_WTON_WIN,45403,DE_WTON_WIN,DE,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
DE_STUR_WST,47.26265685,DE_STUR_WST,DE,STUR,WST,0.2,0,0,0.02,0.02,0,0,0,0,0.2,0,0,,,,,,,,,29
