,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,Nunits
FI_STUR_BIO,170.4444444,FI_STUR_BIO,FI,STUR,BIO,0.46,4,6,0.02,0.02,120,12.5,1.3,0.35,0.35,1,0,back-pressure,1,0,,,,,170.4444444,9
FI_COMC_GAS,391,FI_COMC_GAS,FI,COMC,GAS,0.57,2,4,0.03,0.03,55,0,0,0.36,0.57,1,0.42,,,,,,,,,2
FI_GTUR_GAS,63.30563846,FI_GTUR_GAS,FI,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,16
FI_STUR_HRD,683.2,FI_STUR_HRD,FI,STUR,HRD,0.46,8,8,0.017777778,0.017777778,65,0,0,0.3,0.46,2,0.81,,,,,,,,,5
FI_STUR_NUC,927.3333333,FI_STUR_NUC,FI,STUR,NUC,1,24,24,0.003333333,0.003333333,300,0,0,0.5,1,12,0,,,,,,,,,3
FI_STUR_OIL,297.6666667,FI_STUR_OIL,FI,STUR,OIL,0.33,4,4,0.02,0.02,65,0,0,0.4,0.33,0,0.799636364,,,,,,,,,3
FI_STUR_PEA,141.0469661,FI_STUR_PEA,FI,STUR,PEA,0.3,4,4,0.02,0.02,65,0,0,0.5,0.3,0,0,,,,,,,,,6
FI_HROR_WAT,3112,FI_HROR_WAT,FI,HROR,WAT,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
FI_WTON_WIN,1432,FI_WTON_WIN,FI,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
FI_STUR_OTH,136.4705882,FI_STUR_OTH,FI,STUR,OTH,0.3,4,4,0.02,0.02,65,0,0,0.5,0.3,0,0,,,,,,,,,9
