PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,RampUpMax,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
1690.0,GRAND MAISON,FR,HPHS,WAT,0.86,0,0,0.1775147929,0.1775147929,0.0,0,0,0.0,0.86,0.3,18000.0,0.0,,,62530.0,0.0,1690.0,0.86,,,,
1500.0,CHOOZ 1,FR,STUR,NUC,0.405,24,24,0.0022866667,0.0022866667,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1500.0,CHOOZ 2,FR,STUR,NUC,0.405,24,24,0.0022866667,0.0022866667,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1495.0,CIVAUX 2,FR,STUR,NUC,0.405,24,24,0.0022943144,0.0022943144,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1495.0,CIVAUX 1,FR,STUR,NUC,0.405,24,24,0.0022943144,0.0022943144,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1335.0,ST ALBAN 2,FR,STUR,NUC,0.405,24,24,0.0025692884,0.0025692884,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1335.0,ST ALBAN 1,FR,STUR,NUC,0.405,24,24,0.0025692884,0.0025692884,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1330.0,PENLY 2,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1330.0,PENLY 1,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1330.0,FLAMANVILLE 2,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1330.0,PALUEL 1,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1330.0,FLAMANVILLE 1,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1330.0,PALUEL 4,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1330.0,PALUEL 2,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1330.0,PALUEL 3,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1310.0,GOLFECH 1,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1310.0,BELLEVILLE 1,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1310.0,NOGENT 1,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1310.0,BELLEVILLE 2,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1310.0,NOGENT 2,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1310.0,GOLFECH 2,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1300.0,CATTENOM 1,FR,STUR,NUC,0.405,24,24,0.0026384615,0.0026384615,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1300.0,CATTENOM 2,FR,STUR,NUC,0.405,24,24,0.0026384615,0.0026384615,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1300.0,CATTENOM 4,FR,STUR,NUC,0.405,24,24,0.0026384615,0.0026384615,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
1300.0,CATTENOM 3,FR,STUR,NUC,0.405,24,24,0.0026384615,0.0026384615,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
