PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,RampUpMax,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
1690,GRAND MAISON,FR,HPHS,WAT,0.86,0,0,0.1775147929,0.1775147929,0,0,0,0,0.86,0.3,18000,0,,,62530,0,1690,0.86
1500,CHOOZ 1,FR,STUR,NUC,0.405,24,24,0.0022866667,0.0022866667,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1500,CHOOZ 2,FR,STUR,NUC,0.405,24,24,0.0022866667,0.0022866667,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1495,CIVAUX 2,FR,STUR,NUC,0.405,24,24,0.0022943144,0.0022943144,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1495,CIVAUX 1,FR,STUR,NUC,0.405,24,24,0.0022943144,0.0022943144,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1335,ST ALBAN 2,FR,STUR,NUC,0.405,24,24,0.0025692884,0.0025692884,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1335,ST ALBAN 1,FR,STUR,NUC,0.405,24,24,0.0025692884,0.0025692884,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1330,PENLY 2,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1330,PENLY 1,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1330,FLAMANVILLE 2,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1330,PALUEL 1,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1330,FLAMANVILLE 1,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1330,PALUEL 4,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1330,PALUEL 2,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1330,PALUEL 3,FR,STUR,NUC,0.405,24,24,0.0025789474,0.0025789474,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1310,GOLFECH 1,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1310,BELLEVILLE 1,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1310,NOGENT 1,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1310,BELLEVILLE 2,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1310,NOGENT 2,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1310,GOLFECH 2,FR,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1300,CATTENOM 1,FR,STUR,NUC,0.405,24,24,0.0026384615,0.0026384615,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1300,CATTENOM 2,FR,STUR,NUC,0.405,24,24,0.0026384615,0.0026384615,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1300,CATTENOM 4,FR,STUR,NUC,0.405,24,24,0.0026384615,0.0026384615,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
1300,CATTENOM 3,FR,STUR,NUC,0.405,24,24,0.0026384615,0.0026384615,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
915,TRICASTIN 1,FR,STUR,NUC,0.405,24,24,0.0037486339,0.0037486339,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
915,TRICASTIN 2,FR,STUR,NUC,0.405,24,24,0.0037486339,0.0037486339,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
915,ST LAURENT 2,FR,STUR,NUC,0.405,24,24,0.0037486339,0.0037486339,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
915,CRUAS 2,FR,STUR,NUC,0.405,24,24,0.0037486339,0.0037486339,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
915,CRUAS 1,FR,STUR,NUC,0.405,24,24,0.0037486339,0.0037486339,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
915,CRUAS 3,FR,STUR,NUC,0.405,24,24,0.0037486339,0.0037486339,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
915,ST LAURENT 1,FR,STUR,NUC,0.405,24,24,0.0037486339,0.0037486339,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
915,TRICASTIN 4,FR,STUR,NUC,0.405,24,24,0.0037486339,0.0037486339,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
915,CRUAS 4,FR,STUR,NUC,0.405,24,24,0.0037486339,0.0037486339,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
915,TRICASTIN 3,FR,STUR,NUC,0.405,24,24,0.0037486339,0.0037486339,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,MONTEZIC,FR,HPHS,WAT,0.86,0,0,0.3296703297,0.3296703297,0,0,0,0,0.86,0.3,18000,0,,,33670,0,910,0.86
910,GRAVELINES 6,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,GRAVELINES 5,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,BLAYAIS 2,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,GRAVELINES 4,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,BUGEY 2,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,BLAYAIS 3,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,BLAYAIS 4,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,GRAVELINES 3,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,GRAVELINES 1,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,BUGEY 3,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,GRAVELINES 2,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
910,BLAYAIS 1,FR,STUR,NUC,0.405,24,24,0.0037692308,0.0037692308,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
905,CHINON 4,FR,STUR,NUC,0.405,24,24,0.0037900552,0.0037900552,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
905,CHINON 3,FR,STUR,NUC,0.405,24,24,0.0037900552,0.0037900552,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
905,CHINON 2,FR,STUR,NUC,0.405,24,24,0.0037900552,0.0037900552,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
905,CHINON 1,FR,STUR,NUC,0.405,24,24,0.0037900552,0.0037900552,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
890,DAMPIERRE 4,FR,STUR,NUC,0.405,24,24,0.0038539326,0.0038539326,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
890,DAMPIERRE 3,FR,STUR,NUC,0.405,24,24,0.0038539326,0.0038539326,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
890,DAMPIERRE 1,FR,STUR,NUC,0.405,24,24,0.0038539326,0.0038539326,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
890,DAMPIERRE 2,FR,STUR,NUC,0.405,24,24,0.0038539326,0.0038539326,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
880,BUGEY 5,FR,STUR,NUC,0.405,24,24,0.0038977273,0.0038977273,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
880,FESSENHEIM 2,FR,STUR,NUC,0.405,24,24,0.0038977273,0.0038977273,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
880,FESSENHEIM 1,FR,STUR,NUC,0.405,24,24,0.0038977273,0.0038977273,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
880,BUGEY 4,FR,STUR,NUC,0.405,24,24,0.0038977273,0.0038977273,200000,0,0,0.9,0.405,72,205.8,0,,,,,,
