,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,Nunits
FR_STUR_BIO,151.1204344,FR_STUR_BIO,FR,STUR,BIO,0.46,4,6,0.02,0.02,120,12.5,1.3,0.35,0.35,1,0,back-pressure,1,0,1813.44,,,,151.1204344,1
FR_COMC_GAS,388.3108142,FR_COMC_GAS,FR,COMC,GAS,0.57,2,4,0.03,0.03,55,0,0,0.36,0.57,1,0.42,,,,,,,,,8
FR_GTUR_GAS,63.65119565,FR_GTUR_GAS,FR,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,26
FR_STUR_GAS,97.22207076,FR_STUR_GAS,FR,STUR,GAS,0.38,0,0,0.02,0.02,0,0,0,0.4,0.38,0,0,,,,,,,,,1
FR_STUR_HRD,732.5,FR_STUR_HRD,FR,STUR,HRD,0.46,8,8,0.017777778,0.017777778,65,0,0,0.3,0.46,2,0.81,,,,,,,,,4
FR_STUR_NUC,1002.063492,FR_STUR_NUC,FR,STUR,NUC,1,24,24,0.003333333,0.003333333,300,0,0,0.5,1,12,0,,,,,,,,,63
FR_STUR_OIL,370.5555556,FR_STUR_OIL,FR,STUR,OIL,0.33,4,4,0.02,0.02,65,0,0,0.4,0.33,0,0.799636364,,,,,,,,,18
FR_PHOT_SUN,6772,FR_PHOT_SUN,FR,PHOT,SUN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
FR_HROR_WAT,10325.5,FR_HROR_WAT,FR,HROR,WAT,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
FR_HPHS_WAT,13169,FR_HPHS_WAT,FR,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,0,0,0,0,1,0,0,,,,2845905,0,4965,0.8,,1
FR_WTON_WIN,11761,FR_WTON_WIN,FR,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
