,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
0,78,KTE Jertovec,HR,COMC,GAS,0.36,2,2,0.06,0.06,4680,0,0.5,0.062171053,0.49,3,0.398,,,,,,,,
1,90,EL-TO Zagreb,HR,STUR,GAS,0.15,2,2,0.06,0.06,2970,0,0.5,0.122222222,0.15,3,0.398,Extraction,0.2,0.18,,,,,450
2,2.036,mTEO Jakusevac,HR,GTUR,WST,0.38,1,0.25,0.1,0.1,48,0,0.8,0.2,0.3,6,1.062,,,,,,,,
3,440,TE-TO Zagreb,HR,STUR,GAS,0.306976744,2,2,0.06,0.06,14520,0,0.5,0.15,0.3,3,0.398,Extraction,0.517647059,0.18,750,0.03,,,849
4,90,TE -TO Osijek,HR,STUR,GAS,0.3930131,2,2,0.06,0.06,2160,0,0.5,0.277777778,0.32,6,0.398,Extraction,0.647482014,0.18,,,,,139
5,1,PZ Osatina,HR,ICEN,BIO,0.35,1,1,0.2,0.2,50,0,0.5,0.2,0.4,1,0.123,,,,,,,,
6,1,Bovis,HR,ICEN,BIO,0.35,1,1,0.2,0.2,50,0,0.5,0.2,0.4,1,0.123,,,,,,,,
7,348,NE Krsko HR,HR,STUR,NUC,0.57,10,24,0.025,0.025,17400,0,1.8,0.5,0.49,24,0,,,,,,,,
8,396,TE Sisak,HR,STUR,OIL,0.57,6,1.5,0.025,0.025,41580,0,1.8,0.15,0.49,3,0.517,,,,,,,,
9,303,TE Rijeka,HR,STUR,OIL,0.52,6,1.5,0.025,0.025,31815,0,1.8,0.4,0.29,6,0.517,,,,,,,,
10,110,TE Plomin 1,HR,STUR,HRD,0.4,6,1.5,0.025,0.025,4950,0,1.8,0.3,0.29,6,1.062,,,,,,,,
11,192,TE Plomin 2,HR,STUR,HRD,0.42,6,1.5,0.025,0.025,8640,0,1.8,0.3,0.29,6,1.062,,,,,,,,
12,486,HE Zakucac,HR,HDAM,WAT,0.899311528,0,0,1,1,0,0,0,0,0.5,1,0,,,,2047,,,,
13,216,HE Senj,HR,HDAM,WAT,0.895055028,0,0,1,1,0,0,0,0,0.5,1,0,,,,143008,,,,
14,108,HE Dubrovnik_HR,HR,HDAM,WAT,0.899442094,0,0,1,1,0,0,0,0,0.5,1,0,,,,821991,,,,
15,90,HE Vinodol,HR,HDAM,WAT,0.84777799,0,0,1,1,0,0,0,0,0.5,1,0,,,,2172,,,,
16,60,HE Peruca,HR,HDAM,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,69289,,,,
17,22.5,HE Sklope,HR,HDAM,WAT,0.849473678,0,0,1,1,0,0,0,0,0.5,1,0,,,,20928,,,,
18,276,RHE Velebit,HR,HPHS,WAT,0.906981197,0,0,1,1,0,0,0,0,0.5,1,0,,,,14800,0.016216216,240,0.75,
19,237,RHE Orlovac,HR,HPHS,WAT,0.908233921,0,0,1,1,0,0,0,0,0.5,1,0,,,,809761,1.26E-05,10.2,0.75,
20,5.4,RHE Vinodol,HR,HPHS,WAT,0.899738937,0,0,1,1,0,0,0,0,0.5,1,0,,,,4049,0.001704124,6.9,0.75,
21,46.4,HE Kraljevac,HR,HROR,WAT,0.796274771,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
22,40.8,HE Dale,HR,HROR,WAT,0.90022819,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
23,92.46,HE Varazdin,HR,HROR,WAT,0.860731532,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
24,79.78,HE Dubrava,HR,HROR,WAT,0.929424596,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
25,77.44,HE Cakovec,HR,HROR,WAT,0.902185209,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
26,55.5,HE Gojak,HR,HROR,WAT,0.841135666,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
27,41.2,HE Lesce,HR,HROR,WAT,0.896494491,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
28,36.8,HE Rijeka,HR,HROR,WAT,0.839831222,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
29,24,HE Miljacka,HR,HROR,WAT,0.599628226,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
30,27.393,mHE Hrvatska,HR,HROR,WAT,0.840659323,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
31,418,HR_Wind PP,HR,WTON,WIN,1,0,0,1,1,0,0,0,0,1,1,0,,,,,,,,
32,47.8,HR_Solar PP,HR,PHOT,SUN,1,0,0,1,1,0,0,0,0,1,1,0,,,,,,,,
33,24.6,TE Biomass HR,HR,STUR,BIO,0.45,1,1,0.2,0.2,1230,0,0.5,0.2,0.05,1,0.123,,,,,,,,
