PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
258.0,Aghada Unit 1,IE,STUR,GAS,0.38,4,4,0.015,0.01496124,63696.23097999999,2880.400082,0,0.139534884,0.38,0,0.5423390929999999,,,,,,,,,,
444.0,Aghada Unit 2,IE,COMC,GAS,0.53,4,1,0.019887387,0.027882882999999997,110787.8241,4514.599863,0,0.486486487,0.52,0,0.388490083,,,,,,,,,,
90.0,Aghada CT 1,IE,GTUR,GAS,0.27,4,1,0.055555556,0.055555556,6343.840659,3006.106511,0,0.166666667,0.13,0,0.763212915,,,,,,,,,,
90.0,Aghada CT 2,IE,GTUR,GAS,0.26,4,1,0.055555556,0.055555556,6454.140247,3527.681511,0,0.166666667,0.13,0,0.790146537,,,,,,,,,,
90.0,Aghada CT 4,IE,GTUR,GAS,0.27,4,1,0.055555556,0.055555556,6377.773489,3125.9882420000013,0,0.166666667,0.13,0,0.764188097,,,,,,,,,,
21.0,Ardnacrusha 1,IE,HROR,WAT,1.0,0,0,0.02,0.02,203.03,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
22.0,Ardnacrusha 2,IE,HROR,WAT,1.0,0,0,0.021363636000000002,0.021363636000000002,147.4,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
19.0,Ardnacrusha 3,IE,HROR,WAT,1.0,0,0,0.017368421000000002,0.017368421000000002,146.23,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
24.0,Ardnacrusha 4,IE,HROR,WAT,1.0,0,0,0.022916667,0.022916667,128.7,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
58.0,Ballylumford  GT1,IE,GTUR,OIL,0.25,0,0,0.08620689699999999,0.11086206900000001,3675.4616119999996,1513.279258,0,0.137931035,0.11,0,1.034182121,,,,,,,,,,
58.0,Ballylumford  GT2,IE,GTUR,OIL,0.25,0,0,0.08620689699999999,0.11086206900000001,3596.502060000001,1514.158956,0,0.137931035,0.11,0,1.034182121,,,,,,,,,,
101.0,Ballylumford Unit 10,IE,COMC,GAS,0.51,0,0,0.01,0.03960396,12294.79632,473.6446703,0,0.6237623760000001,0.49,0,0.399746673,,,,,,,,,,
247.0,Ballylumford CCGT Unit 31,IE,COMC,GAS,0.48,0,0,0.012550607,0.024574899,16291.734480000001,1885.96544,0,0.457489879,0.41,0,0.42263645299999997,,,,,,,,,,
247.0,Ballylumford CCGT Unit 32,IE,COMC,GAS,0.48,0,0,0.012550607,0.024574899,16197.255480000002,1904.372582,0,0.457489879,0.41,0,0.42263645299999997,,,,,,,,,,
170.0,Ballylumford Unit 4,IE,STUR,GAS,0.31,0,0,0.011647059,0.056882353,31367.855560000004,985.6411813,0,0.317647059,0.26,0,0.665282752,,,,,,,,,,
170.0,Ballylumford Unit 5,IE,STUR,GAS,0.31,0,0,0.011647059,0.056882353,31194.86648,1001.569505,0,0.317647059,0.26,0,0.662903985,,,,,,,,,,
