,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Nunits
IT_COMC_GAS,417.425519374,IT_COMC_GAS,IT,COMC,GAS,0.57,2,4,0.03,0.03,55,0.0,0,0.36,0.57,1.0,0.42,,,,,,,92.0
IT_GTUR_GAS,63.6888557065,IT_GTUR_GAS,IT,GTUR,GAS,0.425,0,0,0.166666666667,0.166666666667,0,0.0,0,0.2,0.425,0.166666666667,0.564705882353,,,,,,,23.0
IT_STUR_HRD,718.363636364,IT_STUR_HRD,IT,STUR,HRD,0.46,8,8,0.0177777777778,0.0177777777778,65,0.0,0,0.3,0.46,2.0,0.81,,,,,,,11.0
IT_STUR_OIL,379.076923077,IT_STUR_OIL,IT,STUR,OIL,0.33,4,4,0.02,0.02,65,0.0,0,0.4,0.33,0.0,0.799636363636,,,,,,,13.0
IT_PHOT_SUN,4659.0,IT_PHOT_SUN,IT,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
IT_HROR_WAT,10389.0,IT_HROR_WAT,IT,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
IT_HPHS_WAT,11532.0,IT_HPHS_WAT,IT,HPHS,WAT,0.8,0,0,0.0666666666667,0.0666666666667,0,0.0,0,0.0,1.0,0.0,0.0,,,4485036.0,0.0,7157.0,0.8,1
IT_WTON_WIN,9024.0,IT_WTON_WIN,IT,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
IT_STUR_OTH,138.861788618,IT_STUR_OTH,IT,STUR,OTH,0.3,4,4,0.02,0.02,65,0.0,0,0.5,0.3,0.0,0.0,,,,,,,12.0
IT_STUR_GEO,39.5,IT_STUR_GEO,IT,STUR,GEO,0.1,0,0,0.02,0.02,0,0.0,0,0.0,0.1,0.0,0.0,,,,,,,22.0
