,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Nunits
RO_COMC_GAS,327.0203994877031,RO_COMC_GAS,RO,COMC,GAS,0.57,2,4,0.03,0.03,55,0.0,0,0.36,0.57,1.0,0.42,,,,,,,4.0
RO_GTUR_GAS,60.35244946221105,RO_GTUR_GAS,RO,GTUR,GAS,0.425,0,0,0.166666666666667,0.166666666666667,0,0.0,0,0.2,0.425,0.166666666666667,0.564705882352941,,,,,,,3.0
RO_STUR_GAS,116.89023661091991,RO_STUR_GAS,RO,STUR,GAS,0.38,0,0,0.02,0.02,0,0.0,0,0.4,0.38,0.0,0.0,,,,,,,29.0
RO_STUR_HRD,478.6376811594203,RO_STUR_HRD,RO,STUR,HRD,0.46,8,8,0.0177777777777778,0.0177777777777778,65,0.0,0,0.3,0.46,2.0,0.81,,,,,,,2.0
RO_STUR_LIG,757.6666666666666,RO_STUR_LIG,RO,STUR,LIG,0.393,8.0,8.0,0.015209790209790195,0.017482517482517494,65.0,12.56164383561645,0.0,0.389,0.4075,5.0,1.0499999999999998,,,,,,,6.0
RO_STUR_NUC,649.0,RO_STUR_NUC,RO,STUR,NUC,1.0,24,24,0.00333333333333333,0.00333333333333333,300,0.0,0,0.5,1.0,12.0,0.0,,,,,,,2.0
RO_PHOT_SUN,1301.0,RO_PHOT_SUN,RO,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
RO_HDAM_WAT,4006.0,RO_HDAM_WAT,RO,HDAM,WAT,0.8,0,0,0.0666666666666667,0.0666666666666667,0,0.0,0,0.0,1.0,0.0,0.0,,,2641200.0,0.0,0.0,0.8,1
RO_HROR_WAT,2697.0,RO_HROR_WAT,RO,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
RO_WTON_WIN,2965.0,RO_WTON_WIN,RO,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
