,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Nunits
SK_STUR_BIO,112.0,SK_STUR_BIO,SK,STUR,BIO,0.35,4,6,0.02,0.02,65,,0,0.5,0.35,,0.0,,,,,,,2.0
SK_COMC_GAS,384.816672336783,SK_COMC_GAS,SK,COMC,GAS,0.57,2,4,0.03,0.03,55,0.0,0,0.36,0.57,1.0,0.42,,,,,,,2.0
SK_GTUR_GAS,62.49580228487396,SK_GTUR_GAS,SK,GTUR,GAS,0.425,0,0,0.166666666666667,0.166666666666667,0,0.0,0,0.2,0.425,0.166666666666667,0.564705882352941,,,,,,,4.0
SK_STUR_HRD,105.41666666666666,SK_STUR_HRD,SK,STUR,HRD,0.46,8,8,0.0177777777777778,0.0177777777777778,65,0.0,0,0.3,0.46,2.0,0.81,,,,,,,1.0
SK_STUR_LIG,458.0,SK_STUR_LIG,SK,STUR,LIG,0.393,8.0,8.0,0.015209790209790195,0.017482517482517494,65.0,12.56164383561645,0.0,0.389,0.4075,5.0,1.0499999999999998,,,,,,,1.0
SK_STUR_NUC,970.0,SK_STUR_NUC,SK,STUR,NUC,1.0,24,24,0.00333333333333333,0.00333333333333333,300,0.0,0,0.5,1.0,12.0,0.0,,,,,,,2.0
SK_PHOT_SUN,530.0,SK_PHOT_SUN,SK,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
SK_HROR_WAT,1303.0,SK_HROR_WAT,SK,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
SK_HPHS_WAT,1234.0,SK_HPHS_WAT,SK,HPHS,WAT,0.8,0,0,0.0666666666666667,0.0666666666666667,0,0.0,0,0.0,1.0,0.0,0.0,,,1735630.76,0.0,916.0000000000001,0.8,1
SK_STUR_OTH,138.3529411764706,SK_STUR_OTH,SK,STUR,OTH,0.3,4,4,0.02,0.02,65,0.0,0,0.5,0.3,0.0,0.0,,,,,,,3.0
