,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,12.0,Al Qusais Biogas Power Project,UAE,LFGG,LFG,0.52,4.6675,3.9175,0.516733955625,0.5209986613750001,593.99633025,11.350031055,0,0.339843245,0.2325,2.4444444444444446,0.3416734897578846,,,,,,
1,1.0,Al Qusais Biogas Power Project Phase I,UAE,LFGG,LFG,0.52,4.6675,3.9175,0.516733955625,0.5209986613750001,593.99633025,11.350031055,0,0.339843245,0.2325,2.4444444444444446,0.3416734897578846,,,,,,
2,1.0,Abu Dhabi Waste To Energy Demonstration Plant,UAE,STUR,MSW,0.4077777777777778,5.888888888888888,4.333333333333333,0.014506289355555552,0.014577973911111113,7796.375709666665,449.23726188888884,0,0.38952283433333335,0.3961111111111111,2.4444444444444446,0.7589458344874659,,,,,,
3,0.1,Masdar City Solar Power Plant,UAE,CPV,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
4,0.06,Gulf 1 Solar Power Plant,UAE,CPV,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
5,0.001,Abu Dhabi Solar Power Plant,UAE,CPV,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
6,200.0,Hamriyah Power Plant,UAE,CSP,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
7,100.0,Shams -1,UAE,CSP,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
8,0.11,DEWA Solar Thermal Plant,UAE,CSP,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
9,1013.0,Mohammed Bin Rashid Al Maktoum Solar Park,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
10,13.0,Mohammed Bin Rashid Al Maktoum Solar Park - 1,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
11,10.0,Masdar City Solar Park,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
12,2.1,Abu Dhabi-ADWEA Solar PV Park,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
13,1.5,Jebel Ali Solar PV Park,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
14,1.0,Masdar Institute Building Solar Park,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
15,1.0,Emirates Engine Maintenance Centre Solar PV Park,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
16,1.0,DEWA Emirates Airline Solar PV Park,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
17,0.695,DEWA Al Quoz Solar PV Park,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
18,0.635,Dubai International Airport Solar PV Park,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
19,0.572,BMA International FZE Solar PV Park,UAE,PHOT,SUN,1.0,0.0,0.0,0.5487033360625,0.5487033360625,0.0,0.0,0,0.0,0.9375,0.125,0.0,,,,,,
20,4.16,Abu Mussa Oil Fired Power Plant,UAE,ICEN,OIL,0.42100000000000004,0.8,2.0,0.0579,0.0579,900.0,1146.8035067285714,0,0.8684000000000002,0.4063,0.3,0.604135480047981,,,,,,
21,146.0,Ajman Power Station,UAE,GTUR,GAS,0.19236176089839144,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.9411862006369998,,,,,,
22,352.0,Al Ain Gas Turbine Power Station,UAE,GTUR,GAS,0.28109688058180304,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6440777091267382,,,,,,
23,22.0,Al Ain Gas Turbine Power Station Unit IX,UAE,GTUR,GAS,0.28109688058180304,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6440777091267382,,,,,,
24,22.0,Al Ain Gas Turbine Power Station Unit VII,UAE,GTUR,GAS,0.28109688058180304,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6440777091267382,,,,,,
