,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,395,TE Kosovo A,XK,STUR,LIG,0.34,6,1.5,0.025,0.025,41475,0,1.8,0.148101,0.29,6,1.062,,,,,,
1,520,TE Kosovo B,XK,STUR,LIG,0.341,6,1.5,0.025,0.025,54600,0,1.8,0.225,0.29,6,1.062,,,,,,
2,35,HE Ujmani,XK,HDAM,WAT,0.81242,0,0,1,1,0,0,0,0,0.5,1,0,,,95375,,,
3,8.8,HE Lumbardhi,XK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
4,1.34,HE Dikance,XK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
5,0.28,HE Radavac,XK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
6,0.48,HE Burimi,XK,HROR,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
7,50,Wind Farms XK,XK,WTON,WIN,1,0,0,1,1,0,0,0,0,1,1,0,,,,,,
8,30,Solar Farms XK,XK,PHOT,SUN,1,0,0,1,1,0,0,0,0,1,1,0,,,,,,
9,200,New Biomass XK,XK,STUR,BIO,0.34,6,1.5,0.025,0.025,8037,0,1.8,0.25,0.29,6,0.123,,,,,,
