,WTON,WTOF,PHOT,HROR
2030-01-01 00:00:00,0,0,0.0,0
2030-01-01 01:00:00,0,0,0.0,0
2030-01-01 02:00:00,0,0,0.0,0
2030-01-01 03:00:00,0,0,0.0,0
2030-01-01 04:00:00,0,0,0.0,0
2030-01-01 05:00:00,0,0,0.0,0
2030-01-01 06:00:00,0,0,0.068,0
2030-01-01 07:00:00,0,0,0.284,0
2030-01-01 08:00:00,0,0,0.4686,0
2030-01-01 09:00:00,0,0,0.578,0
2030-01-01 10:00:00,0,0,0.6249,0
2030-01-01 11:00:00,0,0,0.6141,0
2030-01-01 12:00:00,0,0,0.5433,0
2030-01-01 13:00:00,0,0,0.4094,0
2030-01-01 14:00:00,0,0,0.1902,0
2030-01-01 15:00:00,0,0,0.0001,0
2030-01-01 16:00:00,0,0,0.0,0
2030-01-01 17:00:00,0,0,0.0,0
2030-01-01 18:00:00,0,0,0.0,0
2030-01-01 19:00:00,0,0,0.0,0
2030-01-01 20:00:00,0,0,0.0,0
2030-01-01 21:00:00,0,0,0.0,0
2030-01-01 22:00:00,0,0,0.0,0
2030-01-01 23:00:00,0,0,0.0,0
2030-01-02 00:00:00,0,0,0.0,0
2030-01-02 01:00:00,0,0,0.0,0
2030-01-02 02:00:00,0,0,0.0,0
2030-01-02 03:00:00,0,0,0.0,0
2030-01-02 04:00:00,0,0,0.0,0
2030-01-02 05:00:00,0,0,0.0,0
2030-01-02 06:00:00,0,0,0.0787,0
2030-01-02 07:00:00,0,0,0.2854,0
2030-01-02 08:00:00,0,0,0.4465,0
2030-01-02 09:00:00,0,0,0.5503,0
2030-01-02 10:00:00,0,0,0.5955,0
2030-01-02 11:00:00,0,0,0.5866,0
2030-01-02 12:00:00,0,0,0.5203,0
2030-01-02 13:00:00,0,0,0.3909,0
2030-01-02 14:00:00,0,0,0.1789,0
2030-01-02 15:00:00,0,0,0.0001,0
2030-01-02 16:00:00,0,0,0.0,0
2030-01-02 17:00:00,0,0,0.0,0
2030-01-02 18:00:00,0,0,0.0,0
2030-01-02 19:00:00,0,0,0.0,0
2030-01-02 20:00:00,0,0,0.0,0
2030-01-02 21:00:00,0,0,0.0,0
2030-01-02 22:00:00,0,0,0.0,0
2030-01-02 23:00:00,0,0,0.0,0
2030-01-03 00:00:00,0,0,0.0,0
2030-01-03 01:00:00,0,0,0.0,0
2030-01-03 02:00:00,0,0,0.0,0
2030-01-03 03:00:00,0,0,0.0,0
2030-01-03 04:00:00,0,0,0.0,0
2030-01-03 05:00:00,0,0,0.0,0
2030-01-03 06:00:00,0,0,0.0746,0
2030-01-03 07:00:00,0,0,0.2705,0
2030-01-03 08:00:00,0,0,0.4321,0
2030-01-03 09:00:00,0,0,0.54,0
2030-01-03 10:00:00,0,0,0.5871,0
2030-01-03 11:00:00,0,0,0.5784,0
2030-01-03 12:00:00,0,0,0.5136,0
2030-01-03 13:00:00,0,0,0.3859,0
2030-01-03 14:00:00,0,0,0.1762,0
2030-01-03 15:00:00,0,0,0.0001,0
2030-01-03 16:00:00,0,0,0.0,0
2030-01-03 17:00:00,0,0,0.0,0
2030-01-03 18:00:00,0,0,0.0,0
2030-01-03 19:00:00,0,0,0.0,0
2030-01-03 20:00:00,0,0,0.0,0
2030-01-03 21:00:00,0,0,0.0,0
2030-01-03 22:00:00,0,0,0.0,0
2030-01-03 23:00:00,0,0,0.0,0
2030-01-04 00:00:00,0,0,0.0,0
2030-01-04 01:00:00,0,0,0.0,0
2030-01-04 02:00:00,0,0,0.0,0
2030-01-04 03:00:00,0,0,0.0,0
2030-01-04 04:00:00,0,0,0.0,0
2030-01-04 05:00:00,0,0,0.0,0
2030-01-04 06:00:00,0,0,0.0705,0
2030-01-04 07:00:00,0,0,0.2554,0
2030-01-04 08:00:00,0,0,0.3922,0
2030-01-04 09:00:00,0,0,0.4579,0
2030-01-04 10:00:00,0,0,0.4919,0
2030-01-04 11:00:00,0,0,0.4706,0
2030-01-04 12:00:00,0,0,0.3728,0
2030-01-04 13:00:00,0,0,0.2445,0
2030-01-04 14:00:00,0,0,0.0853,0
2030-01-04 15:00:00,0,0,0.0,0
2030-01-04 16:00:00,0,0,0.0,0
2030-01-04 17:00:00,0,0,0.0,0
2030-01-04 18:00:00,0,0,0.0,0
2030-01-04 19:00:00,0,0,0.0,0
2030-01-04 20:00:00,0,0,0.0,0
2030-01-04 21:00:00,0,0,0.0,0
2030-01-04 22:00:00,0,0,0.0,0
2030-01-04 23:00:00,0,0,0.0,0
2030-01-05 00:00:00,0,0,0.0,0
2030-01-05 01:00:00,0,0,0.0,0
2030-01-05 02:00:00,0,0,0.0,0
2030-01-05 03:00:00,0,0,0.0,0
2030-01-05 04:00:00,0,0,0.0,0
2030-01-05 05:00:00,0,0,0.0,0
2030-01-05 06:00:00,0,0,0.0126,0
2030-01-05 07:00:00,0,0,0.0927,0
2030-01-05 08:00:00,0,0,0.1679,0
2030-01-05 09:00:00,0,0,0.1759,0
2030-01-05 10:00:00,0,0,0.1576,0
2030-01-05 11:00:00,0,0,0.122,0
2030-01-05 12:00:00,0,0,0.0855,0
2030-01-05 13:00:00,0,0,0.0479,0
2030-01-05 14:00:00,0,0,0.0152,0
2030-01-05 15:00:00,0,0,0.0,0
2030-01-05 16:00:00,0,0,0.0,0
2030-01-05 17:00:00,0,0,0.0,0
2030-01-05 18:00:00,0,0,0.0,0
2030-01-05 19:00:00,0,0,0.0,0
2030-01-05 20:00:00,0,0,0.0,0
2030-01-05 21:00:00,0,0,0.0,0
2030-01-05 22:00:00,0,0,0.0,0
2030-01-05 23:00:00,0,0,0.0,0
2030-01-06 00:00:00,0,0,0.0,0
2030-01-06 01:00:00,0,0,0.0,0
2030-01-06 02:00:00,0,0,0.0,0
2030-01-06 03:00:00,0,0,0.0,0
2030-01-06 04:00:00,0,0,0.0,0
2030-01-06 05:00:00,0,0,0.0,0
2030-01-06 06:00:00,0,0,0.0013,0
2030-01-06 07:00:00,0,0,0.0208,0
2030-01-06 08:00:00,0,0,0.0494,0
2030-01-06 09:00:00,0,0,0.0702,0
2030-01-06 10:00:00,0,0,0.0723,0
2030-01-06 11:00:00,0,0,0.0636,0
2030-01-06 12:00:00,0,0,0.0523,0
2030-01-06 13:00:00,0,0,0.031,0
2030-01-06 14:00:00,0,0,0.0072,0
2030-01-06 15:00:00,0,0,0.0,0
2030-01-06 16:00:00,0,0,0.0,0
2030-01-06 17:00:00,0,0,0.0,0
2030-01-06 18:00:00,0,0,0.0,0
2030-01-06 19:00:00,0,0,0.0,0
2030-01-06 20:00:00,0,0,0.0,0
2030-01-06 21:00:00,0,0,0.0,0
2030-01-06 22:00:00,0,0,0.0,0
2030-01-06 23:00:00,0,0,0.0,0
2030-01-07 00:00:00,0,0,0.0,0
2030-01-07 01:00:00,0,0,0.0,0
2030-01-07 02:00:00,0,0,0.0,0
2030-01-07 03:00:00,0,0,0.0,0
2030-01-07 04:00:00,0,0,0.0,0
2030-01-07 05:00:00,0,0,0.0,0
