,FR_P2HT_OTH,FR_STUR_BIO_CHP,FR_COMC_GAS_CHP
2016-01-01 00:00:00,25136.133547597354,5354.195558812818,1197.5985771266132
2016-01-01 01:00:00,25762.997926180484,5487.722637089681,1227.4652185661544
2016-01-01 02:00:00,27756.716715854123,5912.400532318825,1322.4549583836365
2016-01-01 03:00:00,31892.087842640824,6793.267340221368,1519.4826582863375
2016-01-01 04:00:00,42364.429361047834,9023.959039167461,2018.4321597233627
2016-01-01 05:00:00,50041.18135769131,10659.16802501663,2384.1871892598324
2016-01-01 06:00:00,48446.78645751098,10319.549281450745,2308.2230374853284
2016-01-01 07:00:00,47933.04773285211,10210.11886357243,2283.7462115446447
2016-01-01 08:00:00,45846.50789380472,9765.669349554733,2184.3340590101516
2016-01-01 09:00:00,43763.83559848123,9322.04365298656,2085.1061736722
2016-01-01 10:00:00,41854.88047542319,8915.421090192798,1994.154956578934
2016-01-01 11:00:00,40821.279415209254,8695.255876807758,1944.9095483030424
2016-01-01 12:00:00,40804.19776376201,8691.61734973903,1944.0957015183144
2016-01-01 13:00:00,41301.8217229046,8797.615194910999,1967.8047474734053
2016-01-01 14:00:00,42233.899760365995,8996.15520024606,2012.2131418400652
2016-01-01 15:00:00,43886.63011171525,9348.199857008918,2090.9566571624136
2016-01-01 16:00:00,44899.92656737867,9564.040028783962,2139.2346626564586
2016-01-01 17:00:00,45046.89322888711,9595.345091865838,2146.23681612506
2016-01-01 18:00:00,44567.96239774339,9493.329031033232,2123.4183949532567
2016-01-01 19:00:00,42977.75733659729,9154.602756370996,2047.6538659750065
2016-01-01 20:00:00,38827.56062553561,8270.577981578615,1849.9198084855607
2016-01-01 21:00:00,30892.650085321406,6580.37918097378,1471.8649435799018
2016-01-01 22:00:00,25547.704658883034,5441.863465732898,1217.207677958641
2016-01-01 23:00:00,25527.722349642856,5437.607075577028,1216.2556307765065
2016-01-02 00:00:00,26459.47809179392,5636.078429457961,1260.6486695434544
2016-01-02 01:00:00,27144.67792154597,5782.0314209317985,1293.29467453084
2016-01-02 02:00:00,29214.45840445644,6222.911059334895,1391.9083358803175
2016-01-02 03:00:00,33508.39882392329,7137.554382667884,1596.4909908412471
