,NO
2030-01-01 00:00:00,0.825003794
2030-01-01 01:00:00,0.8250170040000001
2030-01-01 02:00:00,0.825037626
2030-01-01 03:00:00,0.825059821
2030-01-01 04:00:00,0.825072328
2030-01-01 05:00:00,0.825095503
2030-01-01 06:00:00,0.82511369
2030-01-01 07:00:00,0.825127251
2030-01-01 08:00:00,0.8251294859999999
2030-01-01 09:00:00,0.825115761
2030-01-01 10:00:00,0.825088534
2030-01-01 11:00:00,0.8250516999999999
2030-01-01 12:00:00,0.825005689
2030-01-01 13:00:00,0.8249463659999999
2030-01-01 14:00:00,0.824867598
2030-01-01 15:00:00,0.82477577
2030-01-01 16:00:00,0.8246813009999999
2030-01-01 17:00:00,0.8245949709999999
2030-01-01 18:00:00,0.824524857
2030-01-01 19:00:00,0.82446363
2030-01-01 20:00:00,0.824409827
2030-01-01 21:00:00,0.824376876
2030-01-01 22:00:00,0.824354392
2030-01-01 23:00:00,0.8243383879999999
2030-01-02 00:00:00,0.824337257
2030-01-02 01:00:00,0.8243707140000001
2030-01-02 02:00:00,0.824434291
2030-01-02 03:00:00,0.82450892
2030-01-02 04:00:00,0.8245785990000001
2030-01-02 05:00:00,0.824639582
2030-01-02 06:00:00,0.8246802240000001
2030-01-02 07:00:00,0.824690527
2030-01-02 08:00:00,0.824685773
2030-01-02 09:00:00,0.824664693
2030-01-02 10:00:00,0.824635405
2030-01-02 11:00:00,0.8246107840000001
2030-01-02 12:00:00,0.824583043
2030-01-02 13:00:00,0.824553423
2030-01-02 14:00:00,0.824515476
2030-01-02 15:00:00,0.824462365
2030-01-02 16:00:00,0.824398306
2030-01-02 17:00:00,0.82433633
2030-01-02 18:00:00,0.824286966
2030-01-02 19:00:00,0.824247136
2030-01-02 20:00:00,0.824222969
2030-01-02 21:00:00,0.82420692
2030-01-02 22:00:00,0.824208614
2030-01-02 23:00:00,0.8242088129999999
2030-01-03 00:00:00,0.824209695
2030-01-03 01:00:00,0.824213405
2030-01-03 02:00:00,0.8242232
2030-01-03 03:00:00,0.82424014
2030-01-03 04:00:00,0.824251592
2030-01-03 05:00:00,0.82426402
2030-01-03 06:00:00,0.8242686220000001
2030-01-03 07:00:00,0.824257626
2030-01-03 08:00:00,0.824225014
2030-01-03 09:00:00,0.824163619
2030-01-03 10:00:00,0.82409508
2030-01-03 11:00:00,0.8240288020000001
2030-01-03 12:00:00,0.823961574
2030-01-03 13:00:00,0.8238904490000001
2030-01-03 14:00:00,0.823805592
2030-01-03 15:00:00,0.823701673
2030-01-03 16:00:00,0.823586835
2030-01-03 17:00:00,0.823483726
2030-01-03 18:00:00,0.823395474
2030-01-03 19:00:00,0.8233180170000001
2030-01-03 20:00:00,0.8232517979999999
2030-01-03 21:00:00,0.823202966
2030-01-03 22:00:00,0.8231782390000001
2030-01-03 23:00:00,0.823162189
2030-01-04 00:00:00,0.8231467259999999
2030-01-04 01:00:00,0.823134094
2030-01-04 02:00:00,0.8231205659999999
