,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
BE_STUR_GEO,BE_STUR_GEO,39.4,5.0,BE,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
BE_COMC_GAS,BE_COMC_GAS,414.4920634920635,63.0,BE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
BE_STUR_BIO,BE_STUR_BIO,2.2737367544323206e-13,1.0,BE,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,,,,,,,,,,,,
BE_HROR_WAT,BE_HROR_WAT,141.0,1,BE,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
BE_WTOF_WIN,BE_WTOF_WIN,3864.0,1,BE,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
BE_WTON_WIN,BE_WTON_WIN,18130.0,1,BE,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
BE_PHOT_SUN,BE_PHOT_SUN,129067.0,1,BE,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
BE_BATS_OTH,BE_BATS_OTH,1957222.2222222222,1,BE,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,7828888.888888889,0.0,0.0,0.9,
BE_BEVS_OTH,BE_BEVS_OTH,72321.0,1,BE,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,296516.1,0.0,72321.0,0.88,
BE_STUR_BIO_CHP,BE_STUR_BIO_CHP,164.2,10.0,BE,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4378.666666666666,0.03,,,
BE_COMC_GAS_CHP,BE_COMC_GAS_CHP,267.0,2.0,BE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,3372.631578947369,0.03,,,
