ID,Name,Fuel,Fuel (detailed),Technology,Country,Model_Node,Province,Pmin,Pmax,Heat_Rate,IC,Status,Year_Built,Year_End,Fuel info Source,comments
349,Midyan Wind Farm,Wind,Wind,Onshore,Saudi Arabia,NWOA,Tabuk,0,400,,,Announced,2023,2100,,
350,Shagaya Phase I,Wind,Wind,Onshore,Kuwait,KUW,Al Ahmadi ,0,10,,,Under Construction,2017,2100,,
351,Shagaya Phase II,Wind,Wind,Onshore,Kuwait,KUW,Al Ahmadi ,0,60,,,Announced,2020,2100,,
352,Shagaya Phase III,Wind,Wind,Onshore,Kuwait,KUW,Al Ahmadi ,0,70,,,Announced,2025,2100,,
353,Dhofar Wind Farm,Wind,Wind,Onshore,Oman,OMA,Dhofar,0,50,,2,Permitting,2017,2100,,
354,Sir Bani Yas II,Wind,Wind,Onshore,United Arab Emirates,UAE,Abu Dhabi,0,30,,,Permitting,2020,2100,,
355,Turaif Bulk Wind Turbine,Wind,Wind,Onshore,Saudi Arabia,NEOA,Northern Borders,0,2.75,,,Active,2017,2100,,
356,Huraymila Wind Farm,Wind,Wind,Onshore,Saudi Arabia,RIYADH,Riyadh,0,2.75,,,Active,2017,2100,,
359,Petro Solar-Manama Solar PV Park,Solar,Solar,PV,Bahrain,BAH,Manama,0,5,,,Active,2014,2100,,
363,Shagaya Phase II - PV,Solar,Solar,PV,Kuwait,KUW,,0,370,,,Announced,2020,2100,,
364,Shagaya Phase III - PV,Solar,Solar,PV,Kuwait,KUW,,0,343,,,Announced,2025,2100,,
365,Shagaya Phase I - PV,Solar,Solar,PV,Kuwait,KUW,,0,10,,,Under Construction ,2017,2100,,
366,Umm Gudair Field Solar PV Park,Solar,Solar,PV,Kuwait,KUW,Al Ahmadi ,0,10,,,Active ,2016,2100,,
367,Duqm Solar PV Park,Solar,Solar,PV,Oman,OMA,Al Wusta,0,1000,,3,Announced ,2025,2100,,
368,OPWP Solar Power Plant,Solar,Solar,PV,Oman,OMA,,0,200,,1,Announced ,2020,2100,,
375,Kahramaa Solar Park,Solar,Solar,PV,Qatar ,QAT,Doha,0,230,,,Permitting ,2022,2100,,
376,Al Duhail Solar PV Park,Solar,Solar,PV,Qatar ,QAT,Doha,0,10,,,Under Construction,2017,2100,,
382,Al-Aflaj Solar PV Park,Solar,Solar,PV,Saudi Arabia,RIYADH,Riyadh,0,50,,,Permitting ,2020,2100,,
383,Al-Jawf Solar PV Park,Solar,Solar,PV,Saudi Arabia,NEOA,Al Jawf,0,50,,,Announced,2020,2100,,
384,Al-Khafji Solar PV Park,Solar,Solar,PV,Saudi Arabia,EOA,Eastern Province,0,15,,,Permitting ,2017,2100,,
389,Rafha Solar PV Park,Solar,Solar,PV,Saudi Arabia,NEOA,Northern Borders,0,50,,,Announced,2020,2100,,
390,Sakakah Solar PV Park,Solar,Solar,PV,Saudi Arabia,NEOA,Al Jawf,0,300,,,Announced,2019,2100,,
391,Saudi Aramco North Park Project,Solar,Solar,PV,Saudi Arabia,EOA,Eastern Province,0,10.5,,,Active ,2012,2100,,
392,ADWEA Sweihan Solar PV Park,Solar,Solar,PV,United Arab Emirates,UAE,Abu Dhabi,0,1177,,,Permitting ,2019,2100,,
393,Mohammed Bin Rashid Al Maktoum Solar Park - 1,Solar,Solar,PV,United Arab Emirates,UAE,Dubai,0,13,,,Active,2013,2100,,
394,Mohammed Bin Rashid Al Maktoum Solar Park - 2,Solar,Solar,PV,United Arab Emirates,UAE,Dubai,0,200,,,Active,2017,2100,,
395,Mohammed Bin Rashid Al Maktoum Solar Park - 3a,Solar,Solar,PV,United Arab Emirates,UAE,Dubai,0,200,,,Under Construction,2018,2100,,
396,Mohammed Bin Rashid Al Maktoum Solar Park - 3b,Solar,Solar,PV,United Arab Emirates,UAE,Dubai,0,300,,,Under Construction,2019,2100,,
397,Mohammed Bin Rashid Al Maktoum Solar Park - 3c,Solar,Solar,PV,United Arab Emirates,UAE,Dubai,0,300,,,Under Construction,2020,2100,,
398,Utico-Ras Al Khaimah Solar PV Park,Solar,Solar,PV,United Arab Emirates,UAE,Ras Al Khaimah,0,40,,,Permitting,2018,2100,,
399,Masdar City Solar Park,Solar,Solar,PV,United Arab Emirates,UAE,Abu Dhabi,0,10,,,Active ,2009,2100,,
417,Al Abdaliyah Solar DG Plant,Solar,Solar,CSP,Kuwait,KUW,Al Ahmadi ,0,60,,,Permitting ,2022,2100,,
418,KISR Shagaya CSP Project  - Phase 1,Solar,Solar,CSP,Kuwait,KUW,,0,50,,,Under Construction ,2017,2100,,
419,KISR Shagaya CSP Project - Phase 2,Solar,Solar,CSP,Kuwait,KUW,,0,500,,,Announced ,2020,2100,,
420,KISR Shagaya CSP Project - Phase 3,Solar,Solar,CSP,Kuwait,KUW,,0,600,,,Announced ,2025,2100,,
421,Duba 1 ISCC Project,Solar,Solar,CSP,Saudi Arabia,NWOA,Tabuk,0,50,,,Under Construction ,2017,2100,,
422,Taiba ISCC Power Plant,Solar,Solar,CSP,Saudi Arabia,WOA,Al Madinah,0,180,,,Announced ,2022,2100,,
423,Waad Al-Shamal ISCC Project,Solar,Solar,CSP,Saudi Arabia,NEOA,Northern Borders,0,50,,,Announced ,2018,2100,,
425,Mohammed Bin Rashid Al Maktoum Solar DG Power Plant,Solar,Solar,CSP,United Arab Emirates,UAE,Dubai,0,1000,,,Permitting ,2021,2100,,
426,Mohammed Bin Rashid Al Maktoum Solar DG Power Plant 1,Solar,Solar,CSP,United Arab Emirates,UAE,Dubai,0,200,,,Permitting,2021,2100,,
427,Mohammed Bin Rashid Al Maktoum Solar DG power plant 2,Solar,Solar,CSP,United Arab Emirates,UAE,Dubai,0,800,,,Announced,2025,2100,,
428,Shams -1,Solar,Solar,CSP,United Arab Emirates,UAE,Abu Dhabi,0,100,,,Active ,2013,2100,,
178,Abqaiq Power Plant,Gas,Gas_ipp,GT,Saudi Arabia,EOA,Eastern Province,0,162,3280.247904,,Active,2000,2100,,
177,Abqaiq Cogeneration Plant,Gas,Gas_ipp,GT,Saudi Arabia,EOA,Eastern Province,0,320,2491.302093,,Financed,2020,2100,,
17,Shuaiba South Power Plant,Oil,Crude,GT,Kuwait,KUW,Muhafazat al Wafrah,0,804,3378.979661,,Active,1970,2100,,
179,ADPC Power Station,Oil,Diesel_ipp,DG,Saudi Arabia,RIYADH,Riyadh,0,2,2455.007354,,Active,1994,2100,,
180,Ain Dar Power Plant,Gas,Gas_ipp,GT,Saudi Arabia,EOA,Eastern Province,0,76.8,4469.938427,,Active,1980,2100,,
181,Al Jalamid Power Plant,Oil,Diesel_ipp,GT,Saudi Arabia,NEOA,Northern Borders,0,78,3375.856475,,Active,2000,2100,,
182,Al Jouf Power Plant,Oil,Crude,GT,Saudi Arabia,NEOA,Al Jawf,0,348,3361.284507,,Active,1988,2100,,
13,Sitrah Steam Turbine Power Plant,Gas,Gas,ST,Bahrain,BAH,,0,100,2571.068919,,Active,1975,2100,,
130,Sur Combined Cycle Power Plant,Dual-Fuel,Gas,CC,Oman,OMA,Ash Sharqiyah North,0,2000,1593.693192,1,Active,2014,2100,,
183,Al Khobar Gas Turbine Power Plant,Oil,Crude_ipp,GT,Saudi Arabia,EOA,Eastern Province,0,200,3274.328859,,Active,2000,2100,,
184,Al Qurayyat Gas Turbine Power Plant Expansion,Oil,Crude,GT,Saudi Arabia,NEOA,Al Jawf,0,120,2855.739443,,Under Construction,2018,2100,,
128,Sohar III Combined Cycle Power Plant,Gas,Gas,CC,Oman,OMA,Al Batinah North,0,1710,1593.693192,1,Permitting,2019,2100,,
107,Ibri Combined Cycle Power Plant,Gas,Gas,CC,Oman,OMA,Ad Dhahirah North,0,1509,1593.693192,1,Under Construction,2019,2100,,
185,Al Wajh Gas Turbine Power Plant,Oil,Diesel,GT,Saudi Arabia,NWOA,Tabuk,0,36,3002.998506,,Active,2002,2100,,
143,Al Wajh Internal Combustion Power Plant,Oil,Diesel,DG,Saudi Arabia,NOWA,Tabuk,0,30,2476.989981,,Active,1977,2100,,
16,Doha East Power Plant I,Oil,HFO,ST,Kuwait,KUW,Muhafazat al Wafrah,0,1050,2457.182317,,Active,1977,2100,,
186,Arabian Cement Company Power Plant,Oil,Diesel_ipp,DG,Saudi Arabia,WOA,Makkah,0,120,2379.747169,,Permitting,2018,2100,,
187,Arar Gas Turbine Power Plant,Oil,Diesel,GT,Saudi Arabia,NEOA,Northern Borders,0,246.2,3594.258526,,Active,1985,2100,,
144,Asir Diesel Engine Power Plant,Oil,Diesel,DG,Saudi Arabia,SOA,Asir,0,76.5,2476.989981,,Active,1985,2100,,
188,Asir Power Plant,Oil,Diesel,GT,Saudi Arabia,SOA,Asir,0,573,3594.258526,,Active,1985,2100,,
284,Abu Mussa Oil Fired Power Plant,Oil,Diesel,DG,United Arab Emirates,UAE,Sharjah,0,4.16,2476.989981,,Active,1977,2100,,
318,Layyah Cogeneration Plant,Gas,Gas,CC,United Arab Emirates,UAE,Sharjah,0,902,2128.104202,,Active,1977,2100,,
12,Rifaa (Riffa) Gas Power Plant,Gas,Gas,GT,Bahrain,BAH,,0,700,4469.938427,,Active,1978,2100,,
189,Baha CPS Power Plant,Oil,Diesel,GT,Saudi Arabia,WOA,Makkah,0,24,3594.258526,,Active,1983,2100,,
145,Baha Diesel Engine Power Plant,Oil,Diesel,DG,Saudi Arabia,WOA,Makkah,0,51,2476.989981,,Active,1980,2100,,
190,Berri Cogeneration Plant,Gas,Gas_ipp,GT,Saudi Arabia,EOA,Eastern Province,0,300,3058.89281,,Active,2004,2100,,
285,Ajman Power Station,Gas,Gas,GT,United Arab Emirates,UAE,Ajman,0,146,4469.938427,,Active,1978,2100,,
146,Berri Gas Turbine Power Plant,Gas,Gas,GT,Saudi Arabia,EOA,Eastern Province,0,209.4,4469.938427,,Active,1977,2100,,
191,Bisha Power Plant,Oil,Diesel,GT,Saudi Arabia,SOA,Asir,0,352,3594.258526,,Active,1984,2100,,
296,Dubal DG Power Plant,Gas,Gas,CC,United Arab Emirates,UAE,Dubai,0,2350,2128.104202,,Active,1979,2100,,
