CountryName,CapitalName,Longitude,Latitude,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName,
AO,Luanda,17.53736768,-12.29336054,-8.833333333,13.216667,AO,Africa,Angola
BF,Ouagadougou,-1.754566009,12.26953846,12.36666667,-1.516667,BF,Africa,Burkina Faso
BI,Bujumbura,29.87512156,-3.359396657,-3.366666667,29.35,BI,Africa,Burundi
BJ,Porto-Novo,2.327852544,9.641759702,6.483333333,2.616667,BJ,Africa,Benin
BW,Gaborone,23.79853368,-22.18403213,-24.63333333,25.9,BW,Africa,Botswana
CD,Kinshasa,23.64396107,-2.87746289,-4.316666667,15.3,CD,Africa,Democratic Republic of the Congo
CF,Bangui,20.46826831,6.56823297,4.366666667,18.583333,CF,Africa,Central African Republic
CG,Brazzaville,15.21965762,-0.837874631,-4.25,15.283333,CG,Africa,Republic of Congo
CI,Yamoussoukro,-5.5692157,7.628426202,6.816666667,-5.266667,CI,Africa,Cote d'Ivoire
CM,Yaounde,12.73964156,5.69109849,3.866666667,11.516667,CM,Africa,Cameroon
DJ,Djibouti,42.5606754,11.74871806,11.58333333,43.15,DJ,Africa,Djibouti
DZ,Algiers,2.617323009,28.15893849,36.75,3.05,DZ,Africa,Algeria
EG,Cairo,29.86190099,26.49593311,30.05,31.25,EG,Africa,Egypt
ER,Asmara,38.84617011,15.36186618,15.33333333,38.933333,ER,Africa,Eritrea
ET,Addis Ababa,39.60080098,8.622786793,9.033333333,38.7,ET,Africa,Ethiopia
GA,Libreville,11.7886287,-0.58660025,0.383333333,9.45,GA,Africa,Gabon
GH,Accra,-1.216765658,7.953456435,5.55,-0.216667,GH,Africa,Ghana
GM,Banjul,-15.39601295,13.44965244,13.45,-16.566667,GM,Africa,The Gambia
GN,Conakry,-10.94066612,10.43621593,9.5,-13.7,GN,Africa,Guinea
GQ,Malabo,10.34137924,1.705551355,3.75,8.783333,GQ,Africa,Equatorial Guinea
GW,Bissau,-14.94972445,12.04744948,11.85,-15.583333,GW,Africa,Guinea-Bissau
KE,Nairobi,37.79593973,0.599880215,-1.283333333,36.816667,KE,Africa,Kenya
LR,Monrovia,-9.322075727,6.452784917,6.3,-10.8,LR,Africa,Liberia
LS,Maseru,28.22723131,-29.58003188,-29.31666667,27.483333,LS,Africa,Lesotho
LY,Tripoli,18.00866169,27.03094495,32.88333333,13.166667,LY,Africa,Libya
MA,Rabat,-8.456157948,29.83762955,34.01666667,-6.816667,MA,Africa,Morocco
ML,Bamako,-3.542690649,17.34581581,12.65,-8,ML,Africa,Mali
MR,Nouakchott,-10.34779815,20.25736706,18.06666667,-15.966667,MR,Africa,Mauritania
MW,Lilongwe,34.28935599,-13.21808088,-13.96666667,33.783333,MW,Africa,Malawi
MZ,Maputo,35.53367543,-17.27381643,-25.95,32.583333,MZ,Africa,Mozambique
NA,Windhoek,17.20963567,-22.13032568,-22.56666667,17.083333,NA,Africa,Namibia
NE,Niamey,9.385458815,17.41912493,13.51666667,2.116667,NE,Africa,Niger
NG,Abuja,8.089438948,9.594114522,9.083333333,7.533333,NG,Africa,Nigeria
RW,Kigali,29.91988515,-1.990338317,-1.95,30.05,RW,Africa,Rwanda
SD,Khartoum,29.94046812,15.99035669,15.6,32.533333,SD,Africa,Sudan
SL,Freetown,-11.79271247,8.56329593,8.483333333,-13.233333,SL,Africa,Sierra Leone
SN,Dakar,-14.4734924,14.36624173,14.73333333,-17.633333,SN,Africa,Senegal
SO,Mogadishu,45.70714487,4.750628761,2.066666667,45.333333,SO,Africa,Somalia
SS,Juba,30.24790002,7.308779449,4.85,31.616667,SS,Africa,South Sudan
SZ,Mbabane,31.4819369,-26.55843045,-26.31666667,31.133333,SZ,Africa,Swaziland
TD,N'Djamena,18.64492513,15.33333759,12.1,15.033333,TD,Africa,Chad
TG,Lome,0.96232845,8.525313561,6.116666667,1.216667,TG,Africa,Togo
TN,Tunis,9.552883589,34.11956246,36.8,10.183333,TN,Africa,Tunisia
TZ,Dar es Salaam,34.81309981,-6.275654083,-6.8,39.283333,TZ,Africa,Tanzania
UG,Kampala,32.36907971,1.274692987,0.316666667,32.55,UG,Africa,Uganda
ZA,Pretoria,25.08390093,-29.00034095,-25.7,28.216667,ZA,Africa,South Africa
ZM,Lusaka,27.77475946,-13.45824152,-15.41666667,28.283333,ZM,Africa,Zambia
ZW,Harare,29.8514412,-19.00420419,-17.81666667,31.033333,ZW,Africa,Zimbabwe
