PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
258,Aghada Unit 1,IE,STUR,GAS,0.38,4,3.5,0.015,0.0149612403,106038.1707,2880.400082,0,0.1395348837,37.64,0,0.542339093,,,,,,
444,Aghada Unit 2,IE,COMC,GAS,0.53,4,1,0.0198873874,0.0278828829,121661.5465,4514.599863,1,0.4864864865,51.67,0,0.388490083,,,,,,
90,Aghada CT 1,IE,GTUR,GAS,0.27,4,1,0.0555555556,0.0555555556,6343.840659,3006.106511,2,0.1666666667,13.37,0,0.763212915,,,,,,
90,Aghada CT 2,IE,GTUR,GAS,0.26,4,1,0.0555555556,0.0555555556,6454.140247,3527.681511,3,0.1666666667,13.37,0,0.790146537,,,,,,
90,Aghada CT 4,IE,GTUR,GAS,0.27,4,1,0.0555555556,0.0555555556,6377.773489,3125.988242,4,0.1666666667,13.37,0,0.764188097,,,,,,
21,Ardnacrusha 1,IE,HROR,WAT,1,0,0,47600000,47600000,203.03,0,5,0,,0,0,,,,,,
22,Ardnacrusha 2,IE,HROR,WAT,1,0,0,45500000,45500000,147.4,0,6,0,,0,0,,,,,,
19,Ardnacrusha 3,IE,HROR,WAT,1,0,0,52600000,52600000,146.23,0,7,0,,0,0,,,,,,
24,Ardnacrusha 4,IE,HROR,WAT,1,0,0,41700000,41700000,128.7,0,8,0,,0,0,,,,,,
58,Ballylumford  GT1,IE,GTUR,OIL,0.25,0,0,0.0174137931,0.0689655172,3685.463626,1513.279258,9,0.1379310345,10.73,0,1.034182121,,,,,,
58,Ballylumford  GT2,IE,GTUR,OIL,0.25,0,0,0.0534482759,0.1046551724,3596.50206,1514.158956,10,0.1379310345,10.73,0,1.034182121,,,,,,
101,Ballylumford Unit 10,IE,COMC,GAS,0.51,0,0,0.0306930693,0.0600990099,13099.08327,473.6446703,11,0.6237623762,48.61,0,0.399746673,,,,,,
247,Ballylumford CCGT Unit 31,IE,COMC,GAS,0.48,0,0,0.0080161943,0.0391497976,20290.31591,1885.96544,12,0.4574898785,40.81,0,0.422636453,,,,,,
247,Ballylumford CCGT Unit 32,IE,COMC,GAS,0.48,0,0,0.0080161943,0.0391497976,20135.45648,1904.372582,13,0.4574898785,40.81,0,0.422636453,,,,,,
170,Ballylumford Unit 4,IE,STUR,GAS,0.31,0,0,0.0116470588,0.0568823529,35055.35816,985.6411813,14,0.3176470588,25.9,0,0.665282752,,,,,,
170,Ballylumford Unit 5,IE,STUR,GAS,0.31,0,0,0.0294117647,0.0378235294,34867.82206,1001.569505,15,0.3176470588,25.95,0,0.662903985,,,,,,
170,Ballylumford Unit 6,IE,STUR,GAS,0.31,0,0,0.0294117647,0.0378235294,36846.80563,961.8922802,16,0.3176470588,26.57,0,0.659023614,,,,,,
12.084,Contour Global Agg Unit,IE,STUR,GAS,0.38,0,0,0.3336643496,0.3336643496,1.108186813,42.68538462,17,0.4965243297,38.53,0,,,,,,,
412,Coolkeeragh CCGT,IE,COMC,GAS,0.51,4,4,0.036407767,0.0202669903,79592.96429,3723.178571,18,0.6310679612,53.19,0,0.405133848,,,,,,
58,Coolkeeragh CGT8,IE,GTUR,OIL,0.25,4,1,0.8620689655,0.8620689655,5493.054945,1432.214286,19,0.1379310345,10.73,0,1.03641224,,,,,,
58,Cushaling,IE,GTUR,OIL,0.33,0,0,0.0862068966,0.0862068966,287.0961538,1155.532967,20,0.3448275862,32.83,0,0.782937931,,,,,,
58,Cushaling Unit 2,IE,GTUR,OIL,0.33,0,0,0.0862068966,0.0862068966,287.0961538,1155.532967,21,0.3448275862,32.83,0,0.782937931,,,,,,
415,Dublin Bay Gen,IE,COMC,GAS,0.51,4,1,0.0240963855,0.021686747,135429.5742,3301.802198,22,0.4891566265,51.73,0,0.40524105,,,,,,
117.6,Edenderry Unit 1,IE,STUR,LIG,0.29,4,0,0.0149659864,0.0149659864,38689.8544,2871.925824,23,0.3486394558,37.55,0,1.452141801,,,,,,
10,ERNE UNIT 1,IE,HROR,WAT,1,0,0,0.5,1,67.27,0,24,0,,0,0,,,,,,
10,ERNE UNIT 2,IE,HROR,WAT,1,0,0,0.5,1,56.65914835,0,25,0,,0,0,,,,,,
22.5,ERNE UNIT 3,IE,HROR,WAT,1,0,0,0.4444444444,1,134.9,0,26,0,,0,0,,,,,,
22.5,ERNE UNIT 4,IE,HROR,WAT,1,0,0,0.4444444444,1,143.85,0,27,0,,0,0,,,,,,
464,Great Island CCGT,IE,COMC,GAS,0.51,4,4,0.0370043103,0.0398706897,80467.30411,3160.013699,28,0.4375,50.92,0,0.40108227,,,,,,
54,Great Island Unit 1,IE,STUR,OIL,0.24,4,2,0.012962963,0.0185185185,8845.440726,439.4027419,29,0.462962963,23.03,0,1.054665589,,,,,,
49,Great Island Unit 2,IE,STUR,OIL,0.24,4,2,0.0142857143,0.0204081633,8845.440726,439.4027419,30,0.5102040816,23.03,0,1.059051038,,,,,,
113,Great Island Unit 3,IE,STUR,OIL,0.3,4,4,0.0061946903,0.0132743363,18215.78637,698.3668548,31,0.2654867257,25.17,0,,,,,,,
343,Huntstown CCGT Unit 1,IE,COMC,GAS,0.48,4,4,0.0204081633,0.0204081633,179551.6426,6940.947033,32,0.4985422741,46.8,0,0.429795688,,,,,,
404,Huntstown CCGT Unit 2,IE,COMC,GAS,0.48,4,4,0.0495049505,0.0495049505,104716.1478,6145.330659,33,0.4207920792,46.6,0,0.424998642,,,,,,
72,iPower Solutions ltd,IE,GTUR,OIL,0.27,0,0,0.1111111111,0.1111111111,6917.330385,1499.446209,34,0.375,,0,,,,,,,
29,Kilroot KGT1,IE,GTUR,OIL,0.24,0,0,0.0920689655,0.0920689655,1866.996374,868.0702473,35,0.1724137931,11.37,0,0.856535385,,,,,,
29,Kilroot KGT2,IE,GTUR,OIL,0.24,0,0,0.0920689655,0.0920689655,1866.996374,868.0702473,36,0.1724137931,11.37,0,0.53932183,,,,,,
42,Kilroot KGT3,IE,GTUR,OIL,0.29,0,0,0.2380952381,0.2380952381,1881.510549,972.5134615,37,0.3052380952,19.74,0,0.533302338,,,,,,
42,Kilroot KGT4,IE,GTUR,OIL,0.29,0,0,0.2380952381,0.2380952381,1881.509505,972.4999451,38,0.3052380952,19.74,0,0.940695,,,,,,
238,Kilroot K1,IE,STUR,OIL,0.13,4,0,0.0243277311,0.0243277311,25112.87151,986.4209341,39,0.3907563025,27.27,0,1.085270544,,,,,,
238,Kilroot K2,IE,STUR,OIL,0.13,4,0,0.0243277311,0.0243277311,25112.87151,986.4209341,40,0.3907563025,27.27,0,1.085270544,,,,,,
15,LEE UNIT 1,IE,HROR,WAT,1,0,0,0.16,1,117.1,0,41,0,,0,0,,,,,,
4,LEE UNIT 2,IE,HROR,WAT,1,0,0,0.15,1,27.98,0,42,0,,0,0,,,,,,
8,LEE UNIT 3,IE,HROR,WAT,1,0,0,0.1875,1,62.49,0,43,0,,0,0,,,,,,
15,Liffey Unit 1,IE,HROR,WAT,1,0,0,0.3333333333,0.6666666667,177.2703297,0,44,0,,0,0,,,,,,
15,Liffey Unit 2,IE,HROR,WAT,1,0,0,0.3333333333,0.6666666667,170.1499451,0,45,0,,0,0,,,,,,
4,Liffey Unit 4,IE,HROR,WAT,1,0,0,0.5,0.5,43.14,0,46,0,,0,0,,,,,,
4,Liffey Unit 5,IE,HROR,WAT,1,0,0,0.0075,0.5,31.8,0,47,0,,0,0,,,,,,
18.2,Lisahally / Maydown,IE,STUR,BIO,0.3,4,0,0.0021978022,0.0021978022,3563.97795,45.40012422,48,0.7005494505,,0,0,,,,,,
93,Lanesboro,IE,STUR,LIG,0.36,4,4,0.0147311828,0.0053763441,5890.798516,502.2834066,49,0.9784946237,36.27,0,1.157116744,,,,,,
95,Marina,IE,GTUR,GAS,0.26,4,1,0.0037894737,0.0068421053,33300.59533,2999.112033,50,0.2105263158,25.32,0,0.776917678,,,,,,
17,Meath waste to energy,IE,STUR,WST,0.85,0,0,0.0211764706,0.0382352941,0,0,51,0.0588235294,,0,,,,,,,
285,Moneypoint Unit 1,IE,STUR,HRD,0.3,10,5,0.0057192982,0.0159298246,113198.3976,858.2935165,52,0.3473684211,32.28,0,1.064982097,,,,,,
285,Moneypoint Unit 2,IE,STUR,HRD,0.3,10,5,0.0061403509,0.015754386,107583.3316,817.8710989,53,0.3473684211,32.28,0,1.064982097,,,,,,
285,Moneypoint Unit 3,IE,STUR,HRD,0.3,10,5,0.0057192982,0.0159298246,113195.0652,858.2794505,54,0.3473684211,32.28,0,1.064982097,,,,,,
163,North Wall 4,IE,COMC,GAS,0.35,4,0,0.0232133974,0.0736196319,4896.97,3104.21,55,0.5355828221,35.68,0,0.580714574,,,,,,
109,North Wall CT5,IE,GTUR,GAS,0.27,4,1,0.0733944954,0.0733944954,9528.195,3564.425082,56,0.1743119266,13.75,0,0.761832884,,,,,,
512,Poolbeg CCGT Unit,IE,STUR,GAS,0.47,4,4,0.021484375,0.021484375,104705.7683,4830.52544,57,0.453125,44.21,0,0.439182633,,,,,,
52,Rhode Unit 1,IE,GTUR,OIL,0.31,0,0,0.1923076923,0.1923076923,2256.095357,1005.010467,58,0.0961538462,21.29,0,0.837731707,,,,,,
52,Rhode Unit 2,IE,GTUR,OIL,0.31,0,0,0.1923076923,0.1923076923,2256.095357,1005.010467,59,0.0961538462,21.29,0,0.837731707,,,,,,
83,Sealrock 3,IE,GTUR,GAS,0.56,4,4,0.0722891566,0.0722891566,7506.725082,1323.492692,60,0.4819277108,48,0,0.36694434,,,,,,
83,Sealrock 4,IE,GTUR,GAS,0.56,4,4,0.0722891566,0.0722891566,7520.556484,1326.287198,61,0.4819277108,48,0,0.36694434,,,,,,
54,Tarbert Unit 1,IE,STUR,OIL,0.28,2,2,0.0185185185,0.0185185185,12469.4667,363.3217582,62,0.3333333333,25.97,0,0.905424557,,,,,,
54,Tarbert Unit 2,IE,STUR,OIL,0.28,2,2,0.0185185185,0.0185185185,12676.14003,367.1825824,63,0.3333333333,25.97,0,0.905424557,,,,,,
243,Tarbert Unit 3,IE,STUR,OIL,0.35,4,4,0.0082304527,0.0090534979,90400.76591,2009.666703,64,0.1434156379,23.72,0,0.739817532,,,,,,
243,Tarbert Unit 4,IE,STUR,OIL,0.33,4,4,0.0082304527,0.0090534979,90406.87269,2012.109258,65,0.1434156379,23.22,0,0.770557597,,,,,,
52,Tawnaghmore Unit 1,IE,GTUR,OIL,0.31,0,0,0.1923076923,0.1923076923,2250.715027,1046.954808,66,0.0961538462,21.42,0,0.823469184,,,,,,
52,Tawnaghmore Unit 3,IE,GTUR,OIL,0.31,0,0,0.1923076923,0.1923076923,2250.715027,1046.954808,67,0.0961538462,21.42,0,0.823469184,,,,,,
73,Turlough Hill Unit 1,IE,HPHS,WAT,0.85,0,0,2.8767123288,3.698630137,0,0,68,0,,0,0,,,452.6,0,73,0.85
73,Turlough Hill Unit 2,IE,HPHS,WAT,0.85,0,0,2.8767123288,3.698630137,0,0,69,0,,0,0,,,452.6,0,73,0.85
73,Turlough Hill Unit 3,IE,HPHS,WAT,0.85,0,0,2.8767123288,3.698630137,0,0,70,0,,0,0,,,452.6,0,73,0.85
73,Turlough Hill Unit 4,IE,HPHS,WAT,0.85,0,0,2.8767123288,3.698630137,0,0,71,0,,0,0,,,452.6,0,73,0.85
404,Tynagh Generator Unit,IE,COMC,GAS,0.15,4,4,0.0309405941,0.0250742574,104021.1868,4176.769231,72,0.4801980198,51.67,0,1.370290248,,,,,,
140,West Offaly,IE,STUR,LIG,0.38,4,4,0.005,0.005,8823.338654,668.9261264,73,0.9785714286,38.04,0,1.103285575,,,,,,
445,Whitegate Unit 1,IE,COMC,GAS,0.52,4,4,0.0462921348,0.0602247191,104699.0742,4467.756538,74,0.404494382,47.91,0,0.390842917,,,,,,
